a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,4.22,0.7743326972356632
0.0,8.44,0.5686224951439889
0.0,12.66,0.44087525932638505
0.0,16.88,0.3611335247983081
0.0,21.09,0.3069665382387437
0.0,25.31,0.26761376584393937
0.0,29.53,0.23760459314110435
0.0,33.75,0.21388935693750133
0.0,37.97,0.19463130799995418
0.0,42.19,0.17865447216723696
4.22,0.0,0.7743326972356632
4.22,4.22,0.5686224951439891
4.22,8.44,0.4408752593263853
4.22,12.66,0.3611335247983081
4.22,16.88,0.30696653823874404
4.22,21.09,0.2676137658439392
4.22,25.31,0.23760459314110435
4.22,29.53,0.21388935693750133
4.22,33.75,0.194631307999953
4.22,37.97,0.17865447216724595
4.22,42.19,0.16516837354634006
8.44,0.0,0.5686224951439889
8.44,4.22,0.4408752593263852
8.44,8.44,0.3611335247983081
8.44,12.66,0.30696653823874387
8.44,16.88,0.26761376584393937
8.44,21.09,0.23760459314110435
8.44,25.31,0.21388935693750116
8.44,29.53,0.19463130799995224
8.44,33.75,0.1786544721672453
8.44,37.97,0.16516837354634265
8.44,42.19,0.15362020915286795
12.66,0.0,0.4408752593263855
12.66,4.22,0.3611335247983083
12.66,8.44,0.30696653823874387
12.66,12.66,0.2676137658439392
12.66,16.88,0.23760459314110435
12.66,21.09,0.21388935693750089
12.66,25.31,0.19463130799995143
12.66,29.53,0.17865447216724387
12.66,33.75,0.1651683735463383
12.66,37.97,0.15362020915283536
12.66,42.19,0.1436104726748849
16.88,0.0,0.36113352479830796
16.88,4.22,0.30696653823874387
16.88,8.44,0.2676137658439392
16.88,12.66,0.2376045931411042
16.88,16.88,0.21388935693750072
16.88,21.09,0.19463130799995015
16.88,25.31,0.17865447216723648
16.88,29.53,0.16516837354631372
16.88,33.75,0.15362020915283714
16.88,37.97,0.14361047267487204
16.88,42.19,0.13484233619840272
21.09,0.0,0.30696653823874387
21.09,4.22,0.26761376584393937
21.09,8.44,0.23760459314110402
21.09,12.66,0.21388935693750102
21.09,16.88,0.1946313079999508
21.09,21.09,0.1786544721672357
21.09,25.31,0.1651683735463216
21.09,29.53,0.15362020915279828
21.09,33.75,0.1436104726747505
21.09,37.97,0.13484233619838717
21.09,42.19,0.12709001524646815
25.31,0.0,0.2676137658439395
25.31,4.22,0.2376045931411042
25.31,8.44,0.21388935693750133
25.31,12.66,0.1946313079999516
25.31,16.88,0.1786544721672381
25.31,21.09,0.1651683735463224
25.31,25.31,0.15362020915281724
25.31,29.53,0.14361047267475582
25.31,33.75,0.13484233619829372
25.31,37.97,0.12709001524636396
25.31,42.19,0.1201783074562741
29.53,0.0,0.23760459314110435
29.53,4.22,0.21388935693750166
29.53,8.44,0.19463130799995257
29.53,12.66,0.17865447216724434
29.53,16.88,0.1651683735463216
29.53,21.09,0.15362020915281482
29.53,25.31,0.14361047267477026
29.53,29.53,0.13484233619828154
29.53,33.75,0.12709001524634422
29.53,37.97,0.120178307456264
29.53,42.19,0.11396895993182338
33.75,0.0,0.21388935693750133
33.75,4.22,0.1946313079999535
33.75,8.44,0.17865447216724772
33.75,12.66,0.16516837354634617
33.75,16.88,0.1536202091528548
33.75,21.09,0.14361047267474938
33.75,25.31,0.13484233619832647
33.75,29.53,0.1270900152463964
33.75,33.75,0.12017830745632821
33.75,37.97,0.11396895993173316
33.75,42.19,0.10835134234837411
37.97,0.0,0.194631307999954
37.97,4.22,0.17865447216724417
37.97,8.44,0.16516837354635114
37.97,12.66,0.15362020915284405
37.97,16.88,0.14361047267487026
37.97,21.09,0.13484233619841204
37.97,25.31,0.1270900152463052
37.97,29.53,0.12017830745647622
37.97,33.75,0.11396895993173764
37.97,37.97,0.10835134234842292
37.97,42.19,0.10323590818523369
42.19,0.0,0.1786544721672376
42.19,4.22,0.16516837354633956
42.19,8.44,0.153620209152871
42.19,12.66,0.14361047267483704
42.19,16.88,0.13484233619843308
42.19,21.09,0.12709001524661645
42.19,25.31,0.12017830745629997
42.19,29.53,0.11396895993188004
42.19,33.75,0.10835134234833721
42.19,37.97,0.10323590818504075
42.19,42.19,0.09854950403681303
