a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,4.22,0.7743326972356632
0.0,8.44,0.5686224951439891
0.0,12.66,0.4408752593263855
0.0,16.88,0.36113352479830796
0.0,21.09,0.3069665382387437
0.0,25.31,0.2676137658439395
0.0,29.53,0.23760459314110452
0.0,33.75,0.21388935693750233
0.0,37.97,0.19463130799995754
0.0,42.19,0.17865447216725383
0.14,0.0,0.9585334237998608
0.14,4.22,0.7255094634853787
0.14,8.44,0.5061439869532545
0.14,12.66,0.36978063156447444
0.14,16.88,0.2826353730162889
0.14,21.09,0.219360879117179
0.14,25.31,0.00357710553949488
0.14,29.53,0.002327346236706765
0.14,33.75,0.0017256716709785067
0.14,37.97,0.001365999381443817
0.14,42.19,0.0011272513582775688
0.27,0.0,0.9084433744688263
0.27,4.22,0.6607673138529119
0.27,8.44,0.40136060160756193
0.27,12.66,0.002785892545787897
0.27,16.88,0.0015709092825745617
0.27,21.09,0.0010706547676725547
0.27,25.31,0.0008050178538161494
0.27,29.53,0.0006422840061947973
0.27,33.75,0.000533057872463316
0.27,37.97,0.00045496318329529167
0.27,42.19,0.0003964847692911553
0.41,0.0,0.8448458650285238
0.41,4.22,0.5548298749808176
0.41,8.44,0.002453601422059974
0.41,12.66,0.0012158982104130208
0.41,16.88,0.0007842738760722161
0.41,21.09,0.0005732647939192582
0.41,25.31,0.00044990561102581654
0.41,29.53,0.0003694918809691085
0.41,33.75,0.000313112620494446
0.41,37.97,0.00027147515712097245
0.41,42.19,0.0002395053474754781
0.54,0.0,0.7551709034157374
0.54,4.22,0.004263873844543871
0.54,8.44,0.00139367285514064
0.54,12.66,0.00076559019585051
0.54,16.88,0.0005183926367413828
0.54,21.09,0.00038956517162798437
0.54,25.31,0.0003112381548887107
0.54,29.53,0.000258805047884794
0.54,33.75,0.00022133033609405677
0.54,37.97,0.00019324847471455402
0.54,42.19,0.0001714391553346646
0.68,0.0,0.5061726804784797
0.68,4.22,0.002593318058841618
0.68,8.44,0.0009594177566287111
0.68,12.66,0.0005557745204069946
0.68,16.88,0.00038620514114284446
0.68,21.09,0.00029465485874115467
0.68,25.31,0.0002377499021616366
0.68,29.53,0.00019907688104542262
0.68,33.75,0.0001711307517548785
0.68,37.97,0.00015001292453581893
0.68,42.19,0.00013350354542896841
0.81,0.0,0.028247813418110033
0.81,4.22,0.0018101513440543652
0.81,8.44,0.0007272381827237765
0.81,12.66,0.00043536746478503536
0.81,16.88,0.00030750200049714516
0.81,21.09,0.00023686868148859973
0.81,25.31,0.00019233027506963915
0.81,29.53,0.000161762194873963
0.81,33.75,0.00013951384283789674
0.81,37.97,0.00012260949427834937
0.81,42.19,0.00010933714192758363
0.95,0.0,0.02055198021272688
0.95,4.22,0.0013736759653133362
0.95,8.44,0.0005838990328073431
0.95,12.66,0.0003575394199059558
0.95,16.88,0.00025538742088831626
0.95,21.09,0.0001980344495775883
0.95,25.31,0.00016150052094247592
0.95,29.53,0.00013625107054697803
0.95,33.75,0.00011778050440852893
0.95,37.97,0.0001036924043457498
0.95,42.19,9.25976954777286e-05
1.08,0.0,0.015411892077530938
1.08,4.22,0.0011002210267206968
1.08,8.44,0.0004869966626893837
1.08,12.66,0.0003031816901537722
1.08,16.88,0.0002183600262250154
1.08,21.09,0.00017015084864789706
1.08,25.31,0.0001392061619039261
1.08,29.53,0.00011770790512107805
1.08,33.75,0.00010192191022541566
1.08,37.97,8.984687707725642e-05
1.08,42.19,8.031611165285488e-05
1.22,0.0,0.011949546438893881
1.22,4.22,0.0009145976748898027
1.22,8.44,0.00041726088667283165
1.22,12.66,0.00026309036851322184
1.22,16.88,0.00019069897210794942
1.22,21.09,0.00014915648472951028
1.22,25.31,0.00012233079037414995
1.22,29.53,0.00010361811981344925
1.22,33.75,8.983707645352328e-05
1.22,37.97,7.927219579598092e-05
1.22,42.19,7.091885793320099e-05
1.35,0.0,0.009561690032136926
1.35,4.22,0.0007810952416996978
1.35,8.44,0.00036473739565115194
1.35,12.66,0.0002323040788444891
1.35,16.88,0.00016924584945327684
1.35,21.09,0.00013277489157889863
1.35,25.31,0.00010910923767321607
1.35,29.53,9.254645309780513e-05
1.35,33.75,8.031974457671884e-05
1.35,37.97,7.092968375545446e-05
1.35,42.19,6.349487589875005e-05
