a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,0.14,0.9585334237998608
0.0,0.27,0.9084433744688263
0.0,0.41,0.8448458650285238
0.0,0.54,0.7551709034157381
0.0,0.68,0.5061726804794331
0.0,0.81,0.028247813406058885
0.0,0.95,0.02055198019231436
0.0,1.08,0.01541189205346845
0.0,1.22,0.011949546420229377
0.0,1.35,0.009561690026767359
0.14,0.0,0.9585334237998612
0.14,0.14,0.9084433744688263
0.14,0.27,0.8448458650285238
0.14,0.41,0.7551709034157371
0.14,0.54,0.5061726804855929
0.14,0.68,0.028247813403337096
0.14,0.81,0.02055198018886698
0.14,0.95,0.015411892054275917
0.14,1.08,0.011949546421198496
0.14,1.22,0.00956169002687652
0.14,1.35,0.007863967893197493
0.27,0.0,0.9084433744688263
0.27,0.14,0.8448458650285238
0.27,0.27,0.7551709034157371
0.27,0.41,0.5061726805134678
0.27,0.54,0.028247813402436203
0.27,0.68,0.020551980188269647
0.27,0.81,0.01541189205360426
0.27,0.95,0.011949546420413985
0.27,1.08,0.009561690026185437
0.27,1.22,0.007863967892907575
0.27,1.35,0.00661896637596444
0.41,0.0,0.8448458650285238
0.41,0.14,0.7551709034157374
0.41,0.27,0.5061726805123571
0.41,0.41,0.028247813402414047
0.41,0.54,0.020551980188720256
0.41,0.68,0.015411892052211822
0.41,0.81,0.011949546419859996
0.41,0.95,0.009561690027380583
0.41,1.08,0.007863967892407203
0.41,1.22,0.006618966376408306
0.41,1.35,0.005679400035677091
0.54,0.0,0.7551709034157371
0.54,0.14,0.5061726805328104
0.54,0.27,0.02824781340181399
0.54,0.41,0.020551980189349534
0.54,0.54,0.01541189205259902
0.54,0.68,0.01194954642012728
0.54,0.81,0.009561690026291066
0.54,0.95,0.007863967892444767
0.54,1.08,0.0066189663765035
0.54,1.22,0.005679400035489913
0.54,1.35,0.004952002776905096
0.68,0.0,0.5061726804861568
0.68,0.14,0.028247813402394788
0.68,0.27,0.02055198018844591
0.68,0.41,0.015411892052757625
0.68,0.54,0.011949546420180576
0.68,0.68,0.009561690026889362
0.68,0.81,0.00786396789365709
0.68,0.95,0.006618966376346019
0.68,1.08,0.005679400035440791
0.68,1.22,0.00495200277598237
0.68,1.35,0.004376134676377869
0.81,0.0,0.028247813404460004
0.81,0.14,0.020551980189356597
0.81,0.27,0.015411892052439775
0.81,0.41,0.011949546420599077
0.81,0.54,0.009561690025970487
0.81,0.68,0.007863967892652333
0.81,0.81,0.006618966376290636
0.81,0.95,0.0056794000360769715
0.81,1.08,0.004952002776340352
0.81,1.22,0.004376134676865077
0.81,1.35,0.003911269565974027
0.95,0.0,0.02055198019285069
0.95,0.14,0.015411892054599707
0.95,0.27,0.011949546419705727
0.95,0.41,0.009561690027117153
0.95,0.54,0.007863967892556657
0.95,0.68,0.006618966376810432
0.95,0.81,0.005679400035646269
0.95,0.95,0.004952002777347677
0.95,1.08,0.0043761346764953765
0.95,1.22,0.003911269566642956
0.95,1.35,0.003529597138588982
1.08,0.0,0.015411892054932005
1.08,0.14,0.011949546419650986
1.08,0.27,0.00956169002810361
1.08,0.41,0.007863967891611777
1.08,0.54,0.006618966376175857
1.08,0.68,0.0056794000355390355
1.08,0.81,0.004952002776826757
1.08,0.95,0.004376134676619306
1.08,1.08,0.00391126956686834
1.08,1.22,0.0035295971389347636
1.08,1.35,0.0032115577590136586
1.22,0.0,0.011949546419138254
1.22,0.14,0.009561690026400066
1.22,0.27,0.007863967892941448
1.22,0.41,0.006618966376957638
1.22,0.54,0.005679400035379469
1.22,0.68,0.004952002776893217
1.22,0.81,0.004376134676038026
1.22,0.95,0.003911269566579065
1.22,1.08,0.0035295971390076446
1.22,1.22,0.003211557759214482
1.22,1.35,0.0029430818085208676
1.35,0.0,0.009561690028057217
1.35,0.14,0.007863967892917689
1.35,0.27,0.006618966375597307
1.35,0.41,0.0056794000357395374
1.35,0.54,0.00495200277649141
1.35,0.68,0.004376134676166611
1.35,0.81,0.003911269566504579
1.35,0.95,0.0035295971392718772
1.35,1.08,0.0032115577589640555
1.35,1.22,0.002943081788859632
1.35,1.35,0.002713840060916468
