a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,1.05,0.6512145775177239
0.0,2.11,0.49274070668695996
0.0,3.16,0.4003981903440512
0.0,4.22,0.3388157969919568
0.0,5.27,0.29439535450604193
0.0,6.33,0.260658268271272
0.0,7.38,0.23407651584247163
0.0,8.44,0.2125458850192922
0.0,9.49,0.1947255317430091
0.0,10.55,0.17971677007526038
0.14,0.0,0.9585334237998608
0.14,1.05,0.600003343226876
0.14,2.11,0.440600448652878
0.14,3.16,0.3486456333079254
0.14,4.22,0.28814391097287334
0.14,5.27,0.24525458446412127
0.14,6.33,0.21333960251424525
0.14,7.38,0.18875079846512507
0.14,8.44,0.16929050394498868
0.14,9.49,0.15354488123158244
0.14,10.55,0.1405591602053062
0.27,0.0,0.9084433744688263
0.27,1.05,0.5347320510629012
0.27,2.11,0.36982324845990927
0.27,3.16,0.27532655015042934
0.27,4.22,0.2152741337812998
0.27,5.27,0.1754130827318397
0.27,6.33,0.14803001511416125
0.27,7.38,0.12845593226333568
0.27,8.44,0.11385536535672863
0.27,9.49,0.102516268878135
0.27,10.55,0.09339825995018157
0.41,0.0,0.8448458650285238
0.41,1.05,0.43625493873946936
0.41,2.11,0.22070438872510675
0.41,3.16,0.11901257289360827
0.41,4.22,0.09385439834324522
0.41,5.27,0.0805378529619579
0.41,6.33,0.07153448490543847
0.41,7.38,0.0647645355471767
0.41,8.44,0.05936778370602685
0.41,9.49,0.05490507521906371
0.41,10.55,0.05112100840462779
0.54,0.0,0.7551709034157374
0.54,1.05,0.062002097430409
0.54,2.11,0.05362137299357216
0.54,3.16,0.04790874031857939
0.54,4.22,0.04363200802915206
0.54,5.27,0.040244054957283
0.54,6.33,0.0374564261652986
0.54,7.38,0.03510058886024428
0.54,8.44,0.03306996677277993
0.54,9.49,0.03129295694085888
0.54,10.55,0.02971913362631099
0.68,0.0,0.5061726804784797
0.68,1.05,0.035010634075590547
0.68,2.11,0.03092258309326389
0.68,3.16,0.028209307873488215
0.68,4.22,0.026195413155525395
0.68,5.27,0.02459325685260285
0.68,6.33,0.023261860156360295
0.68,7.38,0.02212261934352615
0.68,8.44,0.021127337831749547
0.68,9.49,0.02024429698563489
0.68,10.55,0.019451462779370408
0.81,0.0,0.028247813418110033
0.81,1.05,0.023068144824739713
0.81,2.11,0.020487611580995036
0.81,3.16,0.018899571362454747
0.81,4.22,0.017750670452759774
0.81,5.27,0.016844761437079196
0.81,6.33,0.01609293542630276
0.81,7.38,0.015447912612892122
0.81,8.44,0.014881651535394854
0.81,9.49,0.01437615626810253
0.81,10.55,0.013919170002631093
0.95,0.0,0.02055198021272688
0.95,1.05,0.01641833362140317
0.95,2.11,0.014734231563044221
0.95,3.16,0.01372997323326767
0.95,4.22,0.013011002226122462
0.95,5.27,0.012445860693803767
0.95,6.33,0.011976638866068248
0.95,7.38,0.011573105258912971
0.95,8.44,0.011217578570942988
0.95,9.49,0.010898840933095177
0.95,10.55,0.010609326377047382
1.08,0.0,0.015411892077530938
1.08,1.05,0.012375939186272304
1.08,2.11,0.011234061119617776
1.08,3.16,0.010560090016290918
1.08,4.22,0.01007887176200034
1.08,5.27,0.009700556966048551
1.08,6.33,0.009385939341700617
1.08,7.38,0.009114687098656232
1.08,8.44,0.008874974433474401
1.08,9.49,0.008659335585504264
1.08,10.55,0.008462758380739016
1.22,0.0,0.011949546438893881
1.22,1.05,0.009750827061994882
1.22,2.11,0.008944771721829343
1.22,3.16,0.008469478623732847
1.22,4.22,0.00812989567145074
1.22,5.27,0.00786253906209564
1.22,6.33,0.007639753651950089
1.22,7.38,0.007447222779824294
1.22,8.44,0.007276635297495851
1.22,9.49,0.007122755301767207
1.22,10.55,0.006982075389794375
1.35,0.0,0.009561690032136926
1.35,1.05,0.007950885467223293
1.35,2.11,0.007360381870862489
1.35,3.16,0.007011113469155164
1.35,4.22,0.006761081309775054
1.35,5.27,0.006563866354940333
1.35,6.33,0.006399209692794245
1.35,7.38,0.006256618704776271
1.35,8.44,0.0061300041147805935
1.35,9.49,0.006015532784111338
1.35,10.55,0.0059106398026439995
