a1,a2,growth
0.0,0.0,1.0
0.0,4.22,0.7743326972356632
0.0,8.44,0.5686224951439889
0.0,12.66,0.4408752593263855
0.0,16.88,0.3611335247983081
0.0,21.09,0.3069665382387437
0.0,25.31,0.26761376584393937
0.0,29.53,0.23760459314110452
0.0,33.75,0.21388935693750133
0.0,37.97,0.19463130799995385
0.0,42.19,0.17865447216723906
0.29,0.0,0.9565746237078318
0.29,4.22,0.723073188480052
0.29,8.44,0.5028832652986092
0.29,12.66,0.36592883952747146
0.29,16.88,0.2781625479951371
0.29,21.09,0.21387266371537422
0.29,25.31,0.012894611548182618
0.29,29.53,0.008551441585974451
0.29,33.75,0.0062898074578333334
0.29,37.97,0.00491994403446971
0.29,42.19,0.004012540969202783
0.59,0.0,0.9037903596459581
0.59,4.22,0.6541764486846973
0.59,8.44,0.38798754870235747
0.59,12.66,0.010154136687124136
0.59,16.88,0.005722117528840158
0.59,21.09,0.003829639696010142
0.59,25.31,0.002831276326108949
0.59,29.53,0.0022281137665320656
0.59,33.75,0.0018289462279873104
0.59,37.97,0.0015471544762997575
0.59,42.19,0.001338474528418145
0.88,0.0,0.8362084970569079
0.88,4.22,0.536014865185407
0.88,8.44,0.009037972355841101
0.88,12.66,0.004395577625824134
0.88,16.88,0.0027645027638424657
0.88,21.09,0.0019831793117080377
0.88,25.31,0.0015353443900779239
0.88,29.53,0.0012481400756269594
0.88,33.75,0.0010494193045974235
0.88,37.97,0.0009042315507355827
0.88,42.19,0.0007937420905469428
1.17,0.0,0.7396219249744324
1.17,4.22,0.01579153899370785
1.17,8.44,0.005092486398553082
1.17,12.66,0.0027009948936881386
1.17,16.88,0.0017868646097585436
1.17,21.09,0.0013222997297596586
1.17,25.31,0.0010451319296463537
1.17,29.53,0.0008622292334804099
1.17,33.75,0.0007329513487690406
1.17,37.97,0.0006369300107127358
1.17,42.19,0.000562891608875465
1.47,0.0,0.45263545418329226
1.47,4.22,0.009859488215175675
1.47,8.44,0.0034409067380918347
1.47,12.66,0.0019262142039478145
1.47,16.88,0.001312081586458649
1.47,21.09,0.0009883606717171454
1.47,25.31,0.0007904999012035108
1.47,29.53,0.0006576840018942544
1.47,33.75,0.0005626098050666427
1.47,37.97,0.0004912984112743541
1.47,42.19,0.00043588302674400043
1.76,0.0,0.10228369481223828
1.76,4.22,0.006841318767550366
1.76,8.44,0.002566698424777777
1.76,12.66,0.001489791461117199
1.76,16.88,0.0010343225553445733
1.76,21.09,0.0007881584573419628
1.76,25.31,0.0006352304616832756
1.76,29.53,0.000531396577358473
1.76,33.75,0.00045643774962069063
1.76,37.97,0.0003998470680779162
1.76,42.19,0.0003556433454342364
2.05,0.0,0.07803045804722825
2.05,4.22,0.005122603425874445
2.05,8.44,0.002034661971738853
2.05,12.66,0.0012119436988278663
2.05,16.88,0.0008528012408901967
2.05,21.09,0.000655114217128964
2.05,25.31,0.000530845699949075
2.05,29.53,0.0004457746070382476
2.05,33.75,0.0003839879674033089
2.05,37.97,0.00033712456518556795
2.05,42.19,0.00030038411793287137
2.34,0.0,0.06311472554313216
2.34,4.22,0.004046216128646583
2.34,8.44,0.0016798428826348404
2.34,12.66,0.0010202283551600892
2.34,16.88,0.0007251267101917433
2.34,21.09,0.0005603909303705418
2.34,25.31,0.0004559014581551415
2.34,29.53,0.0003839240117000083
2.34,33.75,0.00033140803682880666
2.34,37.97,0.00029143688031431396
2.34,42.19,0.0002600134005668
2.64,0.0,0.05233191248915829
2.64,4.22,0.0033213694407141212
2.64,8.44,0.001427541204730318
2.64,12.66,0.0008802161489520233
2.64,16.88,0.0006305074990951637
2.64,21.09,0.0004895412293247042
2.64,25.31,0.00039948969583290003
2.64,29.53,0.00033715278368592606
2.64,33.75,0.00029150748019451836
2.64,37.97,0.0002566707627108031
2.64,42.19,0.0002292247960104724
2.93,0.0,0.04397716557591323
2.93,4.22,0.0028054304956223767
2.93,8.44,0.0012394797872002474
2.93,12.66,0.0007735722968190591
2.93,16.88,0.0005575980927421081
2.93,21.09,0.0004345518156227257
2.93,25.31,0.00035548949256429996
2.93,29.53,0.0003005409075029748
2.93,33.75,0.00026018863674069756
2.93,37.97,0.00022932359243229322
2.93,42.19,0.00020496453968966668
