a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,0.14,0.9585334237998608
0.0,0.27,0.9084433744688263
0.0,0.41,0.8448458650285238
0.0,0.54,0.7551709034157374
0.0,0.68,0.5061726804784797
0.0,0.81,0.028247813418507184
0.0,0.95,0.02055198021272688
0.0,1.08,0.015411892077530938
0.0,1.22,0.011949546438893881
0.0,1.35,0.009561690032136926
0.29,0.0,0.9565746237078314
0.29,0.14,0.906123446510571
0.29,0.27,0.8419837575361164
0.29,0.41,0.7513139677150849
0.29,0.54,0.47424728956195905
0.29,0.68,0.03367205743707936
0.29,0.81,0.023856774479144735
0.29,0.95,0.01755296583678017
0.29,1.08,0.013397939149471376
0.29,1.22,0.010581097686481793
0.29,1.35,0.008607823154050412
0.59,0.0,0.9037903596459584
0.59,0.14,0.8391045751893967
0.59,0.27,0.7474358544621171
0.59,0.41,0.43775458207101203
0.59,0.54,0.04106405323487074
0.59,0.68,0.0281630252609481
0.59,0.81,0.020261907944407513
0.59,0.95,0.015185907142159805
0.59,1.08,0.011812782333740715
0.59,1.22,0.00949004500704851
0.59,1.35,0.00783338473260414
0.88,0.0,0.8362084970569076
0.88,0.14,0.7435379841815934
0.88,0.27,0.42254127855843937
0.88,0.41,0.0512573893712038
0.88,0.54,0.03386548106576921
0.88,0.68,0.023747162568273417
0.88,0.81,0.01742768132382214
0.88,0.95,0.013321485171299273
0.88,1.08,0.010548778904508513
0.88,1.22,0.00860458791040743
0.88,1.35,0.00719314082784491
1.17,0.0,0.7396219249744318
1.17,0.14,0.43518717278148106
1.17,0.27,0.06506103190329358
1.17,0.41,0.04146685200262577
1.17,0.54,0.028296149618227923
1.17,0.68,0.020283109384423487
1.17,0.81,0.015196867568141974
1.17,0.95,0.011835848010742847
1.17,1.08,0.009524040404393735
1.17,1.22,0.00787345382270826
1.17,1.35,0.006655158403703666
1.47,0.0,0.4526354541424951
1.47,0.14,0.08250779812781407
1.47,0.27,0.0514436257784655
1.47,0.41,0.0342749101454703
1.47,0.54,0.023972026636907194
1.47,0.68,0.017563549279053726
1.47,0.81,0.013422408570617848
1.47,0.95,0.010633649469157203
1.47,1.08,0.00867947035292358
1.47,1.22,0.0072601765060709735
1.47,1.35,0.006196598136331179
1.76,0.0,0.10228369481250124
1.76,0.14,0.06386702612639653
1.76,0.27,0.04205616035517923
1.76,0.41,0.02877969977280743
1.76,0.54,0.020592960206846655
1.76,0.68,0.015406722511274234
1.76,0.81,0.01199047165223862
1.76,0.95,0.009645414600659933
1.76,1.08,0.007972726860416552
1.76,1.22,0.006738536663243551
1.76,1.35,0.005800835322534467
2.05,0.0,0.07803045804949815
2.05,0.14,0.05179453078357044
2.05,0.27,0.03502269917406999
2.05,0.41,0.0245116984627846
2.05,0.54,0.017923854497944595
2.05,0.68,0.01367276080114994
2.05,0.81,0.010817493694835032
2.05,0.95,0.008821021995262938
2.05,1.08,0.007373210390179729
2.05,1.22,0.006289377936153675
2.05,1.35,0.005455543126889262
2.34,0.0,0.06311472554781017
2.34,0.14,0.042916931847442386
2.34,0.27,0.02958903581139611
2.34,0.41,0.021154674965790713
2.34,0.54,0.01578780271225789
2.34,0.68,0.012258623732657242
2.34,0.81,0.009842839133933478
2.34,0.95,0.008124081181066457
2.34,1.08,0.006858486882900398
2.34,1.22,0.0058984591732555505
2.34,1.35,0.005151416073348897
2.64,0.0,0.052331912497145305
2.64,0.14,0.03606471036941793
2.64,0.27,0.025324594710712512
2.64,0.41,0.0184803453092455
2.64,0.54,0.0140547049480876
2.64,0.68,0.011089231144659626
2.64,0.81,0.009022312287153144
2.64,0.95,0.007527833325176437
2.64,1.08,0.006411840992055644
2.64,1.22,0.005555010762994846
2.64,1.35,0.004881310277911905
2.93,0.0,0.04397716556760949
2.93,0.14,0.030667784635418256
2.93,0.27,0.021936485815744835
2.93,0.41,0.01632198725356735
2.93,0.54,0.012629532122842686
2.93,0.68,0.01010969859712561
2.93,0.81,0.008323341373081708
2.93,0.95,0.007012306797429956
2.93,1.08,0.00602061506387649
2.93,1.22,0.005250755525598085
2.93,1.35,0.004639655571552118
