a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,0.29,0.9565746237078314
0.0,0.59,0.9037903596459584
0.0,0.88,0.8362084970569076
0.0,1.17,0.7396219249744324
0.0,1.47,0.45263545418266615
0.0,1.76,0.10228369481225563
0.0,2.05,0.078030458047252
0.0,2.34,0.06311472554328322
0.0,2.64,0.0523319124888382
0.0,2.93,0.043977165575202405
0.29,0.0,0.9565746237078314
0.29,0.29,0.9037903596459584
0.29,0.59,0.8362084970569076
0.29,0.88,0.7396219249744321
0.29,1.17,0.4526354541889737
0.29,1.47,0.10228369481189041
0.29,1.76,0.07803045804783329
0.29,2.05,0.06311472554216432
0.29,2.34,0.052331912488825676
0.29,2.64,0.04397716557255045
0.29,2.93,0.03731914388899372
0.59,0.0,0.9037903596459584
0.59,0.29,0.8362084970569076
0.59,0.59,0.7396219249744321
0.59,0.88,0.45263545424559093
0.59,1.17,0.10228369481179539
0.59,1.47,0.07803045804737482
0.59,1.76,0.06311472554271398
0.59,2.05,0.05233191248717479
0.59,2.34,0.043977165572037874
0.59,2.64,0.037319143891487716
0.59,2.93,0.03195305047215066
0.88,0.0,0.8362084970569076
0.88,0.29,0.7396219249744321
0.88,0.59,0.45263545431549246
0.88,0.88,0.10228369481132825
0.88,1.17,0.07803045804589617
0.88,1.47,0.06311472554257079
0.88,1.76,0.052331912486480496
0.88,2.05,0.04397716557094932
0.88,2.34,0.03731914389052325
0.88,2.64,0.031953050471104485
0.88,2.93,0.027602131621108823
1.17,0.0,0.7396219249744324
1.17,0.29,0.45263545419561646
1.17,0.59,0.10228369481170951
1.17,0.88,0.07803045804617695
1.17,1.17,0.06311472554192048
1.17,1.47,0.052331912488124965
1.17,1.76,0.04397716557069681
1.17,2.05,0.03731914388924013
1.17,2.34,0.03195305047288557
1.17,2.64,0.027602131616673697
1.17,2.93,0.024055330270144754
1.47,0.0,0.4526354541388092
1.47,0.29,0.10228369481203153
1.47,0.59,0.0780304580470353
1.47,0.88,0.06311472554160151
1.47,1.17,0.05233191248742104
1.47,1.47,0.04397716557120489
1.47,1.76,0.037319143889543535
1.47,2.05,0.031953050471000624
1.47,2.34,0.027602131617892923
1.47,2.64,0.024055330269466834
1.47,2.93,0.021146201254007214
1.76,0.0,0.10228369481249049
1.76,0.29,0.0780304580480399
1.76,0.59,0.0631147255429559
1.76,0.88,0.05233191248763165
1.76,1.17,0.043977165570479294
1.76,1.47,0.037319143889582546
1.76,1.76,0.03195305047204487
1.76,2.05,0.02760213161745002
1.76,2.34,0.024055330268036187
1.76,2.64,0.021146201252650737
1.76,2.93,0.018743204487712703
2.05,0.0,0.07803045804675629
2.05,0.29,0.06311472554199994
2.05,0.59,0.05233191248742987
2.05,0.88,0.04397716557178199
2.05,1.17,0.03731914388917624
2.05,1.47,0.03195305047264734
2.05,1.76,0.0276021316178255
2.05,2.05,0.024055330269308547
2.05,2.34,0.02114620125317888
2.05,2.64,0.018743204487485392
2.05,2.93,0.01674296239620058
2.34,0.0,0.06311472554437242
2.34,0.29,0.05233191248899407
2.34,0.59,0.04397716557245815
2.34,0.88,0.0373191438878981
2.34,1.17,0.03195305047191516
2.34,1.47,0.02760213161726429
2.34,1.76,0.02405533026933616
2.34,2.05,0.021146201253501706
2.34,2.34,0.018743204487289385
2.34,2.64,0.01674296239617891
2.34,2.93,0.015064612418411834
2.64,0.0,0.05233191249096971
2.64,0.29,0.043977165573028186
2.64,0.59,0.03731914389127758
2.64,0.88,0.03195305047427913
2.64,1.17,0.02760213161824464
2.64,1.47,0.0240553302689785
2.64,1.76,0.021146201253674918
2.64,2.05,0.01874320448800583
2.64,2.34,0.016742962395998474
2.64,2.64,0.015064612417908092
2.64,2.93,0.013645013484475187
2.93,0.0,0.04397716557543903
2.93,0.29,0.03731914389203014
2.93,0.59,0.03195305047429743
2.93,0.88,0.027602131619104284
2.93,1.17,0.024055330269250278
2.93,1.47,0.02114620125258556
2.93,1.76,0.018743204486665242
2.93,2.05,0.016742962396761474
2.93,2.34,0.015064612417981453
2.93,2.64,0.013645013485431142
2.93,2.93,0.01243480590405662
