a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,4.22,0.7743326972356632
0.0,8.44,0.5686224951439891
0.0,12.66,0.4408752593263852
0.0,16.88,0.36113352479830796
0.0,21.09,0.3069665382387437
0.0,25.31,0.2676137658439395
0.0,29.53,0.23760459314110452
0.0,33.75,0.21388935693750233
0.0,37.97,0.19463130799995754
0.0,42.19,0.17865447216725383
1.05,0.0,0.6512145775177239
1.05,4.22,0.33271443122524824
1.05,8.44,0.1700010312536554
1.05,12.66,0.11486688455606427
1.05,16.88,0.08655254379921253
1.05,21.09,0.06824320619443848
1.05,25.31,0.05488236609785281
1.05,29.53,0.044662085186723655
1.05,33.75,0.03675086447565876
1.05,37.97,0.03061154062483021
1.05,42.19,0.025829435363855655
2.11,0.0,0.49274070668695996
2.11,4.22,0.18547013988847258
2.11,8.44,0.09321559399853392
2.11,12.66,0.05996014666212473
2.11,16.88,0.040940901936338744
2.11,21.09,0.0291595721476275
2.11,25.31,0.021714584706765332
2.11,29.53,0.01685354954726339
2.11,33.75,0.013548152749020582
2.11,37.97,0.011208528150450807
2.11,42.19,0.009491613926958237
3.16,0.0,0.4003981903440512
3.16,4.22,0.1258428466706033
3.16,8.44,0.06099780088250089
3.16,12.66,0.03518165837329898
3.16,16.88,0.02235283886095001
3.16,21.09,0.015544698451188181
3.16,25.31,0.011598881444335716
3.16,29.53,0.009115754117774289
3.16,33.75,0.007444365768604516
3.16,37.97,0.006257786238260802
3.16,42.19,0.0053790260883529
4.22,0.0,0.33881579699195663
4.22,4.22,0.094315162710721
4.22,8.44,0.04179725470257958
4.22,12.66,0.02243487439990453
4.22,16.88,0.014105545401285627
4.22,21.09,0.009926038890643956
4.22,25.31,0.007529284686896604
4.22,29.53,0.006011597148488721
4.22,33.75,0.0049780065635553
4.22,37.97,0.004234655539918196
4.22,42.19,0.0036771624934899523
5.27,0.0,0.29439535450604193
5.27,4.22,0.07402710312246573
5.27,8.44,0.029714341816609022
5.27,12.66,0.015592930591146777
5.27,16.88,0.009925694403166296
5.27,21.09,0.007103174858493292
5.27,25.31,0.005468979482966068
5.27,29.53,0.004420544400125165
5.27,33.75,0.0036973430250694756
5.27,37.97,0.003171191757058964
5.27,42.19,0.0027725706978853886
6.33,0.0,0.260658268271272
6.33,4.22,0.059268340364256634
6.33,8.44,0.02205176193266818
6.33,12.66,0.011617244046546831
6.33,16.88,0.0075221797292028166
6.33,21.09,0.005464670070776567
6.33,25.31,0.004257342107469105
6.33,29.53,0.0034729554110582354
6.33,33.75,0.0029259807799153228
6.33,37.97,0.002524357579641074
6.33,42.19,0.002217694600295164
7.38,0.0,0.2340765158424713
7.38,4.22,0.047973333623016555
7.38,8.44,0.017057291342496454
7.38,12.66,0.009116417304292962
7.38,16.88,0.005999898929772511
7.38,21.09,0.004413138972407748
7.38,25.31,0.0034699369774109858
7.38,29.53,0.002850477657574578
7.38,33.75,0.0024146597177597514
7.38,37.97,0.0020923070859894177
7.38,42.19,0.001844669174093088
8.44,0.0,0.2125458850192923
8.44,4.22,0.03923575534923832
8.44,8.44,0.013672602787395523
8.44,12.66,0.007435426043585672
8.44,16.88,0.0049638895208988475
8.44,21.09,0.0036881645087721
8.44,25.31,0.0029211085276967816
8.44,29.53,0.0024127320749496805
8.44,33.75,0.0020524622574502765
8.44,37.97,0.001784418694946339
8.44,42.19,0.001577503386093497
9.49,0.0,0.19472553174300866
9.49,4.22,0.03247760578072469
9.49,8.44,0.011285375413763917
9.49,12.66,0.006243891379269163
9.49,16.88,0.004219516252514605
9.49,21.09,0.0031611381435110294
9.49,25.31,0.002518417488121582
9.49,29.53,0.0020891803370500857
9.49,33.75,0.0017831670131516564
9.49,37.97,0.0015543954356886677
9.49,42.19,0.0013771016272825787
10.55,0.0,0.17971677007526343
10.55,4.22,0.027241542639283845
10.55,8.44,0.009539221947856839
10.55,12.66,0.005362773605285627
10.55,16.88,0.003661816175287137
10.55,21.09,0.0027621963136489147
10.55,25.31,0.002211186332549754
10.55,29.53,0.00184081395448803
10.55,33.75,0.001575441660435804
10.55,37.97,0.0013762610567876817
10.55,42.19,0.0012213987264297675
