a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,1.05,0.6512145775177239
0.0,2.11,0.49274070668695963
0.0,3.16,0.4003981903440512
0.0,4.22,0.3388157969919568
0.0,5.27,0.29439535450604193
0.0,6.33,0.2606582682712718
0.0,7.38,0.23407651584247147
0.0,8.44,0.2125458850192912
0.0,9.49,0.19472553174300575
0.0,10.55,0.17971677007524353
1.05,0.0,0.6512145775177237
1.05,1.05,0.49274070668695946
1.05,2.11,0.4003981903440515
1.05,3.16,0.3388157969919568
1.05,4.22,0.29439535450604204
1.05,5.27,0.2606582682712718
1.05,6.33,0.23407651584247113
1.05,7.38,0.21254588501929103
1.05,8.44,0.1947255317430053
1.05,9.49,0.1797167700752469
1.05,10.55,0.16689262292448057
2.11,0.0,0.49274070668695996
2.11,1.05,0.4003981903440515
2.11,2.11,0.3388157969919569
2.11,3.16,0.29439535450604204
2.11,4.22,0.260658268271272
2.11,5.27,0.23407651584247113
2.11,6.33,0.21254588501929086
2.11,7.38,0.1947255317430037
2.11,8.44,0.17971677007524675
2.11,9.49,0.1668926229244796
2.11,10.55,0.15580106998802312
3.16,0.0,0.40039819034405133
3.16,1.05,0.3388157969919568
3.16,2.11,0.29439535450604193
3.16,3.16,0.2606582682712718
3.16,4.22,0.23407651584247097
3.16,5.27,0.2125458850192906
3.16,6.33,0.19472553174300253
3.16,7.38,0.1797167700752432
3.16,8.44,0.1668926229244772
3.16,9.49,0.15580106998803983
3.16,10.55,0.14610711802395543
4.22,0.0,0.33881579699195663
4.22,1.05,0.29439535450604204
4.22,2.11,0.2606582682712718
4.22,3.16,0.23407651584247113
4.22,4.22,0.21254588501929042
4.22,5.27,0.19472553174300208
4.22,6.33,0.17971677007523873
4.22,7.38,0.16689262292446225
4.22,8.44,0.15580106998801155
4.22,9.49,0.14610711802396667
4.22,10.55,0.13755659292547123
5.27,0.0,0.29439535450604193
5.27,1.05,0.2606582682712718
5.27,2.11,0.23407651584247113
5.27,3.16,0.21254588501929042
5.27,4.22,0.19472553174300208
5.27,5.27,0.17971677007523743
5.27,6.33,0.16689262292445714
5.27,7.38,0.15580106998798138
5.27,8.44,0.14610711802387774
5.27,9.49,0.13755659292547573
5.27,10.55,0.12995269859941658
6.33,0.0,0.260658268271272
6.33,1.05,0.23407651584247113
6.33,2.11,0.21254588501929103
6.33,3.16,0.1947255317430037
6.33,4.22,0.17971677007523726
6.33,5.27,0.1668926229244552
6.33,6.33,0.15580106998800272
6.33,7.38,0.14610711802389845
6.33,8.44,0.13755659292535757
6.33,9.49,0.12995269859917352
6.33,10.55,0.12314038765865196
7.38,0.0,0.2340765158424713
7.38,1.05,0.21254588501929103
7.38,2.11,0.19472553174300353
7.38,3.16,0.17971677007524353
7.38,4.22,0.1668926229244616
7.38,5.27,0.15580106998799279
7.38,6.33,0.146107118023858
7.38,7.38,0.13755659292543
7.38,8.44,0.12995269859926648
7.38,9.49,0.12314038765894894
7.38,10.55,0.11699567234392466
8.44,0.0,0.21254588501929136
8.44,1.05,0.1947255317430043
8.44,2.11,0.17971677007524658
8.44,3.16,0.16689262292448248
8.44,4.22,0.15580106998802296
8.44,5.27,0.14610711802388576
8.44,6.33,0.13755659292536512
8.44,7.38,0.12995269859929712
8.44,8.44,0.12314038765874571
8.44,9.49,0.11699567234383396
8.44,10.55,0.11141814608557284
9.49,0.0,0.19472553174300558
9.49,1.05,0.17971677007524833
9.49,2.11,0.16689262292447654
9.49,3.16,0.1558010699880281
9.49,4.22,0.14610711802395188
9.49,5.27,0.1375565929254674
9.49,6.33,0.12995269859934705
9.49,7.38,0.12314038765885904
9.49,8.44,0.11699567234390894
9.49,9.49,0.11141814608552836
9.49,10.55,0.10632564030530045
10.55,0.0,0.1797167700752477
10.55,1.05,0.16689262292448312
10.55,2.11,0.15580106998802232
10.55,3.16,0.14610711802396764
10.55,4.22,0.13755659292549355
10.55,5.27,0.12995269859938605
10.55,6.33,0.12314038765888762
10.55,7.38,0.1169956723439086
10.55,8.44,0.11141814608554135
10.55,9.49,0.10632564030554319
10.55,10.55,0.10165033009339226
