MidPoint,Slope,resultList,LinerType
10,1.0,"[0.7743326972356632, 0.7743326972356632, 0.7743326972356632, 0.7743326972356636, 0.7743326972356632, 0.7743326972356629, 0.7743326972356632, 0.7743326972356636, 0.7743326972356632, 0.7743326972356632, 0.7743326972356632]",-3.3306690738754696e-16
20,1.0,"[0.5686224951439889, 0.5686224951439891, 0.5686224951439892, 0.5686224951439892, 0.5686224951439891, 0.5686224951439889, 0.5686224951439894, 0.5686224951439894, 0.5686224951439889, 0.5686224951439892, 0.5686224951439889]",-5.551115123125783e-16
30,1.0,"[0.4408752593263855, 0.4408752593263852, 0.4408752593263852, 0.4408752593263853, 0.4408752593263855, 0.44087525932638505, 0.4408752593263855, 0.4408752593263852, 0.4408752593263855, 0.44087525932638505, 0.4408752593263855]",4.440892098500626e-16
40,1.0,"[0.3611335247983081, 0.3611335247983083, 0.3611335247983081, 0.3611335247983083, 0.3611335247983081, 0.36113352479830796, 0.3611335247983083, 0.3611335247983081, 0.3611335247983083, 0.3611335247983081, 0.3611335247983081]",-1.6653345369377348e-16
50,1.0,"[0.30696653823874404, 0.30696653823874404, 0.30696653823874387, 0.30696653823874404, 0.30696653823874404, 0.30696653823874404, 0.30696653823874387, 0.30696653823874387, 0.30696653823874387, 0.30696653823874387, 0.30696653823874404]",1.6653345369377348e-16
60,1.0,"[0.2676137658439395, 0.2676137658439395, 0.26761376584393937, 0.26761376584393937, 0.26761376584393937, 0.2676137658439395, 0.26761376584393937, 0.2676137658439395, 0.2676137658439395, 0.26761376584393937, 0.2676137658439395]",1.1102230246251565e-16
70,1.0,"[0.2376045931411042, 0.23760459314110435, 0.23760459314110435, 0.2376045931411042, 0.23760459314110435, 0.23760459314110402, 0.23760459314110402, 0.2376045931411042, 0.2376045931411042, 0.2376045931411042, 0.2376045931411042]",-1.6653345369377348e-16
80,1.0,"[0.21388935693750133, 0.21388935693750116, 0.21388935693750133, 0.21388935693750116, 0.21388935693750089, 0.21388935693750102, 0.21388935693750089, 0.21388935693750133, 0.21388935693750116, 0.21388935693750133, 0.21388935693750133]",4.440892098500626e-16
90,1.0,"[0.19463130799995385, 0.19463130799995274, 0.194631307999953, 0.19463130799995176, 0.19463130799995032, 0.19463130799995, 0.19463130799994954, 0.1946313079999519, 0.1946313079999519, 0.1946313079999535, 0.19463130799995385]",4.3021142204224816e-15
100,1.0,"[0.17865447216723776, 0.17865447216724742, 0.17865447216724387, 0.17865447216724212, 0.17865447216723826, 0.17865447216723745, 0.17865447216723776, 0.17865447216724323, 0.1786544721672479, 0.17865447216724725, 0.17865447216723776]",-1.0130785099704553e-14
