MidPoint,Slope,resultList,LinerType
10,0.25,"[0.49665890133724416, 0.5214751000689792, 0.5488348639218713, 0.5790084453074839, 0.612221775047039, 0.6485924823159005, 0.6880410127164189, 0.7301950409949051, 0.7743326972356629, 0.8194231145376013, 0.8642862717052435]",0.0
20,0.25,"[0.30696653823874404, 0.3251264356682673, 0.34574896713951797, 0.3693903978853124, 0.39678359477878705, 0.42890408821716447, 0.4670530995969333, 0.512934174862472, 0.5686224951439889, 0.6361178511954065, 0.7158803706841449]",0.0
30,0.25,"[0.2250950783395252, 0.2392718139875969, 0.2554650797612681, 0.2741593642049245, 0.29601260563004494, 0.321941700011105, 0.35326200528973134, 0.391919676760974, 0.44087525932638505, 0.5046655370027556, 0.5897330070468065]",0.0
40,0.25,"[0.17865447216723776, 0.19036550862356796, 0.20378809035963702, 0.219342756775419, 0.23760459314110435, 0.2593832456180625, 0.28585866543435073, 0.3188229018697893, 0.36113352479830796, 0.4175993591571707, 0.49665890133724416]",0.0
50,0.25,"[0.14844355628560163, 0.1584624946771216, 0.16997288916649578, 0.18334824971590766, 0.19910037516971626, 0.21795234239524244, 0.24096381125774707, 0.26975857302542655, 0.30696653823874404, 0.3571513344157359, 0.4289040882171648]",0.0
60,0.25,"[0.12709001524584723, 0.13587872416300417, 0.14598632067874295, 0.15775168443659512, 0.17163899747546166, 0.18830442528102068, 0.20871146285476044, 0.2343422602186661, 0.2676137658439395, 0.3127748387770033, 0.3780621575956973]",0.0
70,0.25,"[0.11109221344639074, 0.1189642223112646, 0.12800989211049554, 0.13854144495491455, 0.15098660321128163, 0.16594964572896964, 0.18431778373992844, 0.2074575292583665, 0.23760459314110402, 0.27871516669537055, 0.33856992830713956]",0.0
80,0.25,"[0.09854950402960364, 0.10573576334171507, 0.1139689599318017, 0.12353846568036146, 0.1348423361984785, 0.14844355628567904, 0.16516837354633845, 0.18628903234567076, 0.21388935693750102, 0.25166975797632224, 0.30696653823874404]",0.0
90,0.25,"[0.08834048650278317, 0.09501579886115485, 0.10262799223091355, 0.11144414711652094, 0.12183551966191566, 0.1343300942505458, 0.14970406454456786, 0.16915225781577234, 0.19463130799995, 0.22962114071618808, 0.2810538813048153]",0.0
100,0.25,"[0.07977082167046085, 0.08606501209091201, 0.0932041301233605, 0.10143171576046736, 0.11109221344974421, 0.12268114849745451, 0.1369313103220163, 0.15497255160534096, 0.17865447216723745, 0.2112673362754941, 0.25938324561806214]",0.0
10,0.5,"[0.6614115411903173, 0.6772354393407314, 0.6935173522059973, 0.7102241189521327, 0.727313197712091, 0.7447328011946109, 0.7624225781219257, 0.7803148698569788, 0.7983365022959946, 0.816410999010719, 0.8344610387662691]",0.0
20,0.5,"[0.4408752593263855, 0.45620199279277096, 0.4726816846907885, 0.49043541652596834, 0.5095946237162137, 0.5302986674424063, 0.5526898276440636, 0.5769043945078711, 0.6030582918071413, 0.6312258505157952, 0.6614115411903173]",0.0
