MidPoint,Slope,resultList,LinerType
10,1.0,"[0.7743326972356632, 0.7940427981259541, 0.8139652965428646, 0.8338955430641873, 0.8536264071216293, 0.8729607469157734, 0.8917219776184553, 0.9097613973694895, 0.9269618113942217, 0.9432377942775898, 0.9585334237998612]",0.0
20,1.0,"[0.5686224951439889, 0.5924287533934978, 0.6199974983890004, 0.6515671260404335, 0.6869883296725742, 0.7255094634853787, 0.7657055386966595, 0.8057043965934263, 0.8436561985695578, 0.8781631982617816, 0.9084433744688263]",0.0
30,1.0,"[0.4408752593263855, 0.4548672513813073, 0.47293993319089894, 0.4966494707100761, 0.5280149839756659, 0.5691740113125201, 0.6211256147017433, 0.6814707225092516, 0.7434862353201204, 0.7994492138216048, 0.8448458650285241]",0.0
40,1.0,"[0.3611335247983081, 0.3636275816824893, 0.36727249737750667, 0.37297915753063005, 0.38275269065182627, 0.40136060160756293, 0.4393309715752496, 0.5091804367102526, 0.6030708782135975, 0.6913944626064048, 0.7551709034157371]",0.0
50,1.0,"[0.30696653823874404, 0.2978373120872667, 0.2826353730162881, 0.004436436493929589, 0.0027858925450143027, 0.0023988565912245003, 0.0024536014226388455, 0.002942062651698799, 0.004263873842593431, 0.007960426556829029, 0.5061726804869325]",0.3045676816475195
60,1.0,"[0.2676137658439395, 0.24612603336169267, 0.00373587932842905, 0.001774520655250545, 0.0013389898807404685, 0.0012158982102635672, 0.001261868633583484, 0.0015032115581604785, 0.002162016157032616, 0.004318908069887665, 0.028247813405196196]",0.02703191519493263
70,1.0,"[0.2376045931411042, 0.20163622852768529, 0.001717079962915317, 0.0010183078140018574, 0.0008118813679803285, 0.0007524183308812837, 0.0007837026259912039, 0.0009252596507334389, 0.001305303205137194, 0.002577174158970813, 0.020551980189674607]",0.01979956185879332
80,1.0,"[0.21388935693750133, 0.09252232799578335, 0.0010481432519669407, 0.0006752608222746, 0.0005534679770212689, 0.0005183926372798006, 0.0005405962275293801, 0.0006339251083460103, 0.0008807222428438245, 0.0017057412079254524, 0.015411892054491028]",0.014893499417211227
90,1.0,"[0.19463130799995385, 0.002157139141327488, 0.000721557384859321, 0.0004862644880755313, 0.00040518279110397115, 0.0003819521157067174, 0.00039850771505739506, 0.00046501803805656786, 0.0006387659755208277, 0.0012162384933598483, 0.011949546421909964]",0.011567594306203246
100,1.0,"[0.17865447216723776, 0.001365999371092038, 0.0005330578688582931, 0.0003694918807917228, 0.00031123815532824194, 0.0002946548591188818, 0.00030750200082639226, 0.00035753942012218973, 0.00048699666277623045, 0.000914597675075215, 0.009561690029341778]",0.009267035170222896
