MidPoint,Slope,resultList,LinerType
10,0.5,"[0.9347887227123535, 0.9385027115262119, 0.9421603762486989, 0.9457634496603293, 0.9493135783445856, 0.9528123286079969, 0.9562611918865429, 0.959661589691838, 0.9630148781441306, 0.9663223521335396, 0.9695852491461596]",0
20,0.5,"[0.8448458650285241, 0.8555762307978683, 0.8658229394876618, 0.8756325395646425, 0.8850445604483222, 0.8940929143471329, 0.9028069572531581, 0.9112123052299745, 0.9193314716376834, 0.9271843710905189, 0.9347887227123535]",0
30,0.5,"[0.6871099228359748, 0.7211426310057315, 0.7494401310267803, 0.7739710744624162, 0.7957826539890647, 0.8155108598750177, 0.8335763877526685, 0.8502747359532565, 0.8658229394876618, 0.8803860100625027, 0.8940929143471329]",0
40,0.5,"[0.028247813405639262, 0.031235155074135098, 0.034642420048940595, 0.03909620129122655, 0.6233379626292463, 0.6871099228359748, 0.7310864168312636, 0.7661366688019371, 0.795782653989065, 0.8217008441473451, 0.8448458650285241]",0
50,0.5,"[0.017724212707188138, 0.019790565370598583, 0.022195336345233713, 0.024993289728214994, 0.028247813402256572, 0.032043150395393405, 0.03657347849283599, 0.5994622472904882, 0.6871099228359765, 0.740496390711164, 0.7815064510891553]",0
60,0.5,"[0.01194954642111197, 0.013344433928506047, 0.01500214047989238, 0.01698130166647882, 0.019351864624877094, 0.022195336345204975, 0.025605413140082457, 0.029694925833127432, 0.034642420046644855, 0.5652003662858744, 0.6871099228359748]",0
70,0.5,"[0.008644067638221703, 0.009611733869013631, 0.010769265303542773, 0.012165942647830441, 0.013865130718154864, 0.01594743847928489, 0.018513394110509472, 0.0216847743589796, 0.025605413140318594, 0.030452863823479184, 0.03657347873736431]",0
80,0.5,"[0.006618966377081729, 0.007321434177553185, 0.008161288069313398, 0.009176220944717756, 0.010416531487453997, 0.011949546419252392, 0.013865130762775789, 0.016281784320865484, 0.019351864624313316, 0.023264037725902752, 0.028247813405196196]",0
90,0.5,"[0.005293556229888346, 0.005826382918615117, 0.006461318825348851, 0.007226772919229799, 0.008161288069760153, 0.009317737905052704, 0.01076926530267302, 0.012617380957526006, 0.015002140478890832, 0.01811283426292985, 0.022195336348696505]",0
100,0.5,"[0.004376134677100575, 0.0047956863127837784, 0.005293556229405793, 0.005891440442520795, 0.006618966376419222, 0.007517225792556058, 0.008644067638188313, 0.010081982091572288, 0.011949546419534602, 0.014416976966901794, 0.017724212709922766]",0
