MidPoint,Slope,resultList,LinerType
10,0.25,"[0.8788122764797739, 0.8903649867005597, 0.901376704267328, 0.9118995423599691, 0.9219777732332649, 0.9316493926462183, 0.9409473041117712, 0.9499002301573052, 0.9585334237998612, 0.9668692313122114, 0.9749275426047326]",0.0
20,0.25,"[0.5061726804869325, 0.664250398289956, 0.7245213874769, 0.7687831814452709, 0.8047792826019456, 0.8354947490501515, 0.8624580761261789, 0.8865770298036602, 0.9084433744688263, 0.928468573676688, 0.9469526296896316]",0.0
30,0.25,"[0.017724212707188138, 0.020947376394523518, 0.02499328972619922, 0.030070924782743504, 0.036573478495756026, 0.6511855590728387, 0.740496390711164, 0.7992019851980805, 0.8448458650285238, 0.8827268886699571, 0.9153063607104389]",0.0
40,0.25,"[0.009561690029341778, 0.011270037651540646, 0.013514666734618052, 0.016510306933198715, 0.020551980190057793, 0.02602388862377227, 0.03345188784222742, 0.6365680489908395, 0.7551709034157381, 0.825731406687389, 0.8788122764797739]",0.0
50,0.25,"[0.006117792964897483, 0.007118950394230604, 0.008437261124393207, 0.010219244226205211, 0.012695130074582252, 0.01622536324092803, 0.02135289707910078, 0.02883996755126834, 0.5061726805115233, 0.7479794397612424, 0.8354947490501511]",0.0
60,0.25,"[0.004376134677100575, 0.005033629074149014, 0.005891440443459896, 0.0070436089958350965, 0.00864406763735452, 0.0109528383986069, 0.01441697696515555, 0.019790565369432654, 0.028247813402666404, 0.5994622472904876, 0.7815064510891553]",0.0
70,0.25,"[0.003363607100859327, 0.0038340513630575374, 0.00444136193357277, 0.005248590939064635, 0.006359801388274861, 0.007954896551550142, 0.010359542887771743, 0.014183119560654019, 0.020551980189116442, 0.031367995012118004, 0.7069022123024271]",0.0
80,0.25,"[0.002713840061692149, 0.0030718419780633318, 0.00352959713896382, 0.004131800013885104, 0.0049520027773112376, 0.006117792963837985, 0.007863967892670954, 0.010649591572018582, 0.015411892052611703, 0.024013280126251004, 0.5061726804869325]",0.0
90,0.25,"[0.0022661192303786016, 0.002551073861649542, 0.002912460741621677, 0.003383557716377094, 0.004018768036810766, 0.004912073991416263, 0.006236750304475399, 0.00833693077423173, 0.011949546419578589, 0.018718269850227776, 0.032043150397286696]",0.0
100,0.25,"[0.0019408767434592907, 0.0021754422123860186, 0.0024708776666119915, 0.002852980938520196, 0.0033636070996306304, 0.004074567699741977, 0.00511769474370779, 0.006755499562823399, 0.009561690026981505, 0.014902203398300557, 0.026023888624800304]",0.0
10,0.5,"[0.9347887227123535, 0.9385027115262119, 0.9421603762486989, 0.9457634496603293, 0.9493135783445856, 0.9528123286079969, 0.9562611918865429, 0.959661589691838, 0.9630148781441306, 0.9663223521335396, 0.9695852491461596]",0.0
20,0.5,"[0.8448458650285241, 0.8555762307978683, 0.8658229394876618, 0.8756325395646425, 0.8850445604483222, 0.8940929143471329, 0.9028069572531581, 0.9112123052299745, 0.9193314716376834, 0.9271843710905189, 0.9347887227123535]",0.0
30,0.5,"[0.6871099228359748, 0.7211426310057315, 0.7494401310267803, 0.7739710744624162, 0.7957826539890647, 0.8155108598750177, 0.8335763877526685, 0.8502747359532565, 0.8658229394876618, 0.8803860100625027, 0.8940929143471329]",0.0
40,0.5,"[0.028247813405639262, 0.031235155074135098, 0.034642420048940595, 0.03909620129122655, 0.6233379626292463, 0.6871099228359748, 0.7310864168312636, 0.7661366688019371, 0.795782653989065, 0.8217008441473451, 0.8448458650285241]",0.0
50,0.5,"[0.017724212707188138, 0.019790565370598583, 0.022195336345233713, 0.024993289728214994, 0.028247813402256572, 0.032043150395393405, 0.03657347849283599, 0.5994622472904882, 0.6871099228359765, 0.740496390711164, 0.7815064510891553]",0.0
60,0.5,"[0.01194954642111197, 0.013344433928506047, 0.01500214047989238, 0.01698130166647882, 0.019351864624877094, 0.022195336345204975, 0.025605413140082457, 0.029694925833127432, 0.034642420046644855, 0.5652003662858744, 0.6871099228359748]",0.0
70,0.5,"[0.008644067638221703, 0.009611733869013631, 0.010769265303542773, 0.012165942647830441, 0.013865130718154864, 0.01594743847928489, 0.018513394110509472, 0.0216847743589796, 0.025605413140318594, 0.030452863823479184, 0.03657347873736431]",0.0
80,0.5,"[0.006618966377081729, 0.007321434177553185, 0.008161288069313398, 0.009176220944717756, 0.010416531487453997, 0.011949546419252392, 0.013865130762775789, 0.016281784320865484, 0.019351864624313316, 0.023264037725902752, 0.028247813405196196]",0.0
90,0.5,"[0.005293556229888346, 0.005826382918615117, 0.006461318825348851, 0.007226772919229799, 0.008161288069760153, 0.009317737905052704, 0.01076926530267302, 0.012617380957526006, 0.015002140478890832, 0.01811283426292985, 0.022195336348696505]",0.0
100,0.5,"[0.004376134677100575, 0.0047956863127837784, 0.005293556229405793, 0.005891440442520795, 0.006618966376419222, 0.007517225792556058, 0.008644067638188313, 0.010081982091572288, 0.011949546419534602, 0.014416976966901794, 0.017724212709922766]",0.0
10,1.0,"[0.9585334237998612, 0.9585334237998608, 0.9585334237998612, 0.9585334237998612, 0.9585334237998608, 0.9585334237998612, 0.9585334237998612, 0.9585334237998608, 0.9585334237998608, 0.9585334237998608, 0.9585334237998612]",3.3306690738754696e-16
20,1.0,"[0.9084433744688263, 0.9084433744688263, 0.908443374468826, 0.9084433744688263, 0.9084433744688263, 0.9084433744688263, 0.9084433744688263, 0.9084433744688263, 0.9084433744688263, 0.9084433744688263, 0.9084433744688263]",3.3306690738754696e-16
30,1.0,"[0.8448458650285241, 0.8448458650285238, 0.8448458650285238, 0.8448458650285241, 0.8448458650285238, 0.8448458650285238, 0.8448458650285238, 0.8448458650285241, 0.8448458650285238, 0.8448458650285241, 0.8448458650285241]",3.3306690738754696e-16
40,1.0,"[0.7551709034157371, 0.7551709034157374, 0.7551709034157378, 0.7551709034157368, 0.7551709034157371, 0.7551709034157381, 0.7551709034157374, 0.7551709034157371, 0.7551709034157378, 0.7551709034157374, 0.7551709034157371]",-9.992007221626409e-16
50,1.0,"[0.5061726804869325, 0.5061726804908663, 0.5061726805231846, 0.5061726805144364, 0.5061726805137174, 0.5061726805115233, 0.5061726805213036, 0.5061726805301744, 0.5061726805075518, 0.5061726805132305, 0.5061726804869325]",-4.32418545415203e-11
60,1.0,"[0.028247813405639262, 0.028247813403896704, 0.028247813402929676, 0.02824781340269546, 0.02824781340237809, 0.028247813402666404, 0.02824781340207453, 0.02824781340283416, 0.028247813403919183, 0.02824781340243845, 0.028247813405196196]",3.121666120042832e-12
70,1.0,"[0.02055198019254745, 0.020551980190108038, 0.020551980189538317, 0.020551980190180275, 0.02055198018906186, 0.020551980189116442, 0.020551980188790404, 0.0205519801883642, 0.02055198018933444, 0.020551980190207566, 0.020551980189674607]",1.3104066443059281e-12
80,1.0,"[0.015411892055069097, 0.015411892053139848, 0.015411892052228357, 0.015411892053918897, 0.015411892052599503, 0.015411892052611703, 0.015411892053908142, 0.0154118920529806, 0.015411892052085485, 0.015411892052958608, 0.015411892054491028]",2.4055427788605144e-12
90,1.0,"[0.01194954642111197, 0.011949546420881288, 0.011949546418704179, 0.01194954642021204, 0.01194954641971841, 0.011949546419578589, 0.01194954641971841, 0.01194954642023066, 0.011949546419514054, 0.011949546420828636, 0.011949546421909964]",2.4077909804853803e-12
100,1.0,"[0.009561690029341778, 0.009561690029349323, 0.00956169002483923, 0.009561690025737719, 0.009561690025665962, 0.009561690026981505, 0.009561690027336436, 0.00956169002775221, 0.009561690026182065, 0.009561690026267146, 0.009561690029341778]",-7.544312397023134e-15
10,2.0,"[0.9695852491461596, 0.9663223521335399, 0.9630148781441306, 0.9596615896918377, 0.9562611918865429, 0.9528123286079969, 0.9493135783445853, 0.9457634496603293, 0.9421603762486992, 0.9385027115262119, 0.9347887227123535]",0.0
