MidPoint,Slope,resultList,LinerType
10,4.0,"[0.7466750375277624, 0.7542255625534132, 0.7625780747639367, 0.7718547479460404, 0.7822005487592509, 0.7937875867491462, 0.8068198692546824, 0.8215380052422602, 0.8382228235422897, 0.8571957963775435, 0.8788122764797739]",0
20,4.0,"[0.6014828868412692, 0.6008146691397224, 0.600003343226876, 0.5989970219465917, 0.5977149995008906, 0.5960242068431026, 0.5936875607373884, 0.5902339750353585, 0.5845555141682746, 0.5730882408593764, 0.5061726804869325]",0
30,4.0,"[0.5077440697784784, 0.4943976966516732, 0.47638973297348336, 0.4500951352836046, 0.40471800926821927, 0.08168363536882518, 0.04672877413817983, 0.03360341441418514, 0.025930658490076603, 0.021004054909495525, 0.017724212709922766]",0
40,4.0,"[0.4413511844801566, 0.41336111218920046, 0.3698232484599094, 0.27159460274714725, 0.05733976901199314, 0.03379587625784968, 0.023068144811798263, 0.017079215097152513, 0.0134246710886184, 0.011080816959842891, 0.009561690029341778]",0
50,4.0,"[0.3914082034081296, 0.34735828780069156, 0.26158560490412963, 0.06273836239251498, 0.03133736401267793, 0.01958613203415763, 0.013726945491175807, 0.010392639118645334, 0.008328692170916587, 0.006988181416359948, 0.006117792964897483]",0
60,4.0,"[0.3522451414953137, 0.2907268707564208, 0.11901257279134263, 0.03724633971929498, 0.02003019405518818, 0.012915628230882612, 0.009281446230762847, 0.0071697755377383736, 0.005836504724225632, 0.004955193470331175, 0.004376134677100575]",0
70,4.0,"[0.3205875571331054, 0.24005240546575066, 0.06441589551503503, 0.025158752001411218, 0.014061524970086349, 0.009322628825818555, 0.00684311012615093, 0.005371080658508923, 0.004424034952429202, 0.0037876190183980187, 0.003363607100859327]",0
80,4.0,"[0.2943953545060416, 0.19339331372817467, 0.04363200797677144, 0.01828635613249696, 0.010560090020929431, 0.00716837413524696, 0.005352222425725296, 0.004253073400306038, 0.00353441668030908, 0.003044581539272868, 0.002713840061692149]",0
90,4.0,"[0.27232276241843506, 0.15018206020192532, 0.03197594472845382, 0.01402306870535237, 0.008330900652879895, 0.005766264931830088, 0.004364242649893041, 0.003501641517164452, 0.0029299604262659202, 0.0025356146131318424, 0.0022661192303786016]",0
100,4.0,"[0.2534416972748678, 0.11254358853599329, 0.024593256823232438, 0.011201352081539242, 0.00681748596771147, 0.0047947408554749205, 0.003668849549973908, 0.002966414016442111, 0.002495570222457246, 0.0021674876391921238, 0.0019408767434592907]",0
