MidPoint,Slope,resultList,LinerType
10,0.25,"[0.4413511844801566, 0.46257477448523726, 0.4868531451683741, 0.514897620677594, 0.54766435063247, 0.5864713430176972, 0.633187106559218, 0.6905374269762174, 0.7625780747639367, 0.8551877578860596, 0.9749275426047326]",0.0
20,0.25,"[0.2943953545060416, 0.3094188756638332, 0.3273864820050976, 0.3492129217396603, 0.3762207719740261, 0.41039473646673597, 0.4548594331076357, 0.5148594902122308, 0.600003343226876, 0.7300134379254134, 0.9469526296896316]",0.0
30,0.25,"[0.22277672271673793, 0.23245201011486147, 0.24438034041630535, 0.2594165558655037, 0.2788802581995135, 0.30489553447398327, 0.341059573500051, 0.39388436630809437, 0.47638973297348336, 0.619365556148089, 0.9153063607104389]",0.0
40,0.25,"[0.1797167700752453, 0.18525141414376317, 0.19221231171316955, 0.2012270066677597, 0.21333960251424508, 0.23039755295999265, 0.2559085803580542, 0.2970603570921371, 0.3698232484599094, 0.5147268136865965, 0.8788122764797739]",0.0
50,0.25,"[0.15079685194603326, 0.15315668098368906, 0.15615159432250258, 0.16008242253991145, 0.16547748822756994, 0.17335679198670972, 0.1859615223372181, 0.20916329494852512, 0.26158560490412963, 0.4022835070562688, 0.8354947490501511]",0.0
60,0.25,"[0.12995269859914302, 0.12987368803966298, 0.12976514076901285, 0.12960224810099888, 0.12932416984481018, 0.1287669202225344, 0.12748421827787365, 0.12447915667468563, 0.11901257279134263, 0.12240592032773767, 0.7815064510891553]",0.010940125807800393
70,0.25,"[0.11414152214901796, 0.1121559840010467, 0.10960769297112842, 0.10619565108837054, 0.1013911834939816, 0.09443416542532151, 0.08494873066955365, 0.07413817675203034, 0.06441589551503503, 0.05788738706234778, 0.7069022123024271]",0.05625413508667018
80,0.25,"[0.10165033008807552, 0.09811105854260023, 0.0935572200896357, 0.08750811403639565, 0.07947046115763813, 0.06962338553760947, 0.05936778342544139, 0.05039481144949442, 0.04363200797677144, 0.039718289893603424, 0.5061726804869325]",0.061932040194472085
90,0.25,"[0.09143969525526538, 0.08656303266410219, 0.08028793283705597, 0.07221044872496948, 0.0625358811398468, 0.05254833679377337, 0.04375715630484695, 0.0368738686707306, 0.03197594472845382, 0.029300490988756495, 0.032043150397286696]",0.002742659408530201
100,0.25,"[0.0828497694788282, 0.07677538315050707, 0.06905012866801588, 0.059695307821387114, 0.049764518878041265, 0.04079712094367086, 0.03363217727952275, 0.028304229689434947, 0.024593256823232438, 0.02258920455019928, 0.026023888624800304]",0.0034346840746010236
10,0.5,"[0.559621350758156, 0.5803852144235078, 0.6036380085821466, 0.6298451331114803, 0.6595929495645003, 0.6936269599072373, 0.7328997493034574, 0.7786218903812137, 0.8322834003053808, 0.8955327059113586, 0.9695852491461596]",0.0
20,0.5,"[0.4003981903440515, 0.4169149936351978, 0.4363499737158073, 0.4594984003743979, 0.48746062146781277, 0.5218020947010845, 0.564826562956059, 0.6200647775864916, 0.6931765804409848, 0.7935017322688921, 0.9347887227123535]",0.0
30,0.5,"[0.31496268288247714, 0.3260190073173091, 0.3395378724236813, 0.3563784679355195, 0.3778161501954128, 0.40580645540004223, 0.4434667334101735, 0.49602077792300275, 0.5728530320518325, 0.6925508208632436, 0.8940929143471329]",0.0
40,0.5,"[0.2606582682712718, 0.266674173341806, 0.2742795511152705, 0.2841652900134916, 0.297458575043445, 0.31609136784969705, 0.34355218865054926, 0.3864653663344835, 0.45802574263682716, 0.5866622456867362, 0.8448458650285241]",0.0
50,0.5,"[0.22277672271673793, 0.22436830291572069, 0.2264374584563947, 0.22923414761181626, 0.23321572395429352, 0.23930959262242177, 0.24967658227491227, 0.2703655685827127, 0.3212838839946678, 0.45564520879620335, 0.7815064510891553]",0.0
60,0.5,"[0.19472553174300575, 0.19249894001177936, 0.1895439472661352, 0.18542898283079287, 0.17927893847265616, 0.1688071848767425, 0.14574893285624216, 0.10553159261684752, 0.07632315609320842, 0.06071617101122655, 0.6871099228359748]",0.1340093607317792
70,0.5,"[0.17306315674917383, 0.1675775779784249, 0.16021311863916407, 0.14980249740598264, 0.13377943005238715, 0.10780430852711198, 0.07884511877247517, 0.058779487307150435, 0.04662826027531831, 0.039734171602234254, 0.03657347873736431]",0.0
80,0.5,"[0.15580106998803436, 0.1475585095393071, 0.13645502001307835, 0.12068168616307876, 0.09752159002867737, 0.07153448468562101, 0.05234188082670444, 0.04020385995382978, 0.0326765567052004, 0.028463850171280454, 0.028247813405196196]",0.0
90,0.5,"[0.14170235895434175, 0.13113582767074575, 0.11689935568843314, 0.09686134219359757, 0.07202912186352999, 0.05140638830764469, 0.03799582333080563, 0.029593626833951097, 0.02432158041062664, 0.021381317065862153, 0.022195336348696505]",0.0008140192828343522
100,0.5,"[0.12995269859914302, 0.1174116731447187, 0.10049291789201222, 0.07775358073101678, 0.054905074916562206, 0.038945791969262775, 0.029034683420267247, 0.022828968234566673, 0.01889957134962599, 0.01668723995205504, 0.017724212709922766]",0.0010369727578677275
10,1.0,"[0.6512145775177237, 0.6691925416583341, 0.6890146393030288, 0.7109575330193748, 0.7353493645653238, 0.7625780747639367, 0.7930974463164312, 0.827425147791002, 0.8661199305669733, 0.9097113158753619, 0.9585334237998612]",0.0
20,1.0,"[0.49274070668695963, 0.5077359335719219, 0.5252226805728163, 0.5458237268311891, 0.5703723198804415, 0.600003343226876, 0.636292523742302, 0.6814695010601604, 0.7387279150286407, 0.8125616480661958, 0.9084433744688263]",0.0
30,1.0,"[0.4003981903440515, 0.40967241412694205, 0.421006592192245, 0.43511343436621724, 0.4530437696847246, 0.47638973297348336, 0.5076341410966032, 0.5507691403928315, 0.6124324926702696, 0.704043558082051, 0.8448458650285241]",0.0
40,1.0,"[0.33881579699195646, 0.34202639982084787, 0.3461335437987339, 0.3515582481411989, 0.35901851431326287, 0.3698232484599094, 0.38654630469579915, 0.41463413820282813, 0.4659947434080753, 0.5648847219623018, 0.7551709034157371]",0.0
50,1.0,"[0.2943953545060416, 0.2917225133865223, 0.2881439109728735, 0.2830858103608569, 0.27532655015042773, 0.26158560490412963, 0.2207043886400989, 0.0936060417672929, 0.062002097401666574, 0.04844667415710267, 0.5061726804869325]",0.2459486803489389
60,1.0,"[0.2606582682712718, 0.2524370702091545, 0.24093588549862788, 0.2234365826112234, 0.19217276938774278, 0.11901257279134263, 0.06882650253623049, 0.048316935082059205, 0.03747325770012698, 0.03132378819077015, 0.028247813405196196]",0.0
70,1.0,"[0.23407651584247147, 0.22070205468799658, 0.20125881423141984, 0.16969461064287156, 0.11116873808613457, 0.06441589551503503, 0.04328326053510492, 0.03207980524968708, 0.025515088921004625, 0.021748051950631654, 0.020551980189674607]",0.0
80,1.0,"[0.21254588501929103, 0.19444703915704692, 0.16740628841700647, 0.12224780408328718, 0.07002334343664003, 0.04363200797677144, 0.03045596039044331, 0.02300863612188408, 0.018521400431953855, 0.015930097040985258, 0.015411892054491028]",0.0
90,1.0,"[0.19472553174300575, 0.17235624292982152, 0.13848060180631622, 0.08716750519396164, 0.04966729808016599, 0.03197594472845382, 0.022749307312232923, 0.017408389247906463, 0.014138143369361755, 0.012225516250180708, 0.011949546421909964]",0.0
100,1.0,"[0.1797167700752453, 0.1535448812309363, 0.11385536530370075, 0.06476453529771384, 0.037456426069116235, 0.024593256823232438, 0.017750670438546605, 0.013729973231082536, 0.011234061120152182, 0.00975082706157959, 0.009561690029341778]",0.0
10,2.0,"[0.7114598555937899, 0.7251613934645998, 0.7401838338978551, 0.756704081557347, 0.7749259653034616, 0.7950828790890269, 0.8174388358521011, 0.8422858444859387, 0.8699337388231649, 0.9006856958748233, 0.9347887227123535]",0.0
20,2.0,"[0.559621350758156, 0.5695020911022337, 0.5810934027265844, 0.5948423894332927, 0.6113510414695182, 0.6314412067507142, 0.6562492882804059, 0.6873618083091567, 0.7269976401259995, 0.7782032189638015, 0.8448458650285241]",0.0
30,2.0,"[0.465489596213448, 0.46791527378966735, 0.4709471207359366, 0.47483777155309387, 0.4799969476191068, 0.48712843483772866, 0.4975263617471384, 0.5137596312170795, 0.5412968183027992, 0.591903337901526, 0.6871099228359748]",0.0
40,2.0,"[0.4003981903440515, 0.3943794287428062, 0.3863185317857623, 0.37484906882860514, 0.3567998579721438, 0.3212838839946678, 0.09085165996346968, 0.05466281998712737, 0.040962898445421836, 0.033149819459842994, 0.028247813405196196]",0.0
