MidPoint,Slope,resultList,LinerType
10,1.0,"[0.7743326972356632, 0.7938471011701131, 0.8135767701795473, 0.8333165135564881, 0.8528581479561421, 0.8720031122406591, 0.8905732284223543, 0.9084182221221029, 0.925419505120128, 0.9414905406272803, 0.9565746237078318]",0.0
20,1.0,"[0.5686224951439889, 0.5919374259457832, 0.6190010790403901, 0.6500674441664053, 0.6850046560728696, 0.7230731884800514, 0.762846276897401, 0.8024339429481412, 0.839961164140607, 0.8740101435230454, 0.9037903596459584]",0.0
30,1.0,"[0.4408752593263855, 0.4540378274034473, 0.4711495007381246, 0.4937725475371728, 0.5239720527810321, 0.5639963508456707, 0.6150051312242989, 0.6746861676190019, 0.736188685185491, 0.7915654607978412, 0.8362084970569076]",0.0
40,1.0,"[0.3611335247983081, 0.3624326103173482, 0.36445956545095887, 0.36787852183292846, 0.37428199480523555, 0.38798754870235747, 0.4206242203325015, 0.48925665968370596, 0.5856072298950066, 0.6756514316207591, 0.7396219249744318]",0.0
50,1.0,"[0.30696653823874404, 0.29622147291683454, 0.278162547995136, 0.015274054284346741, 0.010154136687026695, 0.008805303847662248, 0.009037972356149159, 0.010870548920230573, 0.0157915389937536, 0.03055800194592006, 0.4526354542251906]",0.2981612343910818
60,1.0,"[0.2676137658439395, 0.2439840479615036, 0.013317525775801758, 0.006482874375723521, 0.004853087523227505, 0.004395577625746919, 0.00457989505786686, 0.005519394589449652, 0.008121396144875581, 0.01708069958412545, 0.10228369481228902]",0.0978881171865421
70,1.0,"[0.2376045931411042, 0.1987401638981999, 0.006260782254693284, 0.0036337127373460704, 0.00286610441599297, 0.0026488998603919566, 0.0027699827655209746, 0.0033097471981964224, 0.004792316690872819, 0.010116656198257502, 0.07803045804680334]",0.07538155818641137
80,1.0,"[0.21388935693750133, 0.03969701192235557, 0.0037362660325331453, 0.0023540898658154304, 0.0019117973007410033, 0.0017868646097770043, 0.0018701000446730057, 0.0022163333413663076, 0.003153078450050617, 0.006521023156459195, 0.0631147255421425]",0.06132786093236549
90,1.0,"[0.19463130799995385, 0.007926691500911735, 0.002517800387000872, 0.001664954844406452, 0.001377070617480519, 0.0012961290630897344, 0.0013565974433239767, 0.0015974254177350967, 0.002239660653276845, 0.004523294645645211, 0.05233191248927034]",0.051035783426180606
100,1.0,"[0.17865447216723776, 0.00491994403410017, 0.0018289462279219746, 0.0012481400756015955, 0.001045131929664012, 0.0009883606717245297, 0.001034322555342968, 0.0012119436988437587, 0.001679842882613811, 0.003321369440697105, 0.0439771655721008]",0.04298880490037627
