MidPoint,Slope,resultList,LinerType
10,0.25,"[0.49665890133724416, 0.5266951589623442, 0.5615464932537727, 0.6018989639347165, 0.6481781942860568, 0.7001599310347628, 0.7565362054977568, 0.8148279381327769, 0.8720031122406591, 0.9254851413500089, 0.9737718445975588]",0.0
20,0.25,"[0.30696653823874404, 0.32367592063262624, 0.3448201457339687, 0.3720712736312378, 0.40790394737226143, 0.45600705593081114, 0.521653248198458, 0.6107217624354376, 0.7230731884800514, 0.8418438346344002, 0.9444035257737016]",0.0
30,0.25,"[0.2250950783395252, 0.23168530941951693, 0.24081827934019936, 0.25395716177580574, 0.27361577609513343, 0.3041404096888491, 0.35301151263842045, 0.4330804251760205, 0.5639963508456707, 0.7461980467444932, 0.911044533523653]",0.0
40,0.25,"[0.17865447216723776, 0.17660769211720895, 0.17356420886655172, 0.1677912265277291, 0.012894611547773587, 0.010628044603024443, 0.011063820504523324, 0.014234786518833894, 0.38798754870235747, 0.6320278970335798, 0.872385904379804]",0.16802642756421332
50,0.25,"[0.14844355628560163, 0.13772797178522217, 0.01631503484886719, 0.006006980469341203, 0.004462741419464456, 0.00406984636538744, 0.004310905670159378, 0.005394055410419137, 0.008805303847662248, 0.4632496930175265, 0.8262130138984518]",0.1443737099202142
60,0.25,"[0.12709001524584723, 0.10374637031974288, 0.005038985397702359, 0.002970590659698007, 0.002374670979652851, 0.002217386307538405, 0.0023445176519500473, 0.0028584423183563214, 0.004395577625746919, 0.011763528847734236, 0.7681691348056756]",0.12487262893830885
70,0.25,"[0.11109221344639074, 0.01424104317508109, 0.0028064070588594767, 0.0018246068328955673, 0.0015050255023612107, 0.0014198185074505063, 0.0014971589574032625, 0.0017950201979658527, 0.0026488998603919566, 0.0065446831953559215, 0.686814644825945]",0.10967239493894024
80,0.25,"[0.09854950402960364, 0.0051966507117220066, 0.001836230256247412, 0.0012529584825936976, 0.001051376381715872, 0.0009973596904192356, 0.0010494193045857048, 0.0012444795696561544, 0.0017868646097770043, 0.00411977723582278, 0.4526354542251906]",0.0975521443391844
90,0.25,"[0.08834048650278317, 0.0031964589010611897, 0.0013124282783444103, 0.0009215088192956296, 0.0007815019288993754, 0.0007438695204482149, 0.0007814480885135591, 0.0009197984898798528, 0.0012961290630897344, 0.002837066665781662, 0.11716145144142114]",0.08759661698233495
100,0.25,"[0.07977082167046085, 0.0022263457394010437, 0.0009926162285125567, 0.0007100630363885066, 0.0006064722391541326, 0.0005785728384588106, 0.0006070861139932785, 0.0007107952781539949, 0.0009883606717245297, 0.002081688707828722, 0.09470711661761344]",0.07919224883200203
10,0.5,"[0.6614115411903173, 0.6897614053708767, 0.720005607818, 0.7517857556072283, 0.7845791261168471, 0.817742867206932, 0.8505936692479577, 0.8824980839002411, 0.9129432382663304, 0.9415702883585623, 0.9681720032560035]",0.0
20,0.5,"[0.4408752593263855, 0.46360181154407476, 0.4913844577727302, 0.5255640261299827, 0.5676307097068661, 0.6188043864691601, 0.6790453222732941, 0.7457244064577868, 0.8134956816698382, 0.8766239619276867, 0.9315987562208355]",0.0
30,0.5,"[0.33170255342713184, 0.34332041658528495, 0.35874549763803265, 0.3797624300899518, 0.4091332906408776, 0.4510233834797483, 0.5110994895002022, 0.5944795585711593, 0.6977681951738077, 0.8021099022127297, 0.8885984273399055]",0.0
40,0.5,"[0.2676137658439395, 0.26923757497453965, 0.27177452048765666, 0.27606109844661736, 0.2840902426078154, 0.3010847859243602, 0.33992723378214945, 0.4206220141389382, 0.5536715945126851, 0.7110990077545177, 0.8362084970569076]",0.0
50,0.5,"[0.2250950783395252, 0.2171037863614032, 0.2035424427562844, 0.012791863066448502, 0.008483570566554388, 0.007437708881037158, 0.007771312770258583, 0.009690188194071477, 0.015266800097915577, 0.5764868520199441, 0.7681691348056756]",0.21765736945848804
60,0.5,"[0.19463130799995385, 0.17646484925709296, 0.010779824256459763, 0.005343371459682299, 0.004058139974696844, 0.0037135947376605305, 0.003910388257110771, 0.004803880729476104, 0.007458826299309509, 0.017951805310817425, 0.6649454352126598]",0.1909177132622933
70,0.5,"[0.17163899747544975, 0.14074168103867735, 0.005100919816167807, 0.003035650489780279, 0.0024246000599284626, 0.0022582017474148085, 0.0023775149032601757, 0.0028737302052805904, 0.004309757887090665, 0.010301554652165593, 0.14027220743618393]",0.13801400568876912
80,0.5,"[0.15362020915279345, 0.013442633062900665, 0.003093543248354388, 0.0019910091479452825, 0.0016331875956128606, 0.0015353443900432493, 0.0016144299099581218, 0.0019280453581657963, 0.002811303076907294, 0.0064392802876843515, 0.10228369481228902]",0.10074835042224577
90,0.5,"[0.13908669986304167, 0.006266905879824264, 0.002112478383531437, 0.0014213652382003593, 0.001185009335426667, 0.0011203314927427602, 0.0011766130266843973, 0.0013931300424208438, 0.0019895027083972894, 0.004368157334912515, 0.08284715466361033]",0.08172682317086756
100,0.5,"[0.12709001524584723, 0.003972917849039021, 0.0015500276329380982, 0.0010729554700880618, 0.0009042315507206535, 0.0008580895339197577, 0.0009003137295673381, 0.0010593504934529212, 0.0014897914610916747, 0.0031576243064438225, 0.06987127596966752]",0.06901318643574776
10,1.0,"[0.7743326972356632, 0.7938471011701131, 0.8135767701795473, 0.8333165135564881, 0.8528581479561421, 0.8720031122406591, 0.8905732284223543, 0.9084182221221029, 0.925419505120128, 0.9414905406272803, 0.9565746237078318]",0.0
