MidPoint,Slope,resultList,LinerType
10,1.0,"[0.9585334237998612, 0.9583380126311378, 0.9581424973549606, 0.9579468779412261, 0.9577511543600343, 0.9575553265816904, 0.9573593945767047, 0.9571633583157956, 0.9569672177698885, 0.9567709729101186, 0.9565746237078318]",0.0
20,1.0,"[0.9084433744688263, 0.9079804417700812, 0.9075169826141439, 0.9070529970069957, 0.9065884849641128, 0.906123446510571, 0.9056578816811509, 0.9051917905204443, 0.9047251730829629, 0.9042580294332432, 0.9037903596459584]",0.0
30,1.0,"[0.8448458650285241, 0.8439890353876961, 0.8431306587818012, 0.842270739411423, 0.8414092816535036, 0.8405462900643274, 0.8396817693825513, 0.8388157245322478, 0.8379481606259818, 0.8370790829679113, 0.8362084970569076]",0.0
40,1.0,"[0.7551709034157371, 0.7536307554242087, 0.7520870919967607, 0.7505399958814521, 0.7489895533880068, 0.7474358544621171, 0.7458789927582364, 0.7443190657105906, 0.7427561746021062, 0.7411904246309593, 0.7396219249744318]",0.0
50,1.0,"[0.5061726804869325, 0.49151332981834367, 0.4742472895086791, 0.4553149324459067, 0.43775458186312177, 0.42592066466964806, 0.42254127852654916, 0.42674679096672713, 0.43518717285109104, 0.4444783610862904, 0.4526354542251906]",0.030094175698641423
60,1.0,"[0.028247813404735315, 0.031305951980241775, 0.0349691557762274, 0.039390706773498714, 0.044753852635730014, 0.05125738936045824, 0.059075148206790454, 0.06828238457875589, 0.07877368030245895, 0.09024366856274313, 0.10228369481228902]",0.0
70,1.0,"[0.020551980189674607, 0.022774963826210647, 0.025439762795496743, 0.028662853818582343, 0.03259025068752562, 0.037395291519716566, 0.043260803670155945, 0.05033148961798266, 0.058631313824772116, 0.06798423461242498, 0.07803045804680334]",0.0
80,1.0,"[0.015411892054491028, 0.017084795759532815, 0.01909844153754581, 0.021548681235141035, 0.024561141761752194, 0.02829614960642656, 0.03294572870926574, 0.03870867558605777, 0.04572325068829198, 0.05395516329278063, 0.0631147255421425]",0.0
90,1.0,"[0.011949546421909964, 0.013239384546513284, 0.014796229046461395, 0.016699025859565977, 0.019054723104032154, 0.022006996159996624, 0.025743010833183932, 0.030488271356385585, 0.03646689752839766, 0.04379649452434413, 0.05233191248927034]",0.0
100,1.0,"[0.009561690029341778, 0.010581097677405586, 0.011812782321179398, 0.013321485158575983, 0.015196867552857908, 0.017563549273298566, 0.020592960203167948, 0.024511698466189603, 0.029589035814855693, 0.036064710378317065, 0.0439771655721008]",0.0
