MidPoint,Slope,resultList,LinerType
10,0.25,"[0.8788122764797739, 0.8902114373408557, 0.9010805559208683, 0.9114705280448289, 0.9214246080548327, 0.93097993067699, 0.9401686636547691, 0.9490188950977507, 0.9575553265816904, 0.9657998215918652, 0.9737718445975588]",0.0
20,0.25,"[0.5061726804869325, 0.6635807789755781, 0.7234513410662851, 0.7674045567806029, 0.8031486844318404, 0.8336521519619816, 0.8604337948116195, 0.8843951002401854, 0.906123446510571, 0.9260270740548295, 0.9444035257737016]",0.0
30,0.25,"[0.017724212709922766, 0.021520816075134622, 0.02652153338303853, 0.03322951761801769, 0.04279406920058946, 0.6458870768434725, 0.7359318150747585, 0.7948311628428233, 0.8405462900643274, 0.8784549174124804, 0.911044533523653]",0.0
40,0.25,"[0.009561690029341778, 0.011576580898057584, 0.014343775837393477, 0.01823932691677877, 0.02385677446427837, 0.0321936249086763, 0.04546808168704102, 0.6260578601197159, 0.7474358544621171, 0.8188480752917561, 0.872385904379804]",0.0
50,0.25,"[0.006117792964897483, 0.007305989749361199, 0.008941528672843932, 0.011274983491419732, 0.014739496431968624, 0.02010502724095256, 0.028791051659695168, 0.04387627817437459, 0.42592066466964806, 0.7368090500487814, 0.8262130138984518]",0.0
60,0.25,"[0.004376134677100575, 0.005161047380707435, 0.006231373419233076, 0.007749332447997792, 0.010005934591381884, 0.013552338919137125, 0.019487793650363915, 0.030124450459007496, 0.05125738936045824, 0.5756983132750798, 0.7681691348056756]",0.0
70,0.25,"[0.003363607100859327, 0.003928000926486045, 0.004689317039337894, 0.005757719702935383, 0.007332515448799036, 0.009800186598197765, 0.013970188316273708, 0.021673931645448802, 0.037395291519716566, 0.07566829386764053, 0.686814644825945]",0.0
80,0.25,"[0.002713840061692149, 0.003145100824645213, 0.0037211365429857504, 0.00452102735432641, 0.005687515377221435, 0.0074987394238943935, 0.010548778889715832, 0.016246769335832877, 0.02829614960642656, 0.057502152121567035, 0.4526354542251906]",0.0
90,0.25,"[0.0022661192303786016, 0.0026105595946950082, 0.0030667704293422214, 0.003694315841148215, 0.004600060546601654, 0.0059916230878198275, 0.008314555509542508, 0.012649745343525816, 0.022006996159996624, 0.04566974034911349, 0.11716145144142114]",0.0
100,0.25,"[0.0019408767434592907, 0.002225224756764703, 0.0025991729860036132, 0.003109378437803661, 0.0038389541781965793, 0.004948411429695522, 0.006781440361116689, 0.010178591361015437, 0.017563549273298566, 0.037050672229645414, 0.09470711661761344]",0.0
10,0.5,"[0.9347887227123535, 0.9383458178529257, 0.9418503883843085, 0.9453040272836053, 0.9487082490722767, 0.9520644951577442, 0.9553741387152309, 0.9586384891573209, 0.9618587962330551, 0.9650362537934432, 0.9681720032560035]",0.0
20,0.5,"[0.8448458650285241, 0.8551628477094267, 0.865023210894829, 0.8744705658676235, 0.8835419846163629, 0.8922692991740917, 0.9006800865470648, 0.90879842751342, 0.9166454996922169, 0.924240047094495, 0.9315987562208355]",0.0
30,0.5,"[0.6871099228359748, 0.7201680699615377, 0.7476729157343951, 0.7715303761746857, 0.7927550377353331, 0.811963186756935, 0.8295624474818876, 0.8458390764782941, 0.861003264639972, 0.8752147731654536, 0.8885984273399055]",0.0
40,0.5,"[0.028247813404735315, 0.032957882163821006, 0.039000234281155094, 0.04777710604051397, 0.6156849178863331, 0.6797385636200486, 0.7235280205566504, 0.7583086206242551, 0.7876732482435491, 0.8133193304759452, 0.8362084970569076]",0.0
50,0.5,"[0.017724212709922766, 0.0208708228959029, 0.02488576240269516, 0.030102251737987074, 0.037074312124734485, 0.04686623865352862, 0.06194988683091594, 0.5808227929431757, 0.6723428841216171, 0.7267265240031779, 0.7681691348056756]",0.0
60,0.5,"[0.011949546421909964, 0.01407255798022248, 0.01683024768468844, 0.02047949262019949, 0.025410217865239136, 0.032244602547205486, 0.042066902780129034, 0.05703320320620167, 0.0821456444297488, 0.5314362278336661, 0.6649454352126598]",0.0
70,0.5,"[0.008644067638221703, 0.010127907998870284, 0.012068186502353197, 0.014664535235269028, 0.0182284807337578, 0.023259080518035814, 0.03058035347784277, 0.04160914626007155, 0.058919619199536005, 0.08751586876115633, 0.14027220743618393]",0.0
80,0.5,"[0.006618966377081729, 0.0077058259758199035, 0.009126290118365566, 0.011031658630825841, 0.013664669908727558, 0.01742768130636546, 0.023007663285566957, 0.03159884603873257, 0.045248102247666205, 0.06718614139784602, 0.10228369481228902]",0.0
90,0.5,"[0.005293556229888346, 0.006125126330799632, 0.00720806858599519, 0.008657610036516092, 0.0106615089865329, 0.013538611931847784, 0.017853118558854048, 0.024634510859124634, 0.035741201983132825, 0.054092661483862915, 0.08284715466361033]",0.0
100,0.5,"[0.004376134677100575, 0.00503613049687242, 0.005891684751946233, 0.007032241476775395, 0.008604587904685016, 0.010861379702776671, 0.014260498149595426, 0.019672406204733987, 0.028779699761447522, 0.04449817296106279, 0.06987127596966752]",0.0
10,1.0,"[0.9585334237998612, 0.9583380126311378, 0.9581424973549606, 0.9579468779412261, 0.9577511543600343, 0.9575553265816904, 0.9573593945767047, 0.9571633583157956, 0.9569672177698885, 0.9567709729101186, 0.9565746237078318]",0.0
20,1.0,"[0.9084433744688263, 0.9079804417700812, 0.9075169826141439, 0.9070529970069957, 0.9065884849641128, 0.906123446510571, 0.9056578816811509, 0.9051917905204443, 0.9047251730829629, 0.9042580294332432, 0.9037903596459584]",0.0
30,1.0,"[0.8448458650285241, 0.8439890353876961, 0.8431306587818012, 0.842270739411423, 0.8414092816535036, 0.8405462900643274, 0.8396817693825513, 0.8388157245322478, 0.8379481606259818, 0.8370790829679113, 0.8362084970569076]",0.0
40,1.0,"[0.7551709034157371, 0.7536307554242087, 0.7520870919967607, 0.7505399958814521, 0.7489895533880068, 0.7474358544621171, 0.7458789927582364, 0.7443190657105906, 0.7427561746021062, 0.7411904246309593, 0.7396219249744318]",0.0
50,1.0,"[0.5061726804869325, 0.49151332981834367, 0.4742472895086791, 0.4553149324459067, 0.43775458186312177, 0.42592066466964806, 0.42254127852654916, 0.42674679096672713, 0.43518717285109104, 0.4444783610862904, 0.4526354542251906]",0.030094175698641423
60,1.0,"[0.028247813404735315, 0.031305951980241775, 0.0349691557762274, 0.039390706773498714, 0.044753852635730014, 0.05125738936045824, 0.059075148206790454, 0.06828238457875589, 0.07877368030245895, 0.09024366856274313, 0.10228369481228902]",0.0
70,1.0,"[0.020551980189674607, 0.022774963826210647, 0.025439762795496743, 0.028662853818582343, 0.03259025068752562, 0.037395291519716566, 0.043260803670155945, 0.05033148961798266, 0.058631313824772116, 0.06798423461242498, 0.07803045804680334]",0.0
80,1.0,"[0.015411892054491028, 0.017084795759532815, 0.01909844153754581, 0.021548681235141035, 0.024561141761752194, 0.02829614960642656, 0.03294572870926574, 0.03870867558605777, 0.04572325068829198, 0.05395516329278063, 0.0631147255421425]",0.0
90,1.0,"[0.011949546421909964, 0.013239384546513284, 0.014796229046461395, 0.016699025859565977, 0.019054723104032154, 0.022006996159996624, 0.025743010833183932, 0.030488271356385585, 0.03646689752839766, 0.04379649452434413, 0.05233191248927034]",0.0
100,1.0,"[0.009561690029341778, 0.010581097677405586, 0.011812782321179398, 0.013321485158575983, 0.015196867552857908, 0.017563549273298566, 0.020592960203167948, 0.024511698466189603, 0.029589035814855693, 0.036064710378317065, 0.0439771655721008]",0.0
10,2.0,"[0.9695852491461596, 0.9660369473949152, 0.9624372958646369, 0.9587848212146528, 0.955077980335833, 0.951315155630388, 0.9474946498735829, 0.943614680611311, 0.9396733740413641, 0.9356687583192026, 0.9315987562208355]",0.0
20,2.0,"[0.9347887227123535, 0.9265319805214862, 0.9179907410957868, 0.909144144593514, 0.8999687008139521, 0.8904377998435639, 0.8805210993294378, 0.8701837482050254, 0.8593853902923011, 0.8480788665736745, 0.8362084970569076]",0.0
30,2.0,"[0.8940929143471329, 0.8792421106268826, 0.8634194861529828, 0.8464752841143625, 0.828217272078455, 0.8083916988147006, 0.7866516687712893, 0.7625010201038448, 0.7351856512457068, 0.7034560577542789, 0.6649454352126598]",0.0
40,2.0,"[0.8448458650285241, 0.8198499184325612, 0.7917422154384832, 0.7594325025743963, 0.7209943481533058, 0.6723428841216171, 0.6006238305275537, 0.12101597236117233, 0.112597586902823, 0.10671036137062274, 0.10228369481228902]",0.0
50,2.0,"[0.7815064510891553, 0.7374563948791716, 0.6797385636200486, 0.5834284052777859, 0.07639052739850667, 0.07471115916136865, 0.07338249751599667, 0.07227677459295126, 0.07134458192394193, 0.07055142953590719, 0.06987127596966752]",0.0
60,2.0,"[0.6871099228359748, 0.5570573646536151, 0.05105782268260096, 0.05122394569024717, 0.051309980745070635, 0.05138836250989975, 0.05149663789111507, 0.05164743929546437, 0.05184101263271504, 0.05207179874466906, 0.05233191248927034]",0.0012740898066693832
70,2.0,"[0.03657347873761473, 0.03697601716116451, 0.03717260170481399, 0.037332803117779326, 0.03754424843458672, 0.03783835273924505, 0.038221291812287936, 0.03868750248826137, 0.03922596804970373, 0.039823345939933905, 0.040465639140681756]",0.0
80,2.0,"[0.028247813404735315, 0.02819124767778406, 0.028163461027497297, 0.028241971470355873, 0.02844757010794938, 0.028779699761447522, 0.02922956292273868, 0.029785204559994803, 0.03043346593245192, 0.031160701804564626, 0.0319530504769274]",8.435237723801794e-05
90,2.0,"[0.022195336348696505, 0.02197278861204945, 0.021888522038071852, 0.021953339486823358, 0.02215990642729993, 0.022496495758155762, 0.022951220503166166, 0.023513044315157047, 0.024171688600319353, 0.024917206719935078, 0.025739527278313717]",0.00030681431062465353
100,2.0,"[0.017724212709922766, 0.01749506521513495, 0.01742768130636546, 0.017507226207811477, 0.017717634454954858, 0.01804548800292949, 0.01848034531317993, 0.019014113204558744, 0.01964022653987841, 0.020352855515916382, 0.02114620137347928]",0.0002965314035573048
10,4.0,"[0.9749275426047326, 0.9663943288111405, 0.9575553265816904, 0.9483880973103863, 0.9388673878000305, 0.9289646078758036, 0.9186471763355447, 0.9078776923229168, 0.8966128716589151, 0.8848021612865463, 0.872385904379804]",0.0
20,4.0,"[0.9469526296896316, 0.9273853401020937, 0.906123446510571, 0.8828297942965836, 0.857040025326834, 0.8280829981125182, 0.7949230211577198, 0.7558031179042, 0.70725779425171, 0.6401616619561943, 0.4526354542251906]",0.0
30,4.0,"[0.9153063607104389, 0.8808334066087296, 0.8405462900643274, 0.7916884158373456, 0.7282670796954192, 0.6300600305358685, 0.11638377077529706, 0.09672970175870738, 0.08484422992767969, 0.07640065627502238, 0.06987127596966752]",0.0
40,4.0,"[0.8788122764797739, 0.8226835438575779, 0.7474358544621171, 0.6186096155551611, 0.08591678164449718, 0.07262404035000145, 0.06386702612170392, 0.05730005947171934, 0.05204455452121489, 0.04768172441278303, 0.0439771655721008]",0.0
50,4.0,"[0.8354947490501511, 0.7430349216995978, 0.42592066466964806, 0.06319461885773894, 0.05432752112882283, 0.04780819400761542, 0.04267930671888689, 0.03850999017296519, 0.03505240298473226, 0.03214286807561719, 0.029665085175602093]",0.0
60,4.0,"[0.7815064510891553, 0.5887095317989183, 0.05125738936045824, 0.04378401810045027, 0.038103000948397574, 0.03365262448652264, 0.030098603424765818, 0.027212003309687333, 0.024830391351699725, 0.022836857463396615, 0.02114620137347928]",0.0
70,4.0,"[0.7069022123024271, 0.04434413477420432, 0.037395291519716566, 0.03200765141306035, 0.027883288311245882, 0.024687766767236115, 0.022163134005637086, 0.020127280891737383, 0.01845394562601187, 0.017054984487283726, 0.01586786227845526]",0.0
80,4.0,"[0.5061726804869325, 0.03376518270405493, 0.02829614960642656, 0.024205022323289298, 0.021154674962813525, 0.018825628188058392, 0.01699767588369776, 0.015526113499780113, 0.014315114906270288, 0.013299742072253946, 0.012434805921860203]",0.0
90,4.0,"[0.03204315039937439, 0.02638431939516562, 0.022006996159996624, 0.01888298186672654, 0.016599582882763673, 0.014868224344772791, 0.013510128950560975, 0.012413920898873877, 0.011507995224442416, 0.010744645298448714, 0.010090993416376101]",0.0
100,4.0,"[0.026023888624593063, 0.021041649459042956, 0.017563549273298566, 0.015159839120680708, 0.013419952749592805, 0.012101560871860302, 0.011064015538910857, 0.01022240198775299, 0.009523001485698498, 0.008930316526031047, 0.008419974289202648]",0.0
