MidPoint,Slope,resultList,LinerType
10,4.0,"[0.9737718445975588, 0.9653235119425323, 0.9565746237078318, 0.9475031968498171, 0.938084495313412, 0.9282905196079207, 0.9180893678182149, 0.9074444261597336, 0.8963133300525548, 0.8846466109338923, 0.872385904379804]",0
20,4.0,"[0.9444035257737016, 0.924937079748066, 0.9037903596459584, 0.8806288880908032, 0.8549918555997491, 0.8262130138984521, 0.7932637852639165, 0.7543983380409323, 0.7061707645377626, 0.6394979606539507, 0.4526354542251906]",0
30,4.0,"[0.911044533523653, 0.8765428416459466, 0.8362084970569076, 0.7872605297729405, 0.723638743989813, 0.624849818416048, 0.14027220743857985, 0.10906047490096639, 0.09139417827929142, 0.0791804742484971, 0.06987127596966752]",0
40,4.0,"[0.872385904379804, 0.815759550249599, 0.7396219249744321, 0.60835790961035, 0.12357839331935722, 0.09470711661728869, 0.07803045804764755, 0.06634859165111073, 0.05734958256818663, 0.05005317496273193, 0.0439771655721008]",0
50,4.0,"[0.8262130138984518, 0.7317963329063153, 0.45263545430816116, 0.10442097977510674, 0.08036513673196116, 0.06551494385620836, 0.05475843693258878, 0.04638092984933204, 0.03964665540045703, 0.034161380837383154, 0.029665085175602093]",0
60,4.0,"[0.7681691348056756, 0.5658906141599671, 0.1022836948113178, 0.07582666203913764, 0.060126244486635866, 0.04896482664809071, 0.04046563913476702, 0.03383328786686734, 0.028607091375170514, 0.024460760654098156, 0.02114620137347928]",0
70,4.0,"[0.686814644825945, 0.1142838502927293, 0.07803045804644518, 0.059413356113609844, 0.046882714711320474, 0.03769407120954955, 0.030779283038891665, 0.025519668609293018, 0.02147976133012211, 0.018340195187442024, 0.01586786227845526]",0
80,4.0,"[0.4526354542251906, 0.0883355807902629, 0.0631147255419916, 0.047908460346699086, 0.037319143890575904, 0.02966508516887813, 0.024055330273283753, 0.019888487182376187, 0.016742962399967098, 0.014325836578589322, 0.012434805921860203]",0
90,4.0,"[0.11716145144155439, 0.072736489100719, 0.05233191248771562, 0.03924546950290111, 0.030214953020956673, 0.023856352696742016, 0.01930258246147014, 0.015973159124506465, 0.013483171519871608, 0.011578685266270412, 0.010090993416376101]",0
100,4.0,"[0.09470711661742144, 0.06159210609519485, 0.0439771655709665, 0.03256338231334729, 0.02487640192384277, 0.019592123924730385, 0.01586786226865587, 0.013168931127369807, 0.011158329402582544, 0.009621682614083986, 0.008419974289202648]",0
