MidPoint,Slope,resultList,LinerType
10,0.25,"[0.872385904379804, 0.8846466109338923, 0.8963133300525544, 0.9074444261597336, 0.9180893678182146, 0.9282905196079204, 0.938084495313412, 0.9475031968498168, 0.9565746237078318, 0.9653235119425323, 0.9737718445975588]",0.0
20,0.25,"[0.4526354542251906, 0.6394979606539504, 0.7061707645377626, 0.7543983380409321, 0.7932637852639158, 0.8262130138984518, 0.8549918555997491, 0.8806288880908029, 0.9037903596459584, 0.924937079748066, 0.9444035257737016]",0.0
30,0.25,"[0.06987127596966752, 0.07918047424896617, 0.09139417827939704, 0.10906047490095659, 0.14027220743852914, 0.624849818416048, 0.723638743989813, 0.7872605297729405, 0.8362084970569076, 0.8765428416459466, 0.911044533523653]",0.0
40,0.25,"[0.0439771655721008, 0.050053174963558336, 0.05734958256888831, 0.06634859165228421, 0.07803045804713932, 0.09470711661704405, 0.12357839331941194, 0.608357909610349, 0.7396219249744321, 0.8157595502495997, 0.872385904379804]",0.0
50,0.25,"[0.029665085175602093, 0.03416138083845004, 0.03964665539877596, 0.04638092984921501, 0.054758436931698, 0.0655149438562798, 0.0803651367321196, 0.10442097977515105, 0.45263545430816116, 0.7317963329063156, 0.8262130138984518]",0.0
60,0.25,"[0.02114620137347928, 0.024460760648596307, 0.02860709137039908, 0.033833287867266415, 0.04046563913706276, 0.04896482664647979, 0.06012624448597176, 0.07582666204108952, 0.1022836948113178, 0.5658906141599677, 0.7681691348056756]",0.0
70,0.25,"[0.01586786227845526, 0.018340195184647357, 0.021479761328633357, 0.025519668609027497, 0.03077928303471676, 0.03769407120989485, 0.04688271471321039, 0.05941335611318267, 0.07803045804644518, 0.11428385029275788, 0.686814644825945]",0.0
80,0.25,"[0.012434805921860203, 0.014325836578166325, 0.016742962398788645, 0.019888487180994986, 0.02405533027135659, 0.029665085170398675, 0.03731914389114097, 0.04790846034670615, 0.0631147255419916, 0.08833558078996705, 0.4526354542251906]",0.0
90,0.25,"[0.010090993416376101, 0.011578685268188104, 0.013483171517485489, 0.015973159125209746, 0.019302582462162186, 0.023856352699349187, 0.030214953019997347, 0.03924546950404681, 0.05233191248771562, 0.07273648910037, 0.11716145144142114]",0.0
100,0.25,"[0.008419974289202648, 0.009621682611436847, 0.011158329402931856, 0.01316893112721024, 0.015867862269972215, 0.019592123924073175, 0.024876401924389373, 0.032563382312826364, 0.0439771655709665, 0.061592106094344526, 0.09470711661761344]",0.0
10,0.5,"[0.9315987562208355, 0.9355107033073163, 0.9393613568787234, 0.9431526399286668, 0.9468863785334267, 0.9505643085748581, 0.9541880818752775, 0.9577592718059358, 0.9612793784232181, 0.9647498331802491, 0.9681720032560035]",0.0
20,0.5,"[0.8362084970569076, 0.8476588653037952, 0.8585743434601734, 0.8690074840401334, 0.8790028086110929, 0.8885984273399055, 0.8978272618134662, 0.906717983702356, 0.9152957459562489, 0.9235827599152566, 0.9315987562208355]",0.0
30,0.5,"[0.6649454352126598, 0.7024665360938017, 0.7333869284536488, 0.7600179566999746, 0.7835768005120212, 0.8047969397492766, 0.8241604696801068, 0.8420041955936339, 0.8585743434601734, 0.8740573571194409, 0.8885984273399055]",0.0
40,0.5,"[0.10228369481228629, 0.11373119168175004, 0.12950918809336898, 0.15436945281838416, 0.5933252842034101, 0.6649454352126608, 0.7133583397385742, 0.7515290918801293, 0.7835768005120212, 0.8114387842000841, 0.8362084970569076]",0.0
50,0.5,"[0.06987127596966752, 0.07582666204030694, 0.0828471546628494, 0.09139417827917792, 0.10228369481175044, 0.11716145144116769, 0.1402722074386288, 0.5658906141599678, 0.6649454352126598, 0.7236387439898133, 0.7681691348056756]",0.0
60,0.5,"[0.05233191248927034, 0.05681724886632294, 0.06189195540336587, 0.06772016686394411, 0.07456132534159478, 0.08284715466182876, 0.0933488343053889, 0.10761314541334523, 0.1295091880931362, 0.5255526227757109, 0.6649454352126598]",0.0
