MidPoint,Slope,resultList,LinerType
10,2.0,"[0.7114598555937899, 0.7249357749462773, 0.7397084168809899, 0.7559537053378336, 0.7738750977921661, 0.7937066058700638, 0.8157144126933507, 0.8401950773512191, 0.8674665507583219, 0.8978453064853353, 0.9315987562208355]",0
20,2.0,"[0.5596213507581559, 0.5692698210159152, 0.5805493968937421, 0.5938846230746679, 0.6098495481361549, 0.6292329886262699, 0.6531358863503375, 0.6831149730561765, 0.7213846267010501, 0.7710546624685055, 0.8362084970569076]",0
30,2.0,"[0.4654895962134486, 0.4680054133766168, 0.4711088383476182, 0.47502884413095325, 0.48012786798511503, 0.4870117679427214, 0.4967631237890863, 0.5114786978749583, 0.5356068672411689, 0.5793206864425877, 0.6649454352126598]",0
40,2.0,"[0.40039819034405105, 0.3952185430451617, 0.38851557547163507, 0.3794756908092709, 0.36655273445346115, 0.34636219502843885, 0.30977808505212023, 0.23348858325323504, 0.1595919361026605, 0.12340012580529326, 0.10228369481228902]",0
50,2.0,"[0.3522451414953136, 0.3395994004406425, 0.32258631377623953, 0.2984177554870476, 0.2618170719619013, 0.2072923641021238, 0.15232891408102422, 0.11718471627817563, 0.0953510833730851, 0.08052038556755922, 0.06987127596966752]",0
60,2.0,"[0.3149626828824773, 0.29541351197224214, 0.268512212343395, 0.23025156808573186, 0.18005335575734385, 0.13414046104945082, 0.103711602965069, 0.08383969108463483, 0.06991180091813907, 0.05971957726503439, 0.05233191248927034]",0
70,2.0,"[0.2851312574000947, 0.25942252204826893, 0.22411545445633502, 0.17803913951249703, 0.13263703378806005, 0.10065860685626116, 0.07956585899474647, 0.06480804883790274, 0.05400918009050979, 0.0460391636913503, 0.040465639140681756]",0
80,2.0,"[0.260658268271272, 0.22963836639952567, 0.18834068554026212, 0.14193170923240594, 0.10511461886846063, 0.08057782479072093, 0.0637377628081922, 0.05162787946980729, 0.04274804539483367, 0.03628955554508695, 0.0319530504769274]",0
90,2.0,"[0.24018267746840755, 0.20474465682915285, 0.16017926770787022, 0.11732340447068679, 0.08688095912978742, 0.06643776365929657, 0.052137590011148115, 0.04188155638989212, 0.03447100091801921, 0.02918005411509503, 0.025739527278313717]",0
100,2.0,"[0.22277672271673793, 0.18380283041334136, 0.1382688849970733, 0.09971422986494848, 0.07347488183308311, 0.05566598545602869, 0.04325750636808963, 0.03450498744066906, 0.02829324259271839, 0.023925572706167807, 0.02114620137347928]",0
