MidPoint,Slope,resultList,LinerType
10,0.25,"[0.4413511844801564, 0.46259027952176524, 0.4868497919591364, 0.5148393216034223, 0.5475140247405269, 0.586192066588102, 0.6327439664802018, 0.6899007862580534, 0.7617303660118779, 0.8541408502132487, 0.9737718445975588]",0.0
20,0.25,"[0.29439535450604193, 0.3098100038235951, 0.32807144747984135, 0.35006650198306566, 0.37708645961853665, 0.4110842818618072, 0.45515858647137264, 0.5145451192800228, 0.5988803128713018, 0.7279966797860311, 0.9444035257737016]",0.0
30,0.25,"[0.22277672271673793, 0.23352208168613886, 0.2464473836943957, 0.2623404425524846, 0.28241892923415984, 0.30865846292385185, 0.34445889029907084, 0.3961218283816919, 0.47657410705729436, 0.616906559512226, 0.911044533523653]",0.0
40,0.25,"[0.17971677007524803, 0.18716478262880565, 0.1961343249648954, 0.20720892500813748, 0.22132763817085077, 0.24010377704708713, 0.26654628981752954, 0.3068768760498698, 0.3757110147336703, 0.5135532505504228, 0.872385904379804]",0.0
50,0.25,"[0.15079685194602574, 0.1559471400058741, 0.16209895125195206, 0.16963050599127202, 0.17915585621296803, 0.1917520315916817, 0.20951667823453185, 0.23718416547419902, 0.287954733547465, 0.4098130068547596, 0.8262130138984518]",0.0
60,0.25,"[0.12995269859916453, 0.1334960320240605, 0.13767175734735151, 0.1427018620140044, 0.14893926363145643, 0.15698967088668495, 0.16801052655822543, 0.18460290965288625, 0.2144580405556668, 0.2968749369040532, 0.7681691348056756]",0.0
70,0.25,"[0.11414152214921301, 0.11654829723491045, 0.11934111548930969, 0.1226408918516328, 0.1266321053638108, 0.13161536882723107, 0.1381274108424029, 0.14726659631767122, 0.16186205710168736, 0.19401669822018933, 0.686814644825945]",0.0
80,0.25,"[0.10165033008819978, 0.10323682931410064, 0.10505023487339421, 0.10715243045529153, 0.10963316485393015, 0.11262941857038015, 0.11636505467292259, 0.1212431064033447, 0.12810599576806414, 0.13925767188428953, 0.4526354542251906]",0.0
90,0.25,"[0.09143969525424266, 0.0924161383885965, 0.09351745833073404, 0.09477318710717536, 0.09622409844202315, 0.0979286395637885, 0.09997472945996513, 0.10250342198032428, 0.10576258188028145, 0.11025252499678585, 0.11716145144142114]",0.0
100,0.25,"[0.0828497694780286, 0.0833559168786346, 0.0839208745756025, 0.08455727415555178, 0.08528212674902493, 0.08611913166605994, 0.08710282204642242, 0.08828681935204645, 0.08976313731930664, 0.09172220854855218, 0.09470711661761344]",0.0
10,0.5,"[0.5596213507581559, 0.5803240047654289, 0.6034919924422717, 0.6295901460009579, 0.659204866926505, 0.6930826655563619, 0.7321787393790374, 0.777709085557786, 0.8311743871664511, 0.8942438479799355, 0.9681720032560035]",0.0
20,0.5,"[0.40039819034405105, 0.41704789159005595, 0.4365351064204957, 0.4596378221230103, 0.4874385142893993, 0.521486318708583, 0.5640741267941042, 0.6187343094407646, 0.6911545804174508, 0.7907651024173521, 0.9315987562208355]",0.0
30,0.5,"[0.3149626828824773, 0.32663972205718694, 0.3406888161690497, 0.35791258903738277, 0.37950780610737417, 0.4073270476470006, 0.4443677358836661, 0.49574875911110045, 0.5708439844841696, 0.6884816089018939, 0.8885984273399055]",0.0
40,0.5,"[0.260658268271272, 0.26805646456544197, 0.277096837348924, 0.28841320344412685, 0.30301255481802064, 0.32258631377623953, 0.35016987826823515, 0.39164468386426055, 0.4594146105849246, 0.5822819151882354, 0.8362084970569076]",0.0
50,0.5,"[0.22277672271673793, 0.22672931734694493, 0.2315802380587153, 0.2376927227025723, 0.24566432683300937, 0.2565562978880142, 0.2724567330929487, 0.2980929827202058, 0.34636219502843885, 0.459102290664106, 0.7681691348056756]",0.0
60,0.5,"[0.19472553174300705, 0.19597949301448153, 0.19750982740482928, 0.19942276430028175, 0.2018892879768678, 0.20520567683397914, 0.20994127556610115, 0.21737654649362634, 0.23130078002320215, 0.27321898553205676, 0.6649454352126598]",0.0
70,0.5,"[0.17306315674917735, 0.17223923699835625, 0.1712473271056997, 0.17003259805441703, 0.16851511397591043, 0.16657525332876635, 0.16402985211057494, 0.16059549473310883, 0.15584593712036604, 0.14922857105020054, 0.14027220743618393]",0.0
80,0.5,"[0.1558010699880257, 0.1533964666711277, 0.15055546985703425, 0.14717279021877483, 0.1431227594775292, 0.1382688849970733, 0.13249322056406723, 0.12575787443822356, 0.11819496711918473, 0.11017827147935898, 0.10228369481228902]",0.0
90,0.5,"[0.14170235895423133, 0.13810471136948896, 0.13394427575115941, 0.1291412965529457, 0.123636601597972, 0.11742206392063033, 0.1105791940558362, 0.10330962508099391, 0.09593552038626245, 0.08888798502782262, 0.08284715466361033]",0.0
100,0.5,"[0.12995269859916453, 0.12545649509594958, 0.12036828569980335, 0.11466461394131718, 0.10837290606337331, 0.10159475144796755, 0.09451828245820144, 0.08740780303149259, 0.08057782479072093, 0.0744195192327633, 0.06987127596966752]",0.0
10,1.0,"[0.6512145775177237, 0.6690633951337015, 0.6887361339517515, 0.7105091247348234, 0.7347107993044363, 0.7617303660118779, 0.7920244167715353, 0.8261158795608731, 0.8645726666566182, 0.9079395425566829, 0.9565746237078318]",0.0
20,1.0,"[0.49274070668695963, 0.507687340741956, 0.5250535062040833, 0.5454463064113698, 0.5696822714691292, 0.5988803128713018, 0.6346045682133082, 0.6790845524971199, 0.735539433583809, 0.8085456433676365, 0.9037903596459584]",0.0
30,1.0,"[0.40039819034405105, 0.40998292729537494, 0.4215530401900973, 0.43577148663988385, 0.45361572059364724, 0.47657410705729436, 0.5069948445145502, 0.5487274598373104, 0.6083406568305747, 0.6974537821550141, 0.8362084970569076]",0.0
40,1.0,"[0.3388157969919568, 0.34301220241970276, 0.34822784134538654, 0.3548813319760347, 0.3636518588117917, 0.3757110147336703, 0.39323701810874684, 0.4206544494367189, 0.46780304519386506, 0.5576099714137777, 0.7396219249744318]",0.0
50,1.0,"[0.29439535450604193, 0.2937135388881908, 0.2928496855650569, 0.29171981009835385, 0.29017905952762624, 0.287954733547465, 0.2844672039357473, 0.2782443477344953, 0.2643614138649727, 0.22378311472160262, 0.4526354542251906]",0.07061223978443931
60,1.0,"[0.260658268271272, 0.2557497632909002, 0.24948473415856814, 0.24125070598950613, 0.23007020607941697, 0.2144580405556668, 0.192813963715584, 0.1659811637342155, 0.13961560129724515, 0.11833130878424222, 0.10228369481228902]",0.0
70,1.0,"[0.2340765158424713, 0.22561093469931973, 0.21486509443636154, 0.2010356146478611, 0.18333111300740132, 0.16186205710168736, 0.13897510145472358, 0.1182087656498321, 0.10129488813895604, 0.08808230251316158, 0.07803045804680334]",0.0
80,1.0,"[0.2125458850192912, 0.20115915028785625, 0.18696016580712987, 0.16949259850980242, 0.14918509618841264, 0.12810599576806414, 0.10895279454531852, 0.09305435618806306, 0.08034248891213422, 0.07038524143882353, 0.0631147255421425]",0.0
90,1.0,"[0.19472553174300705, 0.1809940829761119, 0.16434173806317215, 0.1450475305636946, 0.12472365623200035, 0.10576258188028145, 0.08963926636876245, 0.076517309727494, 0.06603037836316074, 0.05787432023161976, 0.05233191248927034]",0.0
100,1.0,"[0.17971677007524803, 0.164144849259898, 0.14590361815458658, 0.12606152120338227, 0.10674591027604637, 0.08976313731930664, 0.0756799607288672, 0.06429627168591791, 0.055250332318191576, 0.048320231767446216, 0.0439771655721008]",0.0
10,2.0,"[0.7114598555937899, 0.7249357749462773, 0.7397084168809899, 0.7559537053378336, 0.7738750977921661, 0.7937066058700638, 0.8157144126933507, 0.8401950773512191, 0.8674665507583219, 0.8978453064853353, 0.9315987562208355]",0.0
