MidPoint,Slope,resultList,LinerType
10,0.5,"[0.6614115411903173, 0.6395937983175599, 0.6255497025073102, 0.6198020922218619, 0.6219282518228868, 0.6307015185954541, 0.6443045176709897, 0.660711056594706, 0.678132624354002, 0.695294991068844, 0.7114598555937899]",0.04160944896845542
20,0.5,"[0.4408752593263855, 0.36191309720536863, 0.31143747548383416, 0.28422346399350884, 0.27449879677213707, 0.28034069553807844, 0.3040451963833463, 0.3515596051937463, 0.4229974059553236, 0.49806715202623936, 0.5596213507581559]",0.16637646255424843
30,0.5,"[0.33170255342713184, 0.2233064350603043, 0.1722862629200593, 0.14835710713975925, 0.13826965803305907, 0.13774394218373723, 0.1468898323564205, 0.17072778961985066, 0.22668423951443334, 0.3458573477135888, 0.4654895962134483]",0.1939586112433946
40,0.5,"[0.2676137658439395, 0.14997719150403296, 0.1082430279904744, 0.09007217487621684, 0.0820949836023113, 0.0807264773199709, 0.08557426296269127, 0.09893966134926017, 0.13034730382485324, 0.22564119096969862, 0.40039819034405133]",0.18688728852396858
50,0.5,"[0.2250950783395252, 0.10713918656921342, 0.07252340104313199, 0.057175590859461806, 0.050246123425894046, 0.04873526655166979, 0.05212826901824222, 0.06196225421574771, 0.08392078218970886, 0.14811988619805355, 0.35224514149531344]",0.1763598117878554
60,0.5,"[0.19463130799995385, 0.0792188192637195, 0.0485228050355842, 0.035581213112955846, 0.030149470802802815, 0.028893013319608276, 0.03115284790574422, 0.03831022298153411, 0.055518161368528975, 0.10333594604193208, 0.3149626828824773]",0.16573829468034557
70,0.5,"[0.17163899747544975, 0.058823476389498135, 0.03197876128674239, 0.022315582514986006, 0.01859482582470389, 0.017717544540243255, 0.019104174459323164, 0.02377875802820606, 0.03622293488711479, 0.0749309012457266, 0.2851312574000947]",0.15392145293520648
80,0.5,"[0.15362020915279345, 0.04318075257768414, 0.021374153037519276, 0.014658544647482511, 0.012190966430221929, 0.011598881383682497, 0.0124583922410736, 0.015444782002687002, 0.023838819576080545, 0.05449770062909426, 0.26065826827127214]",0.14202132776911094
90,0.5,"[0.13908669986304167, 0.031519881917849296, 0.014830512299872551, 0.010187252959388826, 0.00850810361697711, 0.008097872924913237, 0.008658541257677151, 0.010631942566946705, 0.016269035611680544, 0.03931159884609414, 0.24018267746840755]",0.13098882693812844
100,0.5,"[0.12709001524584723, 0.023215273556014937, 0.010745040528966897, 0.007449313767224441, 0.006257786194819611, 0.005961772782434016, 0.006348602289569116, 0.00771724025717008, 0.011617244036300042, 0.028434965465732206, 0.22277672271673793]",0.12112824246341322
