MidPoint,Slope,resultList,LinerType
10,0.25,"[0.49665890133724416, 0.4807311743838267, 0.4730537005058421, 0.4751798448426696, 0.48862073648339466, 0.5147922456072861, 0.5539166347303442, 0.6028921462036163, 0.6550501842419191, 0.7039951736522072, 0.7466750375277624]",0.02360520083140205
20,0.25,"[0.30696653823874404, 0.25005121299965205, 0.21549705460902432, 0.19731186753015217, 0.19099108180040933, 0.19522687527107058, 0.21219561498975928, 0.25029407091420414, 0.3327144312252479, 0.47519727279515983, 0.6014828868412692]",0.1159754564383347
30,0.25,"[0.2250950783395252, 0.15289628900915136, 0.11975103400649559, 0.10401975655675338, 0.09743773847617787, 0.09745108526893431, 0.10421681289578508, 0.12102425156504916, 0.1604930943796175, 0.2836947004640629, 0.5077440697784785]",0.12765733986334732
40,0.25,"[0.17865447216723776, 0.10261409420929613, 0.07416673360590162, 0.060798201429311464, 0.05488236597560984, 0.05414844857942786, 0.058384840291751235, 0.0693139180960588, 0.09321559399982345, 0.16604865270796143, 0.4413511844801566]",0.1245060235878099
50,0.25,"[0.14844355628560163, 0.07189451416807696, 0.04607634220659315, 0.03481592285352492, 0.030150741611823073, 0.02936549200658507, 0.03205492523606504, 0.039759844248999074, 0.0577586740272275, 0.10754580335541591, 0.39140820340812926]",0.11907806427901654
60,0.25,"[0.12709001524584723, 0.05018034531386139, 0.028161845602971067, 0.02020339814908347, 0.017171522651360804, 0.01660028914534159, 0.018108914091018505, 0.022788659734081673, 0.035181658363913584, 0.07408388312655327, 0.35224514149531344]",0.11048972610050564
70,0.25,"[0.11109221344639074, 0.03453725076421982, 0.01776854322341889, 0.012566144310580842, 0.010657012572800807, 0.0102713784342516, 0.01113366877083265, 0.013907056809875326, 0.02169793835766952, 0.05123805542749536, 0.32058755713310555]",0.10082083501213912
80,0.25,"[0.09854950402960364, 0.023936890941403475, 0.011884271390736757, 0.008436443193966959, 0.0071806486075823945, 0.006913680155970259, 0.007444365710357319, 0.009178453126377268, 0.014105545383978563, 0.035060659401943285, 0.29439535450604193]",0.09163582387363338
90,0.25,"[0.08834048650278317, 0.01704377816439646, 0.008422877404729384, 0.006035316573551003, 0.005161435015061197, 0.004968222317067422, 0.005319985550345602, 0.006478633860592622, 0.009745680047941196, 0.024211270405093754, 0.27232276241843506]",0.08337226418571575
100,0.25,"[0.07977082167046085, 0.012563698408464477, 0.006267182027149752, 0.0045354627199681655, 0.00389594199643087, 0.0037501263914628577, 0.003998103873142066, 0.004818952466816015, 0.007103174827517419, 0.017200619995151774, 0.2534416972748678]",0.07602069527899799
10,0.5,"[0.6614115411903173, 0.6395937983175599, 0.6255497025073102, 0.6198020922218619, 0.6219282518228868, 0.6307015185954541, 0.6443045176709897, 0.660711056594706, 0.678132624354002, 0.695294991068844, 0.7114598555937899]",0.04160944896845542
20,0.5,"[0.4408752593263855, 0.36191309720536863, 0.31143747548383416, 0.28422346399350884, 0.27449879677213707, 0.28034069553807844, 0.3040451963833463, 0.3515596051937463, 0.4229974059553236, 0.49806715202623936, 0.5596213507581559]",0.16637646255424846
30,0.5,"[0.33170255342713184, 0.2233064350603043, 0.1722862629200593, 0.14835710713975925, 0.13826965803305907, 0.13774394218373723, 0.1468898323564205, 0.17072778961985066, 0.22668423951443334, 0.3458573477135888, 0.4654895962134483]",0.1939586112433946
40,0.5,"[0.2676137658439395, 0.14997719150403296, 0.1082430279904744, 0.09007217487621684, 0.0820949836023113, 0.0807264773199709, 0.08557426296269127, 0.09893966134926017, 0.13034730382485324, 0.22564119096969862, 0.40039819034405133]",0.18688728852396855
50,0.5,"[0.2250950783395252, 0.10713918656921342, 0.07252340104313199, 0.057175590859461806, 0.050246123425894046, 0.04873526655166979, 0.05212826901824222, 0.06196225421574771, 0.08392078218970886, 0.14811988619805355, 0.35224514149531344]",0.1763598117878554
60,0.5,"[0.19463130799995385, 0.0792188192637195, 0.0485228050355842, 0.035581213112955846, 0.030149470802802815, 0.028893013319608276, 0.03115284790574422, 0.03831022298153411, 0.055518161368528975, 0.10333594604193208, 0.3149626828824773]",0.16573829468034554
70,0.5,"[0.17163899747544975, 0.058823476389498135, 0.03197876128674239, 0.022315582514986006, 0.01859482582470389, 0.017717544540243255, 0.019104174459323164, 0.02377875802820606, 0.03622293488711479, 0.0749309012457266, 0.2851312574000947]",0.15392145293520648
80,0.5,"[0.15362020915279345, 0.04318075257768414, 0.021374153037519276, 0.014658544647482511, 0.012190966430221929, 0.011598881383682497, 0.0124583922410736, 0.015444782002687002, 0.023838819576080545, 0.05449770062909426, 0.26065826827127214]",0.14202132776911094
90,0.5,"[0.13908669986304167, 0.031519881917849296, 0.014830512299872551, 0.010187252959388826, 0.00850810361697711, 0.008097872924913237, 0.008658541257677151, 0.010631942566946705, 0.016269035611680544, 0.03931159884609414, 0.24018267746840755]",0.13098882693812844
100,0.5,"[0.12709001524584723, 0.023215273556014937, 0.010745040528966897, 0.007449313767224441, 0.006257786194819611, 0.005961772782434016, 0.006348602289569116, 0.00771724025717008, 0.011617244036300042, 0.028434965465732206, 0.22277672271673793]",0.12112824246341322
10,1.0,"[0.7743326972356632, 0.7352626064348257, 0.7041107876591577, 0.6810173021711547, 0.6650984361209855, 0.6550501842419191, 0.6495123152074518, 0.6472573997459526, 0.6472736863297353, 0.6487821250311728, 0.6512145775177237]",0.00395717777177107
20,1.0,"[0.5686224951439889, 0.4574775608629198, 0.38594453220036057, 0.3468006816733076, 0.3306486204110811, 0.3327144312252479, 0.3512214680684653, 0.38353344580389576, 0.42260968293018203, 0.4603138480813301, 0.49274070668695963]",0.1620920862758785
30,1.0,"[0.4408752593263855, 0.28069504684375574, 0.208774127157908, 0.17622070671840726, 0.16230425672925472, 0.1604930943796175, 0.1703235777597286, 0.19670249630868936, 0.2512959042676375, 0.3309452258864549, 0.40039819034405133]",0.23990509596443385
40,1.0,"[0.3611335247983081, 0.18514669400594963, 0.12874527137697103, 0.10556390078169704, 0.09546526733984041, 0.09321559399982345, 0.09803615962839113, 0.11246109620475758, 0.1468099430260309, 0.23160981079697923, 0.3388157969919568]",0.24560020299213334
50,1.0,"[0.30696653823874404, 0.1306075001733106, 0.08655254379404283, 0.06830384164178362, 0.059960146658948, 0.0577586740272275, 0.06099780088566799, 0.07116422671272339, 0.0943151627092605, 0.1592666346245498, 0.29439535450604193]",0.2366366804788144
60,1.0,"[0.2676137658439395, 0.0965792676650648, 0.0595686966456901, 0.043941668940413896, 0.037056355415244706, 0.035181658363913584, 0.03745261508746395, 0.045168435476541216, 0.06336070298150219, 0.11258625971676653, 0.26065826827127214]",0.22547660990735854
70,1.0,"[0.2376045931411042, 0.07299456139177692, 0.04040692779471435, 0.02799472162667957, 0.023031644207062198, 0.02169793835766952, 0.023158636260189245, 0.028456165929529615, 0.042213811711660894, 0.08233971620468493, 0.23407651584247113]",0.2123785774848016
80,1.0,"[0.21388935693750133, 0.05507246730432508, 0.027315527362622764, 0.01834205742519206, 0.014997646442000332, 0.014105545383978563, 0.015030035352884566, 0.01849461218977452, 0.028104062613796502, 0.060702788387522126, 0.2125458850192917]",0.19844033963531316
90,1.0,"[0.19463130799995385, 0.04112313829043398, 0.01888953297014037, 0.0126153540485831, 0.010350633163613796, 0.009745680047941196, 0.010352587862172823, 0.012655429418939346, 0.019212974954886546, 0.04442952864811124, 0.19472553174300558]",0.18488562795201266
100,1.0,"[0.17865447216723776, 0.03061154036643434, 0.013548152658549072, 0.009115754054552908, 0.0075292846420228435, 0.007103174827517419, 0.007522179717241083, 0.009116417295029898, 0.013672602783383073, 0.032477605740609206, 0.17971677007525075]",0.17155129733972035
10,2.0,"[0.8344610387662691, 0.7655257067054315, 0.7098079403614799, 0.6668781234077306, 0.6345856627626173, 0.610625322615822, 0.5930203261237248, 0.5801950280418375, 0.5709316725681556, 0.5643051870992024, 0.5596213507581559]",0.0
20,2.0,"[0.6614115411903173, 0.49563607940307636, 0.3963910818552393, 0.34352599978910714, 0.31859601988607966, 0.31230391211985625, 0.3197994060794597, 0.33690259304999404, 0.3586191515714631, 0.38055703518890155, 0.40039819034405133]",0.08809427822419508
30,2.0,"[0.5302986674424063, 0.2938941355182066, 0.20481742804813993, 0.1675614646732114, 0.1514455512250522, 0.1476941543120066, 0.15468786805177412, 0.17521085270993839, 0.2147021398479502, 0.26757786610352, 0.3149626828824773]",0.1672685285704707
40,2.0,"[0.4408752593263855, 0.18668747891383042, 0.12262717212725492, 0.09792804187540148, 0.08702132950392347, 0.08392078218970886, 0.08749887175081753, 0.09953928885541406, 0.12730618737055388, 0.1873855285229296, 0.26065826827127214]",0.17673748608156328
50,2.0,"[0.3780621575956973, 0.1285144136417425, 0.0807264773199709, 0.06155330828492228, 0.05268788669939463, 0.04995064926992038, 0.052367019207245055, 0.06113966282185354, 0.0812018716084377, 0.1310012256695324, 0.22277672271673793]",0.17282607344681755
60,2.0,"[0.33170255342713184, 0.09339827030243093, 0.05403410546842556, 0.038152171191139866, 0.03134199088171234, 0.029290707761584517, 0.030888672241436446, 0.037169131457162594, 0.05271284173648746, 0.09350180268221722, 0.19472553174300558]",0.16543482398142104
70,2.0,"[0.29601260563004494, 0.06940253271729005, 0.035586311215341615, 0.023727596567255815, 0.019156163066479923, 0.017824967787653644, 0.01881764427992565, 0.022885318876546868, 0.033867434845425155, 0.0674864795526947, 0.1730631567491804]",0.15523818896152675
80,2.0,"[0.2676137658439395, 0.0513413061369773, 0.023597405072401594, 0.015431637692498399, 0.012467402767331558, 0.011617244036300042, 0.012245595748880648, 0.014850087675238445, 0.022181661445153048, 0.04829737173348949, 0.15580106998801108]",0.14418382595171106
90,2.0,"[0.24442446219728586, 0.03758786921316807, 0.016188920730986735, 0.01063109091050574, 0.008655134585837153, 0.00809059033095183, 0.00850992771789923, 0.010243636642535523, 0.015173754885695338, 0.03440990943457343, 0.14170235895441768]",0.13361176862346585
100,2.0,"[0.2250950783395252, 0.02754187096484438, 0.011598881383682497, 0.00772005340938298, 0.006342172790349225, 0.005948204779058293, 0.006243891371574637, 0.007456872404312419, 0.010890902753988237, 0.024815393236790682, 0.12995269859903882]",0.12400449381998055
10,4.0,"[0.8642862717052435, 0.7441014713287079, 0.6550501842419191, 0.5913421519605357, 0.5456515308652372, 0.5126038194134527, 0.4885255011912009, 0.47089121542246176, 0.4579320238499649, 0.4483879820510911, 0.4413511844801566]",0.0
20,4.0,"[0.7158803706841449, 0.4582576692010029, 0.3327144312252479, 0.2730575849766501, 0.24470825848197253, 0.23420081507378293, 0.23585829773306158, 0.24623649933620964, 0.2616950709949779, 0.278549296399775, 0.29439535450604193]",0.060194539432259005
30,4.0,"[0.5897330070468062, 0.2501888299087398, 0.1604930943796175, 0.12677521926123853, 0.11207031186506815, 0.10737963284160973, 0.11059442700359863, 0.12286175023962695, 0.14780750523790603, 0.18521701080383637, 0.22277672271673793]",0.1153970898751282
