MidPoint,Slope,resultList,LinerType
10,2.0,"[0.7114598555937899, 0.6920805600139182, 0.6738667446345359, 0.656713262374538, 0.6405265083402314, 0.625223173826195, 0.610729055009569, 0.5969779604331497, 0.5839107329070616, 0.5714743863705846, 0.5596213507581559]",0
20,2.0,"[0.5596213507581559, 0.5374981545756335, 0.5172460037735385, 0.49862242842996013, 0.4814263616835386, 0.46548959621344843, 0.4506702543559712, 0.43684775199207276, 0.4239188779967921, 0.4117947136778501, 0.40039819034405133]",0
30,2.0,"[0.4654895962134486, 0.44364121646910915, 0.4239188779967928, 0.4060099070139428, 0.389662136058675, 0.37466965520741224, 0.3608624506653505, 0.34809874222834347, 0.33625922876434056, 0.32524270548223805, 0.3149626828824773]",0
40,2.0,"[0.4003981903440512, 0.3795277007662379, 0.36086245066535033, 0.34405488340121104, 0.32882904654021083, 0.3149626828824773, 0.30227451145620293, 0.2906150098678311, 0.2798596125781378, 0.269903610176779, 0.26065826827127214]",0
50,2.0,"[0.3522451414953136, 0.332500156779294, 0.3149626828824773, 0.2992684463195121, 0.28513125740009454, 0.27232276241843506, 0.260658268271272, 0.24998659638620713, 0.24018267746840738, 0.23114205208261737, 0.22277672271673793]",0
60,2.0,"[0.3149626828824773, 0.2963244804958759, 0.27985961257813746, 0.2651971153095945, 0.2520478353272112, 0.24018267746840738, 0.2294175271588829, 0.21960255243615104, 0.2106144561601068, 0.20235076202484525, 0.19472553174300558]",0
70,2.0,"[0.2851312574000947, 0.26752881123809447, 0.2520478353272112, 0.23831651930733824, 0.2260468664901909, 0.21501198122707438, 0.20503044332615433, 0.19595529433968772, 0.18766610802946457, 0.18006317350462492, 0.1730631567491804]",0
80,2.0,"[0.260658268271272, 0.24400720817572422, 0.2294175271588826, 0.21652008766846573, 0.20503044332615317, 0.19472553174300447, 0.18542773500650403, 0.17699370414117724, 0.16930635205225378, 0.16226900672363928, 0.15580106998801108]",0
90,2.0,"[0.24018267746840755, 0.2243995206687478, 0.2106144561601063, 0.19846315874479326, 0.18766610802946027, 0.17800493953457502, 0.1693063520522517, 0.1614308770022641, 0.15426486811030724, 0.14771467877101385, 0.14170235895441768]",0
100,2.0,"[0.22277672271673776, 0.2077839514840669, 0.19472553174300286, 0.18324322046859143, 0.17306315674916387, 0.16397205345733049, 0.1558010699880228, 0.14841460834323567, 0.14170235895440678, 0.13557354658724463, 0.12995269859903882]",0
