MidPoint,Slope,resultList,LinerType
10,0.25,"[0.44135118448015626, 0.45918642863950804, 0.4786869098083969, 0.5001173345803929, 0.5238047408501616, 0.5501583899527323, 0.5796976400463387, 0.6130914470146264, 0.6512145775177243, 0.6952264865004361, 0.7466750375277624]",0.0
20,0.25,"[0.29439535450604193, 0.30954197979204573, 0.32642892416210295, 0.3453916906387404, 0.3668623086232907, 0.39140820340812926, 0.4197921068048341, 0.4530678968572254, 0.4927407066869601, 0.5410481711555087, 0.6014828868412692]",0.0
30,0.25,"[0.22277672271673776, 0.23557279754787502, 0.24998659638620713, 0.2663576516436613, 0.2851312574000947, 0.3069046035692798, 0.332500156779294, 0.36308766260189845, 0.40039819034405105, 0.44712547737532093, 0.5077440697784785]",0.0
40,0.25,"[0.1797167700752477, 0.19073796221863218, 0.20323597447256428, 0.21753763918926294, 0.2340765158424713, 0.253441697274868, 0.2764568021260885, 0.3043140736822561, 0.33881579699195663, 0.38284232985893185, 0.4413511844801566]",0.0
50,0.25,"[0.1507968519459954, 0.16046409396228753, 0.17147739030153233, 0.18414701745138182, 0.19888754257819757, 0.21626722753939837, 0.23708897554903585, 0.2625296791830418, 0.29439535450604193, 0.3356264678330046, 0.39140820340812926]",0.0
60,0.25,"[0.12995269859911815, 0.13857005744907122, 0.14841460834317402, 0.15978069472261053, 0.1730631567491748, 0.18880613127144016, 0.20778395148406625, 0.2311420520826172, 0.2606582682712718, 0.2992684463195121, 0.35224514149531344]",0.0
70,0.25,"[0.11414152214936019, 0.12194071423423819, 0.13085705078622833, 0.14117047270120175, 0.15325765174120293, 0.16763936334697105, 0.18505996320977522, 0.2066274852214917, 0.23407651584247113, 0.27030368763850293, 0.32058755713310555]",0.0
80,0.25,"[0.1016503300881439, 0.10881580293066989, 0.1169956723439022, 0.126455972232321, 0.13755659292554026, 0.1507968519460755, 0.16689262292447157, 0.18691387437136497, 0.21254588501929025, 0.24662774427828357, 0.29439535450604193]",0.0
90,0.25,"[0.09143969525485796, 0.09811960387114987, 0.1057196672209666, 0.11449092904095862, 0.12477648662619045, 0.13705540857809242, 0.15201718476677675, 0.17069554564510955, 0.19472553174300092, 0.2268799243500484, 0.27232276241843506]",0.0
100,0.25,"[0.08284976947840939, 0.08916017826817033, 0.09630789822905834, 0.10452676127518722, 0.11414152215092699, 0.1256106914005124, 0.13959860289250514, 0.15710510705667513, 0.17971677007523743, 0.21013721833476834, 0.2534416972748678]",0.0
10,0.5,"[0.5596213507581559, 0.5714743863705845, 0.5839107329070616, 0.5969779604331497, 0.610729055009569, 0.6252231738261946, 0.6405265083402314, 0.6567132623745386, 0.6738667446345356, 0.6920805600139182, 0.7114598555937899]",0.0
20,0.5,"[0.4003981903440512, 0.4117947136778499, 0.4239188779967926, 0.4368477519920726, 0.4506702543559712, 0.4654895962134486, 0.4814263616835384, 0.4986224284299603, 0.5172460037735381, 0.5374981545756335, 0.5596213507581559]",0.0
30,0.5,"[0.3149626828824773, 0.3252427054822374, 0.33625922876434056, 0.3480987422283432, 0.36086245066535033, 0.3746696552074119, 0.38966213605867517, 0.40600990701394296, 0.42391887799679245, 0.443641216469109, 0.4654895962134483]",0.0
40,0.5,"[0.260658268271272, 0.26990361017677916, 0.2798596125781378, 0.2906150098678313, 0.3022745114562031, 0.3149626828824773, 0.32882904654021117, 0.3440548834012109, 0.36086245066535033, 0.3795277007662379, 0.40039819034405133]",0.0
50,0.5,"[0.22277672271673776, 0.23114205208261737, 0.2401826774684072, 0.24998659638620713, 0.260658268271272, 0.27232276241843506, 0.2851312574000949, 0.29926844631951227, 0.3149626828824773, 0.332500156779294, 0.35224514149531344]",0.0
60,0.5,"[0.19472553174300575, 0.20235076202484575, 0.2106144561601068, 0.21960255243615134, 0.22941752715888278, 0.2401826774684072, 0.25204783532721087, 0.2651971153095945, 0.27985961257813763, 0.29632448049587556, 0.3149626828824773]",0.0
70,0.5,"[0.17306315674917833, 0.18006317350462395, 0.1876661080294643, 0.19595529433968853, 0.20503044332615417, 0.21501198122707468, 0.2260468664901909, 0.23831651930733824, 0.25204783532721103, 0.2675288112380942, 0.2851312574000947]",0.0
80,0.5,"[0.15580106998803178, 0.16226900672364458, 0.1693063520522504, 0.17699370414117405, 0.18542773500650375, 0.19472553174300286, 0.20503044332615383, 0.21652008766846573, 0.22941752715888244, 0.24400720817572422, 0.26065826827127214]",0.0
90,0.5,"[0.14170235895434433, 0.14771467877104355, 0.154264868110305, 0.16143087700224085, 0.1693063520522509, 0.17800493953457167, 0.18766610802945977, 0.19846315874479342, 0.2106144561601063, 0.2243995206687478, 0.24018267746840755]",0.0
100,0.5,"[0.12995269859911815, 0.1355735465872668, 0.14170235895438524, 0.14841460834323486, 0.15580106998803292, 0.1639720534573287, 0.1730631567491658, 0.1832432204685882, 0.19472553174300447, 0.2077839514840669, 0.22277672271673793]",0.0
10,1.0,"[0.6512145775177237, 0.6512145775177239, 0.6512145775177237, 0.6512145775177239, 0.6512145775177237, 0.6512145775177243, 0.6512145775177239, 0.6512145775177239, 0.6512145775177239, 0.6512145775177239, 0.6512145775177237]",-5.551115123125784e-16
