MidPoint,Slope,resultList,LinerType
10,2.0,"[0.8344610387662691, 0.8194618347082875, 0.8025977966621525, 0.7841068891234623, 0.7644708526249635, 0.7443925432169692, 0.7246859865924317, 0.7061094735015524, 0.6892184432813862, 0.6743025373573146, 0.6614115411903173]",0.0
20,2.0,"[0.6614115411903173, 0.6090852091147452, 0.5444503243914, 0.47673678745723996, 0.42421559799775005, 0.39618678089221115, 0.3892305388907335, 0.3961593349311885, 0.41003743057910386, 0.42582568259839426, 0.44087525932638566]",0.05164472043565216
30,2.0,"[0.5302986674424064, 0.4093507294952203, 0.26766992152741764, 0.195153306879365, 0.16668204575429116, 0.15818788198901348, 0.16377168305094533, 0.18536425728924974, 0.22817155361193947, 0.28369746548186486, 0.33170255342713184]",0.17351467143811836
40,2.0,"[0.4408752593263855, 0.2494666325230234, 0.1368552376912957, 0.1023646465097595, 0.08853393589827648, 0.08423822076807758, 0.08726842978843252, 0.09920040623463558, 0.12772431012148436, 0.19107333196780804, 0.2676137658439395]",0.1833755450758619
50,2.0,"[0.3780621575956973, 0.1533468335102617, 0.08423822076882147, 0.06181959885043269, 0.052020988778597274, 0.048865401334788686, 0.05096935200115725, 0.05943494440483674, 0.07928748098399913, 0.12982103768021705, 0.2250950783395255]",0.1762296770047368
60,2.0,"[0.33170255342713184, 0.10333316343993326, 0.0545271645877659, 0.03748206784315591, 0.03046026597671798, 0.028290081978237583, 0.029693797467639126, 0.035619726928618665, 0.05059772822342835, 0.09098936877180146, 0.19463130799995318]",0.16634122602171558
70,2.0,"[0.29601260563004494, 0.07353084322927543, 0.035118808136014236, 0.0230342236758817, 0.018495562770926486, 0.017144077252958915, 0.018023134080777787, 0.021815907313852422, 0.03218037253608594, 0.06476312794689519, 0.17163899747545264]",0.15449492022249373
80,2.0,"[0.2676137658439395, 0.052783660358270694, 0.022969153723527303, 0.014903144084294741, 0.01201447624823969, 0.01116817980899882, 0.01173021088731296, 0.014153080660229937, 0.0210074989966683, 0.04581896660538747, 0.15362020915282912]",0.1424520293438303
90,2.0,"[0.24442446219728586, 0.03773377942513311, 0.01564335932348426, 0.010247078878827448, 0.008338557433884425, 0.00778222670759618, 0.008161014067376989, 0.009776845073233438, 0.014376965209831885, 0.03241278431070327, 0.13908669986298758]",0.1313044731553914
100,2.0,"[0.2250950783395252, 0.027159920555590616, 0.011168179809019527, 0.007436446952994936, 0.006111327776152387, 0.005725319908010754, 0.005994731742585873, 0.007128775273313929, 0.010337113579618999, 0.023310481576128046, 0.12709001524586439]",0.12136469533785363
