MidPoint,Slope,resultList,LinerType
10,0.25,"[0.49665890133724416, 0.5120716267922923, 0.5319497587708555, 0.5575090031718187, 0.5899494802291071, 0.6299294636991791, 0.6766763575003639, 0.7273313301407409, 0.7776579362140748, 0.823950376666126, 0.8642862717052435]",0.0
20,0.25,"[0.30696653823874404, 0.2926188156593472, 0.27764265595140153, 0.2646385352882625, 0.257931197110134, 0.26285190054221447, 0.28665333926577535, 0.3436925645962569, 0.4567344514842897, 0.6021559206933869, 0.7158803706841449]",0.04903534112861002
30,0.25,"[0.2250950783395252, 0.18659635206413325, 0.1480041549095587, 0.12254460510315456, 0.11045304428115989, 0.10798080034239203, 0.1143674824936098, 0.1334283358763354, 0.18255071378253623, 0.34916707304985534, 0.5897330070468059]",0.11711427799713316
40,0.25,"[0.17865447216723776, 0.12299163021415314, 0.08393628507863472, 0.06539480647563985, 0.05733842975993396, 0.055719418479536174, 0.05970932851082708, 0.0709245499544371, 0.0963355403836267, 0.18062356407872426, 0.496658901337244]",0.12293505368770158
50,0.25,"[0.14844355628560163, 0.08285497183395729, 0.04903129845847691, 0.0354074950634477, 0.030028853806093308, 0.028998989568187222, 0.03160889921212709, 0.03934002683827181, 0.057602303192281004, 0.10986036799474974, 0.42890408821716447]",0.1194445667174144
60,0.25,"[0.12709001524584723, 0.055468366617985244, 0.028590086565236896, 0.0198543673630278, 0.016675380050643063, 0.01606338343828415, 0.017536392913406227, 0.02214813599001297, 0.034407356378384275, 0.07359735032660128, 0.37806215759569745]",0.11102663180756307
70,0.25,"[0.11109221344639074, 0.0366133951380413, 0.017522405983214216, 0.01214453709474413, 0.01023792205917821, 0.009859333804274796, 0.01070585768968621, 0.013416903303101933, 0.021016000611729622, 0.050069726067167086, 0.3385699283071397]",0.10123287964211594
80,0.25,"[0.09854950402960364, 0.024526357539384588, 0.011537414584247563, 0.008091282665741988, 0.006867915269058384, 0.006616351682913442, 0.007140321242187834, 0.008831680163333888, 0.013611061857832167, 0.03391177369157691, 0.30696653823874437]",0.0919331523466902
90,0.25,"[0.08834048650278317, 0.01705506719099429, 0.00810941643589924, 0.0057678695488527915, 0.004927772813071577, 0.004749388151181466, 0.0050983702194365085, 0.0062284151374062445, 0.009392810712772199, 0.023298878348431837, 0.2810538813048151]",0.08359109835160171
100,0.25,"[0.07977082167046085, 0.012379427996695213, 0.006006734236461373, 0.0043271507195728745, 0.003716910877380815, 0.003583682691443165, 0.003830579230390337, 0.0046315841473570435, 0.006844094463263685, 0.016522539346008818, 0.2593832456180623]",0.07618713897901767
10,0.5,"[0.6614115411903173, 0.6743025373573146, 0.6892184432813862, 0.7061094735015524, 0.7246859865924317, 0.7443925432169696, 0.7644708526249635, 0.7841068891234623, 0.8025977966621525, 0.8194618347082875, 0.8344610387662688]",0.0
20,0.5,"[0.4408752593263855, 0.42582568259839443, 0.41003743057910336, 0.39615933493118816, 0.38923053889073334, 0.39618678089221115, 0.42421559799775005, 0.4767367874572398, 0.5444503243914003, 0.6090852091147446, 0.6614115411903173]",0.051644720435652165
30,0.5,"[0.33170255342713184, 0.28369746548186503, 0.22817155361193947, 0.1853642572892502, 0.1637716830509444, 0.158187881989022, 0.1666820457542971, 0.195153306879365, 0.2676699215274175, 0.40935072949522044, 0.5302986674424064]",0.17351467143810986
40,0.5,"[0.2676137658439395, 0.19107333196780804, 0.12772431012147087, 0.09920040623444569, 0.08726842978798817, 0.08423822076882147, 0.08853393589871521, 0.10236464650975759, 0.13685523769130373, 0.24946663252302356, 0.44087525932638566]",0.18337554507511802
50,0.5,"[0.2250950783395252, 0.12982103768017933, 0.0792874809839317, 0.0594349444054344, 0.05096935199936268, 0.04886540133615945, 0.05202098877483976, 0.061819598850868206, 0.08423822076807758, 0.15334683351026587, 0.37806215759569745]",0.17622967700336573
60,0.5,"[0.19463130799995385, 0.09098936877229974, 0.050597728223111295, 0.035619726928679186, 0.02969379746624396, 0.02829008197535639, 0.030460265977339075, 0.03748206784395197, 0.05452716458309255, 0.10333316343991912, 0.33170255342713184]",0.16634122602459744
70,0.5,"[0.17163899747544975, 0.06476312794542458, 0.032180372534975875, 0.021815907314815444, 0.018023134079691482, 0.017144077253709394, 0.018495562770871263, 0.023034223676434405, 0.03511880813473433, 0.07353084323067798, 0.2960126056300453]",0.15449492022174036
80,0.5,"[0.15362020915279345, 0.04581896660586393, 0.02100749899492575, 0.014153080661013322, 0.011730210886840361, 0.011168179809019527, 0.012014476248304705, 0.014903144084219132, 0.02296915372269046, 0.05278366035939746, 0.2676137658439395]",0.14245202934377393
90,0.5,"[0.13908669986304167, 0.03241278431208287, 0.014376965209992253, 0.009776845073042086, 0.008161014067553572, 0.007782226707696831, 0.008338557434129392, 0.010247078879071132, 0.015643359323470937, 0.03773377942452743, 0.2444244621972862]",0.13130447315534485
100,0.5,"[0.12709001524584723, 0.0233104815759017, 0.010337113579059871, 0.00712877527322981, 0.00599473174257271, 0.005725319907917807, 0.0061113277762443715, 0.0074364469530506395, 0.01116817980899882, 0.02715992055441987, 0.2250950783395255]",0.12136469533792946
10,1.0,"[0.7743326972356632, 0.7754024526209511, 0.7763266444729944, 0.777044458081277, 0.7775010802088062, 0.7776579362140748, 0.7775010802088058, 0.777044458081277, 0.7763266444729944, 0.7754024526209511, 0.7743326972356632]",-0.0033252389784115266
20,1.0,"[0.5686224951439889, 0.5438795486765672, 0.5157104665275902, 0.4872679513951638, 0.46515737960979325, 0.4567344514842897, 0.46515737960979325, 0.4872679513951633, 0.5157104665275902, 0.5438795486765674, 0.5686224951439891]",0.11188804365969918
30,1.0,"[0.4408752593263855, 0.3714965442591427, 0.2857448490521478, 0.22137181125617694, 0.19108950887892015, 0.18255071378253623, 0.19108950887891998, 0.22137181125617694, 0.2857448490521478, 0.37149654425914286, 0.44087525932638566]",0.2583245455438493
