MidPoint,Slope,resultList,LinerType
10,1.0,"[0.7743326972356632, 0.7919908945305176, 0.8100592210976365, 0.8284367199296825, 0.8470134965535875, 0.8656754964505102, 0.884309557154312, 0.9028081453667, 0.9210732816554184, 0.9390193398531992, 0.9565746237078318]",0.0
20,1.0,"[0.5686224951439889, 0.5892021615727238, 0.6126574656760685, 0.6393455535275356, 0.6695358926911231, 0.7032998927362162, 0.7403809626828165, 0.7801043612483018, 0.8214092786281901, 0.8630359707561448, 0.9037903596459584]",0.0
30,1.0,"[0.4408752593263853, 0.45382577783352573, 0.46953557372538013, 0.4888899550841548, 0.5131147923937461, 0.5438649729298525, 0.583196866842535, 0.6331187070515493, 0.6942534150533691, 0.7639401262518618, 0.8362084970569076]",0.0
40,1.0,"[0.3611335247983081, 0.36652944633555046, 0.3732792391061536, 0.3819536275911859, 0.3934822810714423, 0.4094647337666802, 0.43281500646978727, 0.46905337678137893, 0.5280432454740824, 0.6207453332499686, 0.7396219249744318]",0.0
50,1.0,"[0.30696653823874404, 0.3062324528159618, 0.30530017616128646, 0.3040770469352478, 0.3024021436506435, 0.2999696022268661, 0.29611998917740434, 0.2891391786660796, 0.2730540572828586, 0.22562009012891124, 0.4526354542251906]",0.0813464481098328
60,1.0,"[0.26761376584393937, 0.2620243376855445, 0.2549137728543911, 0.2456142410449033, 0.23308850843343548, 0.21585579317610468, 0.19263391999670254, 0.165065222979072, 0.138932058101892, 0.11807277676323977, 0.10228369481228902]",0.0
70,1.0,"[0.23760459314110435, 0.22820632386178166, 0.2163880101520267, 0.20139127333503606, 0.18260626675525202, 0.16051718691774058, 0.13770727648042003, 0.11740646380970526, 0.10096113061088588, 0.08807019813472168, 0.07803045804680334]",0.0
80,1.0,"[0.21388935693750133, 0.2015406625014893, 0.18637229674238037, 0.16811082926190127, 0.14746560065669842, 0.12661040802032833, 0.1079753709766672, 0.09260305872663985, 0.08032340256656643, 0.0706319246095912, 0.0631147255421425]",0.0
90,1.0,"[0.194631307999953, 0.18003516001194367, 0.16267888845644896, 0.1430745726690918, 0.12295603891111193, 0.10452242470834637, 0.08897542181879482, 0.07636182114254451, 0.06628373078171668, 0.05835227123651936, 0.05233191248927034]",0.0
100,1.0,"[0.1786544721672408, 0.16238100777061804, 0.1437479724495819, 0.12399474905321363, 0.10516296577319836, 0.0887914129010573, 0.07527926264496103, 0.06437936744763273, 0.05571044281499776, 0.048961741230963765, 0.0439771655721008]",0.0
