MidPoint,Slope,resultList,LinerType
10,4.0,"[0.9737718445975588, 0.9664150403066044, 0.9585694649378019, 0.9501985852645924, 0.9412607314677591, 0.9317080034208228, 0.9214848569962273, 0.9105262481688847, 0.8987551534775758, 0.8860791904535241, 0.872385904379804]",0.0
20,4.0,"[0.9444035257737016, 0.9299051848075264, 0.9132287872140964, 0.8939854707781012, 0.8716430186116851, 0.8454368845552642, 0.8141941705389674, 0.7759365513593853, 0.7267844950443508, 0.6565884503281242, 0.4526354542251906]",0.0
30,4.0,"[0.9110445335236533, 0.8896134301646421, 0.8625989332357881, 0.8281147333470482, 0.7827231692668815, 0.7186126780678748, 0.6046169472129411, 0.005928333523906057, 0.02815791302762174, 0.057267212549242955, 0.06987127596966752]",0.06394294244576147
40,4.0,"[0.872385904379804, 0.8441698678229952, 0.8042277067830494, 0.7451340858474834, 0.6414567677096821, 0.0019666185916728447, 0.001774163208924293, 0.001845592478048135, 0.0024166180616466367, 0.011007127336564835, 0.0439771655721008]",0.04220300236317651
50,4.0,"[0.8262130138984518, 0.7911239674745669, 0.73284845084583, 0.6151016296776793, 0.0011489624722330265, 0.0008969266443066958, 0.0008197839253164914, 0.0008702049760572383, 0.0011217279383788957, 0.0023155532438451716, 0.029665085175602093]",0.0288453012502856
60,4.0,"[0.7681691348056756, 0.7251692414186666, 0.6312121419504507, 0.0008914638688535111, 0.0006017067253336889, 0.0004936880854297953, 0.00046788388570040185, 0.0005062939336862555, 0.0006525216382801109, 0.001239500528086805, 0.02114620137347928]",0.020678317487778878
70,4.0,"[0.686814644825945, 0.6286333515201544, 0.0009089721803435995, 0.0005109087410573684, 0.0003661025011160403, 0.0003128730916708246, 0.0003036371720404121, 0.00033276711419635456, 0.0004296710475016035, 0.0007925068065310843, 0.01586786227845526]",0.015564225106414847
80,4.0,"[0.4526354541439781, 0.0013072389950610076, 0.0005584528530123359, 0.0003286409537218383, 0.00024704561577819736, 0.00021686550372363488, 0.00021377028512567883, 0.00023629530486264766, 0.00030569498889472394, 0.000555410748802032, 0.012434805921860203]",0.012221035636734524
90,4.0,"[0.11716145144157204, 0.0008650899568738746, 0.00036996337847583044, 0.00023002565935669058, 0.0001786275166239219, 0.00015968917758291763, 0.00015910573621751579, 0.00017693203899212418, 0.00022927877314908826, 0.0004129584785297037, 0.010090993416376101]",0.009931887680158586
100,4.0,"[0.09470711661730585, 0.0005943955018810268, 0.00026382529302134013, 0.00017067853828877402, 0.00013558799848942306, 0.00012278720362967073, 0.00012328065360533825, 0.00013769496629931698, 0.00017867997841576432, 0.0003200858157583042, 0.008419974289202648]",0.008297187085572977
