MidPoint,Slope,resultList,LinerType
10,0.25,"[0.872385904379804, 0.8860791904535241, 0.8987551534775758, 0.9105262481688844, 0.9214848569962273, 0.9317080034208228, 0.9412607314677591, 0.9501985852645924, 0.9585694649378019, 0.9664150403066041, 0.9737718445975588]",0.0
20,0.25,"[0.4526354541439781, 0.656588450328124, 0.7267844950443508, 0.7759365513593853, 0.8141941705389677, 0.8454368845552642, 0.8716430186116855, 0.8939854707781012, 0.9132287872140964, 0.9299051848075267, 0.9444035257737016]",0.0
30,0.25,"[0.06987127596915817, 0.0572672125496438, 0.028157912941139722, 0.005928333525592905, 0.6046169472129423, 0.7186126780678744, 0.7827231692668815, 0.8281147333470479, 0.8625989332357881, 0.8896134301646421, 0.911044533523653]",0.06394294244356526
40,0.25,"[0.0439771655762611, 0.011007127331599, 0.0024166180613960494, 0.0018455924780036684, 0.001774163208916748, 0.0019666185916394543, 0.6414567677096821, 0.7451340858474834, 0.8042277067830494, 0.8441698678229945, 0.872385904379804]",0.04220300236734435
50,0.25,"[0.029665085171667663, 0.002315553243804718, 0.0011217279384090754, 0.0008702049760293062, 0.0008197839253433001, 0.0008969266443214646, 0.0011489624722587112, 0.615101629677679, 0.73284845084583, 0.7911239674745666, 0.8262130138984518]",0.028845301246324364
60,0.25,"[0.021146201372272414, 0.0012395005280294957, 0.0006525216382507339, 0.0005062939336727709, 0.00046788388570280975, 0.0004936880854259426, 0.0006017067253418759, 0.0008914638689235022, 0.6312121419504507, 0.7251692414186666, 0.7681691348056756]",0.02067831748656961
70,0.25,"[0.015867862278808428, 0.0007925068065816512, 0.00042967104749309546, 0.00033276711420759166, 0.0003036371720339909, 0.00031287309167259044, 0.00036610250111700346, 0.000510908741058171, 0.0009089721803435995, 0.6286333515201548, 0.686814644825945]",0.015564225106774437
80,0.25,"[0.012434805921397235, 0.0005554107487551574, 0.0003056949888961687, 0.00023629530486762407, 0.00021377028513001314, 0.00021686550372620336, 0.00024704561577354196, 0.0003286409537287411, 0.0005584528530123359, 0.001307238995025049, 0.4526354542251906]",0.012221035636267221
90,0.25,"[0.01009099341705691, 0.0004129584785359644, 0.00022927877315021198, 0.00017693203899389002, 0.0001591057362122183, 0.00015968917758291763, 0.0001786275166213534, 0.00023002565935524582, 0.00036996337847583044, 0.0008650899568512399, 0.11716145144142114]",0.009931887680844692
100,0.25,"[0.008419974286560484, 0.0003200858157595884, 0.0001786799784194565, 0.0001376949662988354, 0.0001232806536034119, 0.0001227872036315971, 0.00013558799849086782, 0.0001706785382918241, 0.00026382529302134013, 0.00059439550188199, 0.09470711661761344]",0.008297187082928887
10,0.5,"[0.9315987562208355, 0.9363778613816434, 0.9408822523351482, 0.9451229260730407, 0.9491099320375616, 0.9528524773842472, 0.9563590173870964, 0.9596373334448546, 0.9626946006805853, 0.9655374467591986, 0.9681720032560035]",0.0
20,0.5,"[0.8362084970569076, 0.8523545770975943, 0.8665575825805721, 0.8790706879414115, 0.8900884111048776, 0.8997637443600885, 0.9082193190123155, 0.9155549544002356, 0.9218529207452709, 0.9271817036933392, 0.9315987562208355]",0.0
30,0.5,"[0.6649454352126605, 0.721667043189706, 0.7621936864524791, 0.7933451226354553, 0.8180536053035774, 0.837894865256617, 0.8538277128960224, 0.8664835033613048, 0.8763006619452052, 0.8835948089270637, 0.8885984273399055]",0.0
40,0.5,"[0.10228369481238805, 0.07559444708125442, 0.25033010793585014, 0.6561657351013975, 0.7199081118739227, 0.761071596126401, 0.789873971488434, 0.810209237549389, 0.8240351064535103, 0.8324735682158272, 0.8362084970569076]",0.02668924773113364
50,0.5,"[0.06987127596915817, 0.009402077151653487, 0.00262562617152756, 0.0020418481959201345, 0.0018556765736739717, 0.6484883704768426, 0.708379790270488, 0.742142838275861, 0.761071596126401, 0.7691628259878183, 0.7681691348056756]",-0.0009936911821426528
60,0.5,"[0.0523319124888687, 0.002754654227883198, 0.0013597686137065568, 0.0010682631136359367, 0.0010232016578244282, 0.0011154445170963566, 0.5698131210477406, 0.6486094909939963, 0.6766914456080473, 0.6806909738326961, 0.6649454352126598]",-0.015745538620036248
70,0.5,"[0.0404656391440829, 0.0015722720084263096, 0.0008173298899328995, 0.0006378894135981685, 0.0005976387734233387, 0.0006402617329418092, 0.0007718599186012678, 0.0009878345632925245, 0.0013603449657812528, 0.0026747635169193165, 0.14027220743618393]",0.039868000370659566
80,0.5,"[0.031953050478044524, 0.00102390210874186, 0.000545887709403298, 0.0004236468568289835, 0.00039015429562304853, 0.0004066272989145963, 0.00047490485931492245, 0.0006146844616331721, 0.0008859692608650301, 0.0017642407935199703, 0.10228369481228902]",0.031562896182421474
90,0.5,"[0.025739527279297285, 0.0007236699222770707, 0.0003915199012417055, 0.0003026120399321707, 0.00027544984085968617, 0.00028166331316456, 0.0003203244707335212, 0.0004045390726450148, 0.0005797710630754825, 0.0011573096003542472, 0.08284715466361033]",0.0254640774384376
100,0.5,"[0.021146201372272414, 0.0005407251834199365, 0.0002952820550487234, 0.0002275600787170749, 0.00020545849370103987, 0.00020735518125314015, 0.00023151586393653538, 0.0002868004253747121, 0.00040662729891684376, 0.0008045372552904747, 0.06987127596966752]",0.02094074287857137
10,1.0,"[0.9565746237078314, 0.9572937223613281, 0.9578522768068447, 0.9582508467993907, 0.9584898301985106, 0.9585694649378019, 0.958489830198511, 0.958250846799391, 0.957852276806844, 0.9572937223613278, 0.9565746237078318]",-0.001994841229970179
20,1.0,"[0.9037903596459584, 0.9072128231367556, 0.909855433030464, 0.9117328569681389, 0.9128553019534241, 0.9132287872140964, 0.9128553019534243, 0.9117328569681385, 0.909855433030464, 0.9072128231367559, 0.9037903596459584]",-0.00943842756813795
30,1.0,"[0.8362084970569076, 0.8459399904343928, 0.8533247681726451, 0.8585067053198563, 0.861580223686265, 0.8625989332357881, 0.8615802236862653, 0.858506705319856, 0.8533247681726451, 0.8459399904343928, 0.8362084970569076]",-0.026390436178880483
40,1.0,"[0.7396219249744324, 0.7646936507559743, 0.7826756126744542, 0.7948462119858934, 0.8019101427666222, 0.8042277067830494, 0.8019101427666229, 0.7948462119858934, 0.7826756126744542, 0.7646936507559743, 0.7396219249744318]",-0.06460578180861709
50,1.0,"[0.4526354541439781, 0.6280092016447365, 0.6812368454437706, 0.7114723710299309, 0.727695544761042, 0.73284845084583, 0.7276955447610417, 0.7114723710299312, 0.6812368454437709, 0.6280092016447355, 0.4526354542251906]",-0.28021299662063937
60,1.0,"[0.10228369481238805, 0.004559522118336851, 0.0022241993138371026, 0.5539363360024671, 0.6163951498054209, 0.6312121419504507, 0.6163951498054215, 0.5539363360024667, 0.0022241993138118993, 0.004559522118318871, 0.10228369481228902]",-0.5289284471380626
70,1.0,"[0.07803045804677154, 0.002585789487017899, 0.001323785181362014, 0.0010258096664684125, 0.00093145764733031, 0.0009089721803435995, 0.0009314576473078359, 0.0010258096664990737, 0.0013237851814066413, 0.002585789486835376, 0.07803045804680334]",0.07712148586642795
80,1.0,"[0.06311472554319525, 0.0015891624535490563, 0.0008267347610538132, 0.0006350899898456253, 0.0005721247465953428, 0.0005584528530123359, 0.000572124746623596, 0.0006350899898644073, 0.0008267347610679399, 0.0015891624535572435, 0.0631147255421425]",0.06255627268913015
90,1.0,"[0.0523319124888687, 0.0010645934760740382, 0.0005610275576498356, 0.00042800206336475596, 0.0003812940893989044, 0.00036996337847583044, 0.0003812940893918411, 0.0004280020633716587, 0.0005610275576456618, 0.0010645934760581458, 0.05233191248927034]",0.05196194911039287
100,1.0,"[0.0439771655762611, 0.0007625981346804034, 0.00040588644543562566, 0.00030845269975827175, 0.0002729146318829912, 0.00026382529302134013, 0.00027291463188973354, 0.00030845269976613774, 0.0004058864454385153, 0.0007625981346802429, 0.0439771655721008]",0.04371334027907946
10,2.0,"[0.9681720032560038, 0.9655374467591986, 0.9626946006805857, 0.9596373334448546, 0.956359017387096, 0.9528524773842472, 0.9491099320375619, 0.9451229260730404, 0.9408822523351482, 0.9363778613816434, 0.9315987562208355]",0.0
20,2.0,"[0.9315987562208355, 0.9271817036933392, 0.9218529207452713, 0.9155549544002353, 0.9082193190123158, 0.8997637443600889, 0.8900884111048772, 0.8790706879414115, 0.8665575825805725, 0.852354577097594, 0.8362084970569076]",0.0
30,2.0,"[0.8885984273399055, 0.8835948089270637, 0.8763006619452052, 0.8664835033613048, 0.8538277128960224, 0.837894865256617, 0.8180536053035771, 0.7933451226354553, 0.7621936864524788, 0.7216670431897063, 0.6649454352126598]",0.0
40,2.0,"[0.8362084970569076, 0.8324735682158272, 0.824035106453511, 0.8102092375493891, 0.7898739714884343, 0.761071596126401, 0.719908111873923, 0.6561657351013982, 0.2503301076463955, 0.07559444708139086, 0.10228369481228902]",0.02668924773089816
50,2.0,"[0.7681691348056756, 0.7691628259878179, 0.761071596126401, 0.742142838275861, 0.7083797902704884, 0.6484883704768419, 0.0018556765736648213, 0.0020418481959180476, 0.0026256261715325363, 0.009402077148598118, 0.06987127596966752]",-0.00099369118214232
60,2.0,"[0.6649454352126605, 0.6806909738326961, 0.6766914456080473, 0.6486094909939963, 0.5698131210477397, 0.001115444517146442, 0.0010232016577958539, 0.0010682631136133018, 0.0013597686137010985, 0.0027546542284639956, 0.05233191248927034]",-0.015745538620035582
70,2.0,"[0.14027220743649457, 0.0026747635168376067, 0.0013603449656560394, 0.0009878345632742243, 0.000771859918607689, 0.0006402617329504778, 0.0005976387734270308, 0.0006378894136037871, 0.0008173298899622764, 0.0015722720084352991, 0.040465639140681756]",0.039868000367254734
80,2.0,"[0.10228369481238805, 0.0017642407934904327, 0.0008859692608406296, 0.0006146844616681677, 0.0004749048593279254, 0.00040662729891684376, 0.0003901542956161458, 0.0004236468568297861, 0.000545887709393024, 0.0010239021088182725, 0.0319530504769274]",0.03156289618131125
90,2.0,"[0.0828471546626433, 0.001157309600326315, 0.0005797710630709876, 0.0004045390726411621, 0.0003203244707354476, 0.00028166331315781774, 0.000275449840855994, 0.00030261203993201013, 0.00039151990123223424, 0.0007236699222666364, 0.025739527278313717]",0.025464077437457724
100,2.0,"[0.06987127596915817, 0.0008045372552837323, 0.0004066272989145963, 0.00028680042537423055, 0.00023151586393974598, 0.0002073551812502506, 0.00020545849369991618, 0.00022756007871466692, 0.0002952820550522551, 0.0005407251834234682, 0.02114620137347928]",0.02094074287977936
10,4.0,"[0.9737718445975588, 0.9664150403066044, 0.9585694649378019, 0.9501985852645924, 0.9412607314677591, 0.9317080034208228, 0.9214848569962273, 0.9105262481688847, 0.8987551534775758, 0.8860791904535241, 0.872385904379804]",0.0
20,4.0,"[0.9444035257737016, 0.9299051848075264, 0.9132287872140964, 0.8939854707781012, 0.8716430186116851, 0.8454368845552642, 0.8141941705389674, 0.7759365513593853, 0.7267844950443508, 0.6565884503281242, 0.4526354542251906]",0.0
30,4.0,"[0.9110445335236533, 0.8896134301646421, 0.8625989332357881, 0.8281147333470482, 0.7827231692668815, 0.7186126780678748, 0.6046169472129411, 0.005928333523906057, 0.02815791302762174, 0.057267212549242955, 0.06987127596966752]",0.06394294244576147
40,4.0,"[0.872385904379804, 0.8441698678229952, 0.8042277067830494, 0.7451340858474834, 0.6414567677096821, 0.0019666185916728447, 0.001774163208924293, 0.001845592478048135, 0.0024166180616466367, 0.011007127336564835, 0.0439771655721008]",0.04220300236317651
50,4.0,"[0.8262130138984518, 0.7911239674745669, 0.73284845084583, 0.6151016296776793, 0.0011489624722330265, 0.0008969266443066958, 0.0008197839253164914, 0.0008702049760572383, 0.0011217279383788957, 0.0023155532438451716, 0.029665085175602093]",0.0288453012502856
60,4.0,"[0.7681691348056756, 0.7251692414186666, 0.6312121419504507, 0.0008914638688535111, 0.0006017067253336889, 0.0004936880854297953, 0.00046788388570040185, 0.0005062939336862555, 0.0006525216382801109, 0.001239500528086805, 0.02114620137347928]",0.02067831748777888
70,4.0,"[0.686814644825945, 0.6286333515201544, 0.0009089721803435995, 0.0005109087410573684, 0.0003661025011160403, 0.0003128730916708246, 0.0003036371720404121, 0.00033276711419635456, 0.0004296710475016035, 0.0007925068065310843, 0.01586786227845526]",0.015564225106414847
80,4.0,"[0.4526354541439781, 0.0013072389950610076, 0.0005584528530123359, 0.0003286409537218383, 0.00024704561577819736, 0.00021686550372363488, 0.00021377028512567883, 0.00023629530486264766, 0.00030569498889472394, 0.000555410748802032, 0.012434805921860203]",0.012221035636734523
90,4.0,"[0.11716145144157204, 0.0008650899568738746, 0.00036996337847583044, 0.00023002565935669058, 0.0001786275166239219, 0.00015968917758291763, 0.00015910573621751579, 0.00017693203899212418, 0.00022927877314908826, 0.0004129584785297037, 0.010090993416376101]",0.009931887680158586
100,4.0,"[0.09470711661730585, 0.0005943955018810268, 0.00026382529302134013, 0.00017067853828877402, 0.00013558799848942306, 0.00012278720362967073, 0.00012328065360533825, 0.00013769496629931698, 0.00017867997841576432, 0.0003200858157583042, 0.008419974289202648]",0.008297187085572977
