MidPoint,Slope,resultList,LinerType
10,0.25,"[0.496658901337244, 0.5214751000689792, 0.5488348639218712, 0.5790084453074839, 0.6122217750470387, 0.6485924823159007, 0.6880410127164196, 0.7301950409949051, 0.7743326972356632, 0.8194231145376013, 0.8642862717052435]",0.0
20,0.25,"[0.3069665382387437, 0.3251264356682675, 0.34574896713951814, 0.3693903978853124, 0.3967835947787872, 0.42890408821716464, 0.4670530995969333, 0.5129341748624717, 0.5686224951439891, 0.6361178511954065, 0.7158803706841446]",0.0
30,0.25,"[0.22509507833952563, 0.2392718139875969, 0.2554650797612681, 0.27415936420492465, 0.29601260563004494, 0.321941700011105, 0.3532620052897315, 0.39191967676097383, 0.4408752593263852, 0.5046655370027554, 0.5897330070468059]",0.0
40,0.25,"[0.17865447216725383, 0.19036550862357457, 0.2037880903596388, 0.21934275677541945, 0.2376045931411042, 0.2593832456180625, 0.28585866543435073, 0.3188229018697891, 0.36113352479830796, 0.4175993591571707, 0.496658901337244]",0.0
50,0.25,"[0.14844355628575462, 0.1584624946771871, 0.1699728891665208, 0.18334824971592212, 0.1991003751697209, 0.2179523423952431, 0.2409638112577472, 0.26975857302542655, 0.30696653823874404, 0.35715133441573604, 0.4289040882171648]",0.0
60,0.25,"[0.1270900152470271, 0.13587872416357583, 0.145986320678981, 0.15775168443667156, 0.1716389974754867, 0.18830442528102886, 0.20871146285476253, 0.2343422602186661, 0.26761376584393937, 0.31277483877700346, 0.3780621575956971]",0.0
70,0.25,"[0.11109221345067641, 0.11896422231323493, 0.1280098921111929, 0.13854144495523946, 0.15098660321142274, 0.16594964572900592, 0.18431778373994143, 0.20745752925836794, 0.23760459314110435, 0.27871516669537055, 0.33856992830714006]",0.0
80,0.25,"[0.09854950403824432, 0.10573576334671687, 0.11396895993448447, 0.12353846568159095, 0.13484233619893343, 0.14844355628585384, 0.16516837354637715, 0.18628903234568087, 0.21388935693750166, 0.25166975797632224, 0.3069665382387437]",0.0
90,0.25,"[0.08834048652243155, 0.09501579887263341, 0.10262799223680935, 0.11144414711963972, 0.12183551966343428, 0.13433009425112385, 0.14970406454468907, 0.16915225781579882, 0.1946313079999558, 0.22962114071618842, 0.2810538813048153]",0.0
100,0.25,"[0.07977082170481123, 0.08606501211219718, 0.0932041301351702, 0.10143171576680911, 0.1110922134527217, 0.122681148498737, 0.136931310322455, 0.15497255160543502, 0.17865447216725913, 0.21126733627549538, 0.2593832456180623]",0.0
10,0.5,"[0.6614115411903173, 0.6772354393407317, 0.693517352205997, 0.7102241189521327, 0.7273131977120907, 0.7447328011946109, 0.7624225781219257, 0.7803148698569792, 0.7983365022959943, 0.816410999010719, 0.8344610387662691]",0.0
20,0.5,"[0.4408752593263855, 0.45620199279277096, 0.4726816846907885, 0.4904354165259685, 0.5095946237162136, 0.5302986674424064, 0.5526898276440635, 0.5769043945078706, 0.603058291807141, 0.6312258505157952, 0.6614115411903173]",0.0
30,0.5,"[0.3317025534271317, 0.34428718361699856, 0.3579402359722532, 0.37280756546493493, 0.38906189690933024, 0.40690847127987245, 0.4265915818488535, 0.4484016391681451, 0.4726816846907885, 0.49983076816725763, 0.5302986674424064]",0.0
40,0.5,"[0.2676137658439395, 0.27825236887549837, 0.2898301373162691, 0.30248278318253796, 0.31637392972194495, 0.331702553427132, 0.348712782068226, 0.367706818037296, 0.3890618969093301, 0.4132521244840854, 0.4408752593263855]",0.0
50,0.5,"[0.22509507833952563, 0.2343422602186661, 0.24442446219728586, 0.2554650797612679, 0.26761376584393937, 0.2810538813048153, 0.29601260563004494, 0.3127748387770033, 0.33170255342713184, 0.35326200528973134, 0.3780621575956971]",0.0
60,0.5,"[0.19463130799995754, 0.20283226420932732, 0.21178636460487493, 0.2216064137523943, 0.23242957658346536, 0.24442446219728586, 0.25780084428292827, 0.2728232286807984, 0.2898301373162692, 0.3092620380557224, 0.3317025534271317]",0.0
70,0.5,"[0.1716389974754841, 0.17902082390833168, 0.18708980723713353, 0.19595001459576591, 0.205728148283261, 0.21658021615209436, 0.22870073078540237, 0.24233563533594718, 0.25780084428292827, 0.2755094465774114, 0.2960126056300448]",0.0
80,0.5,"[0.15362020915291802, 0.16034170353203941, 0.1676954839883788, 0.175778437294739, 0.1847085737348171, 0.1946313079999569, 0.20572814828325986, 0.2182289501872669, 0.23242957658346536, 0.24871797681191438, 0.2676137658439395]",0.0
90,0.5,"[0.13908669986342836, 0.14526521387939964, 0.15202890105782565, 0.15946872967144596, 0.16769548398838297, 0.1768456853119937, 0.18708980723712762, 0.19864389514883196, 0.21178636460487396, 0.2268829034868835, 0.24442446219728603]",0.0
100,0.5,"[0.1270900152470271, 0.1328166077659502, 0.13908669986362246, 0.14598632067897635, 0.1536202091529869, 0.1621173999929941, 0.1716389974754907, 0.18238920357691443, 0.19463130799995657, 0.20871146285476266, 0.22509507833952563]",0.0
10,1.0,"[0.7743326972356632, 0.7743326972356636, 0.7743326972356632, 0.7743326972356636, 0.7743326972356636, 0.7743326972356632, 0.7743326972356629, 0.7743326972356636, 0.7743326972356632, 0.7743326972356632, 0.7743326972356632]",-3.3306690738754696e-16
20,1.0,"[0.5686224951439891, 0.5686224951439892, 0.5686224951439892, 0.5686224951439892, 0.5686224951439892, 0.5686224951439891, 0.5686224951439894, 0.5686224951439892, 0.5686224951439891, 0.5686224951439894, 0.5686224951439891]",-3.3306690738754696e-16
30,1.0,"[0.4408752593263855, 0.4408752593263853, 0.44087525932638505, 0.4408752593263852, 0.4408752593263852, 0.4408752593263852, 0.4408752593263855, 0.4408752593263852, 0.44087525932638505, 0.4408752593263855, 0.4408752593263855]",4.440892098500626e-16
40,1.0,"[0.36113352479830796, 0.36113352479830796, 0.3611335247983081, 0.36113352479830846, 0.36113352479830796, 0.36113352479830796, 0.3611335247983081, 0.3611335247983081, 0.36113352479830796, 0.36113352479830796, 0.36113352479830796]",-4.996003610813204e-16
50,1.0,"[0.3069665382387437, 0.30696653823874404, 0.30696653823874387, 0.3069665382387437, 0.30696653823874404, 0.30696653823874404, 0.30696653823874387, 0.30696653823874387, 0.30696653823874387, 0.30696653823874404, 0.3069665382387437]",-3.3306690738754696e-16
60,1.0,"[0.2676137658439395, 0.26761376584393937, 0.2676137658439392, 0.26761376584393937, 0.2676137658439392, 0.26761376584393937, 0.26761376584393937, 0.26761376584393937, 0.26761376584393937, 0.2676137658439395, 0.2676137658439395]",2.7755575615628914e-16
70,1.0,"[0.23760459314110452, 0.23760459314110435, 0.23760459314110435, 0.23760459314110452, 0.23760459314110452, 0.23760459314110435, 0.2376045931411042, 0.23760459314110452, 0.2376045931411042, 0.23760459314110452, 0.23760459314110452]",3.3306690738754696e-16
80,1.0,"[0.21388935693750233, 0.21388935693750233, 0.213889356937502, 0.21388935693750233, 0.21388935693750183, 0.21388935693750166, 0.21388935693750166, 0.21388935693750216, 0.21388935693750216, 0.21388935693750233, 0.21388935693750233]",6.661338147750939e-16
90,1.0,"[0.19463130799995754, 0.1946313079999585, 0.19463130799995818, 0.1946313079999574, 0.19463130799995595, 0.1946313079999558, 0.1946313079999553, 0.19463130799995818, 0.194631307999958, 0.194631307999958, 0.19463130799995754]",-9.71445146547012e-16
100,1.0,"[0.17865447216725383, 0.17865447216726474, 0.17865447216726682, 0.1786544721672641, 0.17865447216725977, 0.17865447216725913, 0.17865447216725766, 0.1786544721672652, 0.17865447216726812, 0.17865447216726843, 0.17865447216725383]",-1.459943277382081e-14
10,2.0,"[0.8344610387662691, 0.816410999010719, 0.7983365022959943, 0.7803148698569788, 0.7624225781219254, 0.7447328011946109, 0.7273131977120907, 0.7102241189521327, 0.6935173522059976, 0.6772354393407317, 0.6614115411903173]",0.0
20,2.0,"[0.6614115411903173, 0.6312258505157945, 0.6030582918071413, 0.5769043945078709, 0.5526898276440633, 0.5302986674424064, 0.5095946237162138, 0.49043541652596834, 0.4726816846907885, 0.45620199279277085, 0.4408752593263855]",0.0
30,2.0,"[0.5302986674424064, 0.49983076816725763, 0.472681684690788, 0.4484016391681451, 0.4265915818488533, 0.40690847127987245, 0.3890618969093301, 0.37280756546493493, 0.35794023597225294, 0.3442871836169984, 0.3317025534271317]",0.0
40,2.0,"[0.4408752593263855, 0.4132521244840852, 0.3890618969093301, 0.3677068180372958, 0.3487127820682258, 0.33170255342713184, 0.3163739297219451, 0.3024827831825378, 0.2898301373162692, 0.27825236887549853, 0.2676137658439395]",0.0
50,2.0,"[0.3780621575956971, 0.35326200528973134, 0.331702553427132, 0.3127748387770033, 0.29601260563004494, 0.2810538813048153, 0.26761376584393937, 0.2554650797612681, 0.24442446219728603, 0.23434226021866628, 0.22509507833952563]",0.0
60,2.0,"[0.3317025534271317, 0.3092620380557224, 0.2898301373162694, 0.2728232286807984, 0.25780084428292827, 0.2444244621972857, 0.23242957658346552, 0.22160641375239398, 0.21178636460487493, 0.20283226420932732, 0.19463130799995754]",0.0
70,2.0,"[0.2960126056300448, 0.2755094465774117, 0.2578008442829281, 0.24233563533594735, 0.22870073078540237, 0.2165802161520942, 0.20572814828326147, 0.1959500145957648, 0.18708980723713114, 0.1790208239083349, 0.1716389974754841]",0.0
80,2.0,"[0.2676137658439395, 0.2487179768119142, 0.23242957658346536, 0.21822895018726707, 0.2057281482832602, 0.19463130799995657, 0.18470857373481633, 0.1757784372947393, 0.16769548398837542, 0.1603417035320492, 0.15362020915291802]",0.0
90,2.0,"[0.24442446219728603, 0.22688290348688384, 0.2117863646048743, 0.19864389514883113, 0.18708980723712812, 0.1768456853119918, 0.16769548398837605, 0.1594687296714734, 0.1520289010578321, 0.14526521387942676, 0.13908669986342836]",0.0
100,2.0,"[0.22509507833952563, 0.20871146285476253, 0.1946313079999569, 0.18238920357691715, 0.17163899747548877, 0.16211739999299477, 0.1536202091529744, 0.1459863206789847, 0.13908669986363995, 0.13281660776602194, 0.1270900152470271]",0.0
10,4.0,"[0.8642862717052435, 0.8194231145376013, 0.7743326972356632, 0.7301950409949045, 0.6880410127164193, 0.6485924823159007, 0.6122217750470387, 0.5790084453074839, 0.5488348639218712, 0.521475100068979, 0.496658901337244]",0.0
20,4.0,"[0.7158803706841446, 0.6361178511954069, 0.5686224951439891, 0.512934174862472, 0.4670530995969333, 0.42890408821716464, 0.3967835947787872, 0.3693903978853124, 0.34574896713951797, 0.32512643566826716, 0.3069665382387437]",0.0
30,4.0,"[0.5897330070468059, 0.5046655370027554, 0.4408752593263852, 0.39191967676097383, 0.3532620052897317, 0.32194170001110484, 0.29601260563004494, 0.27415936420492415, 0.2554650797612679, 0.23927181398759706, 0.22509507833952563]",0.0
40,4.0,"[0.496658901337244, 0.4175993591571709, 0.36113352479830796, 0.3188229018697891, 0.28585866543435073, 0.25938324561806214, 0.23760459314110435, 0.21934275677541962, 0.20378809035963896, 0.19036550862357568, 0.17865447216725383]",0.0
50,4.0,"[0.4289040882171648, 0.35715133441573604, 0.30696653823874404, 0.26975857302542655, 0.24096381125774738, 0.21795234239524325, 0.1991003751697203, 0.18334824971592212, 0.16997288916652, 0.15846249467720058, 0.14844355628575462]",0.0
60,4.0,"[0.3780621575956971, 0.31277483877700313, 0.26761376584393937, 0.23434226021866628, 0.20871146285476205, 0.18830442528103014, 0.1716389974755082, 0.1577516844366852, 0.14598632067897457, 0.13587872416349042, 0.1270900152470271]",0.0
70,4.0,"[0.33856992830714006, 0.27871516669537055, 0.23760459314110435, 0.2074575292583684, 0.1843177837399429, 0.16594964572900095, 0.15098660321139126, 0.13854144495529758, 0.128009892111299, 0.11896422231316174, 0.11109221345067641]",0.0
80,4.0,"[0.3069665382387437, 0.25166975797632224, 0.21388935693750166, 0.1862890323456823, 0.1651683735463892, 0.14844355628588465, 0.13484233619898947, 0.12353846568143138, 0.11396895993443888, 0.10573576334682748, 0.09854950403824432]",0.0
90,4.0,"[0.2810538813048153, 0.22962114071618858, 0.1946313079999558, 0.16915225781579254, 0.1497040645447393, 0.1343300942510922, 0.12183551966333636, 0.11144414711951242, 0.10262799223703328, 0.09501579887259712, 0.08834048652243155]",0.0
100,4.0,"[0.2593832456180623, 0.21126733627549554, 0.17865447216725913, 0.15497255160544754, 0.13693131032244749, 0.1226811484989277, 0.11109221345287519, 0.10143171576672337, 0.09320413013568342, 0.08606501211133721, 0.07977082170481123]",0.0
