MidPoint,Slope,resultList,LinerType
10,0.25,"[0.8788122764797739, 0.8903649867005601, 0.901376704267328, 0.9118995423599694, 0.9219777732332649, 0.9316493926462183, 0.9409473041117712, 0.9499002301573052, 0.9585334237998612, 0.9668692313122114, 0.9749275426047326]",0.0
20,0.25,"[0.5061726804784797, 0.664250398289957, 0.7245213874768996, 0.7687831814452712, 0.8047792826019453, 0.8354947490501511, 0.8624580761261789, 0.8865770298036598, 0.908443374468826, 0.928468573676688, 0.9469526296896312]",0.0
30,0.25,"[0.017724212719956375, 0.020947376417407234, 0.024993289748419623, 0.03007092479485196, 0.03657347850951265, 0.651185559072839, 0.740496390711164, 0.7992019851980805, 0.8448458650285238, 0.8827268886699571, 0.9153063607104389]",0.0
40,0.25,"[0.009561690032136926, 0.011270037676974543, 0.013514666752625186, 0.016510306956992796, 0.02055198021039181, 0.02602388863910128, 0.03345188785336852, 0.6365680489908399, 0.7551709034157368, 0.825731406687389, 0.8788122764797739]",0.0
50,0.25,"[0.006117792969240462, 0.007118950393752225, 0.00843726113281076, 0.010219244233274633, 0.01269513009830297, 0.016225363268298723, 0.021352897099157726, 0.02883996756584736, 0.5061726805152625, 0.7479794397612434, 0.8354947490501514]",0.0
60,0.25,"[0.004376134673901372, 0.005033629073694072, 0.00589144044516328, 0.007043608994889093, 0.008644067639337066, 0.010952838411450104, 0.01441697697965687, 0.019790565391248686, 0.02824781341397719, 0.5994622472904876, 0.7815064510891558]",0.0
70,0.25,"[0.0033636070936664585, 0.003834051358887609, 0.004441361932751659, 0.005248590941303548, 0.0063598013886970554, 0.007954896562027776, 0.010359542896939291, 0.014183119572074927, 0.020551980211311327, 0.03136799502355417, 0.7069022123024264]",0.0
80,0.25,"[0.0027138400507380617, 0.0030718419704874383, 0.0035295971333844382, 0.00413180001356292, 0.004952002775123694, 0.006117792969279631, 0.007863967904633172, 0.010649591582948108, 0.015411892076756863, 0.024013280144168724, 0.5061726804784797]",0.0
90,0.25,"[0.0022661192167417366, 0.002551073852216958, 0.002912460733945452, 0.0033835577107166445, 0.004018768035490727, 0.004912073990161882, 0.006236750303450896, 0.008336930789888062, 0.011949546439018292, 0.018718269869448682, 0.03204315041171048]",0.0
100,0.25,"[0.0019408767275594337, 0.0021754421986852623, 0.002470877656245444, 0.002852980930226573, 0.003363607093894732, 0.0040745676998124505, 0.005117694744347824, 0.0067554995617761, 0.009561690033636439, 0.014902203415278212, 0.026023888642103355]",0.0
10,0.5,"[0.9347887227123531, 0.9385027115262119, 0.9421603762486989, 0.9457634496603293, 0.9493135783445853, 0.9528123286079972, 0.9562611918865429, 0.9596615896918377, 0.9630148781441306, 0.9663223521335396, 0.9695852491461602]",0.0
20,0.5,"[0.8448458650285238, 0.8555762307978683, 0.8658229394876618, 0.8756325395646428, 0.8850445604483222, 0.8940929143471326, 0.9028069572531584, 0.9112123052299742, 0.919331471637683, 0.9271843710905188, 0.9347887227123531]",0.0
30,0.5,"[0.6871099228359745, 0.7211426310057315, 0.74944013102678, 0.7739710744624159, 0.795782653989065, 0.8155108598750177, 0.8335763877526678, 0.8502747359532569, 0.8658229394876618, 0.8803860100625024, 0.8940929143471329]",0.0
