MidPoint,Slope,resultList,LinerType
10,0.25,"[0.4413511844801566, 0.4625747744852376, 0.4868531451683739, 0.5148976206775938, 0.54766435063247, 0.5864713430176969, 0.6331871065592173, 0.6905374269762172, 0.7625780747639367, 0.8551877578860596, 0.9749275426047326]",0.0
20,0.25,"[0.29439535450604193, 0.30941887566383336, 0.3273864820050976, 0.3492129217396603, 0.37622077197402626, 0.4103947364667363, 0.45485943310763605, 0.5148594902122308, 0.600003343226876, 0.7300134379254134, 0.9469526296896312]",0.0
30,0.25,"[0.2227767227167381, 0.23245201011486147, 0.24438034041630535, 0.2594165558655039, 0.27888025819951334, 0.30489553447398327, 0.34105957350005117, 0.39388436630809437, 0.4763897329734831, 0.6193655561480893, 0.9153063607104389]",0.0
40,0.25,"[0.17971677007526038, 0.185251414143772, 0.1922123117131776, 0.2012270066677618, 0.21333960251424525, 0.23039755295999392, 0.2559085803580536, 0.2970603570921369, 0.36982324845990927, 0.5147268136865968, 0.8788122764797739]",0.0
50,0.25,"[0.15079685194628628, 0.15315668098391608, 0.15615159432273326, 0.16008242254022337, 0.165477488227892, 0.17335679198735618, 0.18596152233851473, 0.2091632949499993, 0.2615856049043513, 0.4022835070562683, 0.8354947490501514]",0.0
60,0.25,"[0.12995269860066996, 0.1298736880411273, 0.12976514077201107, 0.1296022481058506, 0.129324169854782, 0.12876692024639091, 0.12748421833351062, 0.12447915679921136, 0.11901257289360827, 0.12240592045003203, 0.7815064510891558]",0.010940125707061696
70,0.25,"[0.11414152215493589, 0.11215598400894783, 0.10960769298557162, 0.10619565111562067, 0.10139118355433077, 0.09443416554154074, 0.08494873085718531, 0.07413817690325587, 0.06441589557459537, 0.057887387101118674, 0.7069022123024264]",0.05625413505381722
80,0.25,"[0.10165033010436514, 0.09811105856591529, 0.09355722013389978, 0.08750811411646513, 0.07947046131143938, 0.06962338576489349, 0.05936778370602685, 0.05039481159362133, 0.04363200802915206, 0.03971828992808191, 0.5061726804784797]",0.06193204017628323
90,0.25,"[0.09143969529097352, 0.08656303271558803, 0.08028793292681635, 0.07221044888440935, 0.06253588138309987, 0.052548337101666585, 0.04375715663969396, 0.03687386883822619, 0.031975944769411284, 0.02930049101897387, 0.03204315041171048]",0.0027426593927366086
100,0.25,"[0.08284976954749043, 0.07677538324592724, 0.06905012882018775, 0.05969530805471108, 0.0497645191820368, 0.040797121259318156, 0.033632177589761954, 0.028304229820805497, 0.02459325685260285, 0.02258920456520948, 0.026023888642103355]",0.0034346840768938736
10,0.5,"[0.5596213507581559, 0.5803852144235078, 0.6036380085821462, 0.6298451331114799, 0.6595929495645003, 0.6936269599072377, 0.7328997493034571, 0.7786218903812137, 0.8322834003053812, 0.8955327059113586, 0.9695852491461602]",0.0
20,0.5,"[0.4003981903440512, 0.41691499363519796, 0.43634997371580697, 0.4594984003743979, 0.48746062146781277, 0.5218020947010843, 0.5648265629560587, 0.6200647775864916, 0.6931765804409855, 0.7935017322688921, 0.9347887227123531]",0.0
30,0.5,"[0.3149626828824773, 0.32601900731730876, 0.3395378724236816, 0.35637846793551936, 0.3778161501954128, 0.40580645540004223, 0.4434667334101738, 0.4960207779230024, 0.5728530320518325, 0.6925508208632433, 0.8940929143471329]",0.0
40,0.5,"[0.260658268271272, 0.2666741733418063, 0.27427955111527036, 0.2841652900134916, 0.29745857504344464, 0.3160913678496969, 0.34355218865054976, 0.38646536633448253, 0.45802574263682666, 0.5866622456867365, 0.8448458650285238]",0.0
50,0.5,"[0.2227767227167381, 0.22436830291572102, 0.22643745845639485, 0.2292341476118161, 0.23321572395429754, 0.23930959262242574, 0.2496765822749784, 0.2703655685829636, 0.3212838839947389, 0.4556452087962027, 0.7815064510891558]",0.0
60,0.5,"[0.1947255317430091, 0.19249894001178688, 0.18954394726615123, 0.18542898283085227, 0.17927893847386142, 0.16880718489457194, 0.1457489329252142, 0.1055315926905865, 0.07632315614977102, 0.06071617103474917, 0.6871099228359745]",0.13400936070825994
70,0.5,"[0.17306315674920209, 0.16757757797850936, 0.16021311863956123, 0.1498024974091316, 0.1337794300887355, 0.10780430868568176, 0.07884511887466088, 0.0587794873594378, 0.046628260313965594, 0.03973417163453274, 0.03657347882971948]",0.0
80,0.5,"[0.15580106998816678, 0.14755850953984842, 0.13645502001660584, 0.12068168619245638, 0.09752159016276328, 0.07153448490543847, 0.05234188091364734, 0.0402038599948078, 0.032676556739025524, 0.02846385019037437, 0.028247813418110033]",0.0
90,0.5,"[0.14170235895486138, 0.13113582767332227, 0.11689935570455726, 0.09686134229188094, 0.0720291220884873, 0.05140638852425732, 0.037995823405198775, 0.029593626871964287, 0.024321580427197675, 0.02138131708069079, 0.02219533636687685]",0.0008140192861860601
100,0.5,"[0.12995269860066996, 0.11741167315164446, 0.10049291793804596, 0.07775358090563317, 0.05490507521906371, 0.038945792172810675, 0.0290346834717221, 0.022828968256057146, 0.018899571362454747, 0.016687239958774986, 0.01772421272361084]",0.001036972764835855
10,1.0,"[0.6512145775177239, 0.6691925416583344, 0.6890146393030288, 0.7109575330193748, 0.7353493645653238, 0.7625780747639367, 0.7930974463164312, 0.827425147791002, 0.8661199305669733, 0.9097113158753622, 0.9585334237998608]",0.0
20,1.0,"[0.49274070668695996, 0.5077359335719217, 0.5252226805728166, 0.5458237268311891, 0.5703723198804415, 0.600003343226876, 0.6362925237423027, 0.68146950106016, 0.7387279150286407, 0.8125616480661955, 0.9084433744688263]",0.0
30,1.0,"[0.4003981903440512, 0.4096724141269417, 0.4210065921922452, 0.43511343436621724, 0.45304376968472443, 0.4763897329734831, 0.5076341410966035, 0.5507691403928318, 0.6124324926702699, 0.7040435580820513, 0.8448458650285238]",0.0
40,1.0,"[0.3388157969919568, 0.3420263998208477, 0.34613354379873373, 0.35155824814119907, 0.35901851431326287, 0.36982324845990927, 0.3865463046957983, 0.41463413820282813, 0.4659947434080751, 0.5648847219623027, 0.7551709034157374]",0.0
50,1.0,"[0.29439535450604193, 0.2917225133865221, 0.28814391097287334, 0.2830858103608567, 0.27532655015042934, 0.2615856049043513, 0.22070438872510675, 0.09360604182578282, 0.062002097430409, 0.04844667416911578, 0.5061726804784797]",0.24594868033692616
60,1.0,"[0.260658268271272, 0.2524370702091545, 0.2409358854986282, 0.22343658261126853, 0.1921727693998024, 0.11901257289360827, 0.06882650257918463, 0.048316935120152345, 0.03747325773587172, 0.0313237882134898, 0.028247813418110033]",0.0
70,1.0,"[0.23407651584247163, 0.22070205468799753, 0.20125881423144698, 0.1696946106504203, 0.11116873821386927, 0.06441589557459537, 0.04328326058351227, 0.032079805270414874, 0.0255150889428831, 0.021748051967172992, 0.02055198021272688]",0.0
80,1.0,"[0.2125458850192922, 0.19444703915704403, 0.16740628841814076, 0.12224780417709515, 0.07002334358437727, 0.04363200802915206, 0.030455960414784152, 0.023008636141649504, 0.0185214004365166, 0.01593009705168972, 0.015411892077530938]",0.0
90,1.0,"[0.1947255317430091, 0.17235624292992135, 0.13848060181958916, 0.08716750541324887, 0.04966729820301175, 0.031975944769411284, 0.022749307338957157, 0.01740838926040549, 0.014138143376815964, 0.012225516254080143, 0.011949546438893881]",0.0
100,1.0,"[0.17971677007526038, 0.15354488123158244, 0.11385536535672863, 0.0647645355471767, 0.0374564261652986, 0.02459325685260285, 0.017750670452759774, 0.01372997323326767, 0.011234061119617776, 0.009750827061994882, 0.009561690032136926]",0.0
10,2.0,"[0.7114598555937895, 0.7251613934645998, 0.7401838338978555, 0.756704081557347, 0.7749259653034619, 0.7950828790890265, 0.8174388358521008, 0.8422858444859387, 0.8699337388231649, 0.9006856958748233, 0.9347887227123531]",0.0
20,2.0,"[0.5596213507581559, 0.5695020911022337, 0.5810934027265844, 0.5948423894332927, 0.6113510414695186, 0.6314412067507142, 0.6562492882804059, 0.6873618083091567, 0.7269976401259992, 0.7782032189638018, 0.8448458650285238]",0.0
30,2.0,"[0.4654895962134483, 0.467915273789667, 0.4709471207359366, 0.4748377715530942, 0.4799969476191066, 0.487128434837728, 0.49752636174713855, 0.5137596312170792, 0.5412968183027997, 0.5919033379015267, 0.6871099228359745]",0.0
40,2.0,"[0.4003981903440512, 0.3943794287428062, 0.38631853178576214, 0.37484906882860547, 0.35679985797214414, 0.3212838839947389, 0.0908516600174935, 0.054662820010412894, 0.04096289847098593, 0.03314981947849658, 0.028247813418110033]",0.0
50,2.0,"[0.3522451414953136, 0.3374851451357623, 0.3160913678496969, 0.28048574777950663, 0.17551576006714792, 0.0656932253208497, 0.04213240184470702, 0.03069347552217124, 0.024037649296885212, 0.019991803563202157, 0.01772421272361084]",0.0
60,2.0,"[0.3149626828824773, 0.2914084485960185, 0.25403237497152437, 0.17164099569730018, 0.0659170618577363, 0.03866723470307021, 0.02646013776121483, 0.019727430722441867, 0.015680143114688707, 0.013211847753312314, 0.011949546438893881]",0.0
70,2.0,"[0.2851312574000949, 0.25285344665043086, 0.1964447932483271, 0.08546038497591432, 0.04185519809182961, 0.02606801067970864, 0.018259384381627462, 0.013832431235206789, 0.01112921865257951, 0.009463645379216684, 0.00864406764242454]",0.0
80,2.0,"[0.260658268271272, 0.21983658761896244, 0.14217850177779195, 0.0554160881155657, 0.029520492781419654, 0.018899571362454747, 0.013484597597247183, 0.010360294569042508, 0.008423016546646726, 0.007212122650052673, 0.00661896637498328]",0.0
90,2.0,"[0.24018267746840755, 0.19113871052866185, 0.09859071020292694, 0.03994625236922394, 0.02209436055310658, 0.014454067362607733, 0.010481233952169001, 0.008151626702039462, 0.006685446603770938, 0.005755114353640951, 0.005293556231114314]",0.0
100,2.0,"[0.2227767227167381, 0.16601705787253648, 0.07153448490543847, 0.03040748101032681, 0.017274299715931172, 0.01151635105574199, 0.008469478623732847, 0.006655591367008213, 0.00549821119871426, 0.004753260399697491, 0.004376134673901372]",0.0
10,4.0,"[0.7466750375277628, 0.7542255625534136, 0.7625780747639367, 0.7718547479460407, 0.7822005487592509, 0.7937875867491455, 0.8068198692546821, 0.8215380052422598, 0.8382228235422897, 0.8571957963775435, 0.8788122764797739]",0.0
20,4.0,"[0.6014828868412685, 0.600814669139723, 0.600003343226876, 0.598997021946592, 0.5977149995008906, 0.5960242068431024, 0.5936875607373887, 0.5902339750353585, 0.5845555141682759, 0.5730882408593749, 0.5061726804784797]",0.0
30,4.0,"[0.5077440697784784, 0.4943976966516729, 0.4763897329734831, 0.4500951352836051, 0.4047180092682188, 0.08168363540945356, 0.04672877416441365, 0.03360341444135935, 0.025930658510691547, 0.02100405493719209, 0.01772421272361084]",0.0
