MidPoint,Slope,resultList,LinerType
10,0.25,"[0.496658901337244, 0.5266951589623443, 0.5615464932537725, 0.6018989639347165, 0.6481781942860568, 0.7001599310347628, 0.7565362054977571, 0.8148279381327769, 0.8720031122406594, 0.9254851413500093, 0.9737718445975588]",0.0
20,0.25,"[0.3069665382387437, 0.32367592063262624, 0.3448201457339687, 0.3720712736312373, 0.40790394737226127, 0.45600705593081114, 0.5216532481984579, 0.6107217624354373, 0.723073188480052, 0.8418438346344002, 0.9444035257737016]",0.0
30,0.25,"[0.22509507833952563, 0.2316853094195171, 0.24081827934020003, 0.2539571617758064, 0.2736157760951333, 0.3041404096888494, 0.3530115126384206, 0.433080425176021, 0.563996350845671, 0.7461980467444932, 0.911044533523653]",0.0
40,0.25,"[0.17865447216725383, 0.17660769211724925, 0.17356420886709864, 0.16779122656652068, 0.012894611632316082, 0.010628044658135202, 0.011063820538190966, 0.014234786527733195, 0.3879875487023573, 0.6320278970335798, 0.872385904379804]",0.16802642750911861
50,0.25,"[0.14844355628575462, 0.13772797178744117, 0.016315035034671226, 0.006006980514375493, 0.004462741443941432, 0.004069846385759663, 0.004310905700304187, 0.005394055428660485, 0.008805303842175654, 0.4632496930175262, 0.8262130138984521]",0.14437370989999496
60,0.25,"[0.1270900152470271, 0.10374637038671795, 0.005038985409843566, 0.002970590677059811, 0.002374670994629339, 0.002217386323108854, 0.0023445176663475036, 0.0028584423251790084, 0.004395577624627062, 0.01176352885171169, 0.7681691348056753]",0.12487262892391823
70,0.25,"[0.11109221345067641, 0.014241043549098553, 0.002806407063486594, 0.0018246068422772632, 0.0015050255133854497, 0.001419818513504575, 0.0014971589603178456, 0.0017950201976568323, 0.0026488998584151893, 0.006544683195743761, 0.6868146448259457]",0.10967239493717183
80,0.25,"[0.09854950403824432, 0.005196650746972955, 0.0018362302672029441, 0.0012529584904095836, 0.0010513763870473951, 0.000997359690179404, 0.0010494193024920722, 0.0012444795678744317, 0.0017868646079037794, 0.004119777234729089, 0.4526354541424951]",0.09755214434806492
90,0.25,"[0.08834048652243155, 0.003196458919458412, 0.0013124282851784946, 0.0009215088254468192, 0.0007815019290780454, 0.0007438695195681893, 0.0007814480884119437, 0.0009197984889272677, 0.0012961290614205432, 0.002837066664311849, 0.11716145144130237]",0.08759661700286336
100,0.25,"[0.07977082170481123, 0.0022263457525656294, 0.000992616233693021, 0.0007100630405568292, 0.000606472239188486, 0.0005785728381072498, 0.0006070861137805762, 0.0007107952774929323, 0.0009883606704855592, 0.00208168870662571, 0.09470711661829793]",0.07919224886670398
