MidPoint,Slope,resultList,LinerType
10,0.25,"[0.8788122764797739, 0.8902114373408564, 0.9010805559208683, 0.9114705280448292, 0.9214246080548327, 0.93097993067699, 0.9401686636547691, 0.9490188950977511, 0.9575553265816904, 0.9657998215918652, 0.9737718445975588]",0.0
20,0.25,"[0.5061726804784797, 0.6635807789755784, 0.7234513410662851, 0.7674045567806029, 0.8031486844318404, 0.8336521519619813, 0.8604337948116199, 0.8843951002401854, 0.906123446510571, 0.9260270740548295, 0.9444035257737016]",0.0
30,0.25,"[0.01772421272361084, 0.02152081609688307, 0.026521533396030545, 0.03322951763099397, 0.04279406921158352, 0.6458870768434737, 0.7359318150747585, 0.7948311628428233, 0.8405462900643277, 0.8784549174124804, 0.911044533523653]",0.0
40,0.25,"[0.009561690032136926, 0.011576580911688188, 0.014343775851900253, 0.018239326948649597, 0.023856774479144735, 0.03219362492352067, 0.045468081696516144, 0.6260578601197152, 0.7474358544621171, 0.8188480752917557, 0.872385904379804]",0.0
50,0.25,"[0.006117792969240462, 0.007305989758928787, 0.008941528690680583, 0.011274983503939788, 0.014739496449947343, 0.020105027261933032, 0.028791051677015074, 0.04387627818676992, 0.4259206646715375, 0.7368090500487814, 0.8262130138984521]",0.0
60,0.25,"[0.004376134673901372, 0.005161047380390068, 0.00623137342371379, 0.007749332458425823, 0.010005934600518449, 0.013552338934609972, 0.019487793664919813, 0.03012445047046838, 0.0512573893712038, 0.5756983132750795, 0.7681691348056753]",0.0
70,0.25,"[0.0033636070936664585, 0.003928000927532861, 0.004689317043444413, 0.005757719703359664, 0.007332515461984169, 0.009800186612583342, 0.013970188328500801, 0.021673931658412564, 0.03739529153219938, 0.07566829387112708, 0.6868146448259457]",0.0
80,0.25,"[0.0027138400507380617, 0.0031451008186014176, 0.003721136539177176, 0.0045210273559285, 0.0056875153761744585, 0.007498739431567246, 0.010548778904508513, 0.016246769347097588, 0.028296149618227923, 0.05750215213013098, 0.4526354541424951]",0.0
90,0.25,"[0.0022661192167417366, 0.0026105595846381228, 0.003066770421762636, 0.0036943158366000784, 0.0046000605456986724, 0.005991623085930549, 0.008314555511506432, 0.01264974535358559, 0.022006996178418087, 0.04566974036357484, 0.11716145144130237]",0.0
100,0.25,"[0.0019408767275594337, 0.002225224743255459, 0.002599172976954536, 0.003109378430017473, 0.0038389541735885644, 0.00494841143029157, 0.006781440361968943, 0.010178591368981417, 0.017563549279053726, 0.037050672240583934, 0.09470711661829793]",0.0
10,0.5,"[0.9347887227123531, 0.9383458178529257, 0.9418503883843085, 0.9453040272836056, 0.9487082490722767, 0.9520644951577445, 0.9553741387152309, 0.9586384891573209, 0.9618587962330555, 0.9650362537934432, 0.9681720032560035]",0.0
20,0.5,"[0.8448458650285238, 0.8551628477094264, 0.865023210894829, 0.8744705658676238, 0.8835419846163626, 0.8922692991740917, 0.9006800865470648, 0.9087984275134197, 0.9166454996922165, 0.924240047094495, 0.9315987562208355]",0.0
30,0.5,"[0.6871099228359745, 0.7201680699615379, 0.7476729157343951, 0.771530376174686, 0.7927550377353334, 0.8119631867569347, 0.8295624474818879, 0.8458390764782941, 0.861003264639972, 0.8752147731654536, 0.8885984273399055]",0.0
40,0.5,"[0.028247813418507184, 0.032957882178580936, 0.03900023429227501, 0.047777106061025205, 0.6156849178863327, 0.6797385636200486, 0.7235280205566511, 0.7583086206242547, 0.7876732482435498, 0.8133193304759448, 0.8362084970569076]",0.0
50,0.5,"[0.01772421272361084, 0.020870822908241077, 0.02488576241778386, 0.03010225175103319, 0.03707431213702515, 0.04686623866055615, 0.061949886840002265, 0.5808227929431767, 0.6723428841216169, 0.7267265240031783, 0.7681691348056753]",0.0
60,0.5,"[0.011949546438893881, 0.014072557996473578, 0.016830247703450707, 0.020479492624498965, 0.025410217879342816, 0.03224460256612074, 0.04206690279329731, 0.057033203215297305, 0.0821456444315379, 0.5314362278336386, 0.6649454352126598]",0.0
70,0.5,"[0.00864406764242454, 0.010127908005614793, 0.012068186517539497, 0.014664535269482791, 0.01822848076424229, 0.023259080527550106, 0.030580353494881907, 0.04160914627369445, 0.058919619207170815, 0.0875158687627215, 0.14027220743503985]",0.0
80,0.5,"[0.00661896637498328, 0.007705825986700468, 0.009126290135126986, 0.011031658638540111, 0.013664669921643962, 0.01742768132382214, 0.023007663296718498, 0.031598846052127844, 0.04524810226272152, 0.06718614140400188, 0.10228369481250124]",0.0
90,0.5,"[0.005293556231114314, 0.006125126334423759, 0.0072080685886503565, 0.008657610047861392, 0.010661508984227045, 0.013538611943294218, 0.017853118572638278, 0.024634510880148768, 0.035741201994527724, 0.0540926614906413, 0.08284715466581441]",0.0
100,0.5,"[0.004376134673901372, 0.005036130494378747, 0.0058916847525885135, 0.007032241479932861, 0.00860458791040743, 0.010861379715372177, 0.014260498163532963, 0.01967240621185317, 0.02877969977280743, 0.04449817296868732, 0.06987127597270636]",0.0
10,1.0,"[0.9585334237998608, 0.9583380126311378, 0.9581424973549606, 0.9579468779412261, 0.9577511543600343, 0.9575553265816904, 0.9573593945767047, 0.9571633583157956, 0.9569672177698881, 0.9567709729101186, 0.9565746237078314]",0.0
20,1.0,"[0.9084433744688263, 0.9079804417700812, 0.9075169826141439, 0.9070529970069957, 0.9065884849641132, 0.906123446510571, 0.9056578816811509, 0.9051917905204446, 0.9047251730829627, 0.9042580294332435, 0.9037903596459584]",0.0
30,1.0,"[0.8448458650285238, 0.8439890353876964, 0.8431306587818008, 0.842270739411423, 0.8414092816535029, 0.8405462900643277, 0.8396817693825513, 0.8388157245322478, 0.8379481606259821, 0.837079082967911, 0.8362084970569076]",0.0
40,1.0,"[0.7551709034157374, 0.7536307554242087, 0.7520870919967604, 0.7505399958814521, 0.7489895533880064, 0.7474358544621171, 0.7458789927582371, 0.7443190657105913, 0.7427561746021059, 0.7411904246309586, 0.7396219249744318]",0.0
50,1.0,"[0.5061726804784797, 0.49151332983451723, 0.47424728956195905, 0.45531493244626775, 0.43775458207101203, 0.4259206646715375, 0.42254127855843937, 0.4267467911726383, 0.43518717278148106, 0.44447836106184696, 0.4526354541424951]",0.03009417558405575
60,1.0,"[0.028247813418507184, 0.031305951993070846, 0.03496915578945587, 0.03939070678800854, 0.044753852647506184, 0.0512573893712038, 0.059075148216127686, 0.06828238458512251, 0.07877368030579218, 0.09024366856358206, 0.10228369481250124]",0.0
70,1.0,"[0.02055198021272688, 0.02277496384116065, 0.025439762812771056, 0.028662853833201652, 0.03259025070800396, 0.03739529153219938, 0.0432608036823673, 0.05033148963331231, 0.058631313831153185, 0.0679842346171163, 0.07803045804949815]",0.0
80,1.0,"[0.015411892077530938, 0.017084795781362974, 0.019098441554983546, 0.021548681253855624, 0.024561141772132866, 0.028296149618227923, 0.03294572872326524, 0.038708675598694536, 0.04572325069744941, 0.05395516329948661, 0.06311472554781017]",0.0
90,1.0,"[0.011949546438893881, 0.013239384570024831, 0.014796229068449674, 0.016699025876893106, 0.019054723121556257, 0.022006996178418087, 0.025743010848261073, 0.030488271367311744, 0.0364668975363593, 0.04379649452809636, 0.052331912497145305]",0.0
100,1.0,"[0.009561690032136926, 0.010581097686481793, 0.011812782333740715, 0.013321485171299273, 0.015196867568141974, 0.017563549279053726, 0.020592960206846655, 0.0245116984627846, 0.02958903581139611, 0.03606471036941793, 0.04397716556760949]",0.0
10,2.0,"[0.9695852491461602, 0.9660369473949152, 0.9624372958646366, 0.9587848212146528, 0.955077980335833, 0.9513151556303876, 0.9474946498735829, 0.943614680611311, 0.9396733740413641, 0.9356687583192026, 0.9315987562208355]",0.0
20,2.0,"[0.9347887227123531, 0.9265319805214859, 0.9179907410957868, 0.909144144593514, 0.8999687008139521, 0.8904377998435639, 0.8805210993294375, 0.8701837482050261, 0.8593853902923011, 0.8480788665736751, 0.8362084970569076]",0.0
30,2.0,"[0.8940929143471329, 0.879242110626883, 0.8634194861529826, 0.8464752841143625, 0.8282172720784546, 0.8083916988147006, 0.786651668771289, 0.7625010201038451, 0.7351856512457068, 0.7034560577542782, 0.6649454352126598]",0.0
40,2.0,"[0.8448458650285238, 0.8198499184325608, 0.7917422154384832, 0.7594325025743963, 0.7209943481533058, 0.6723428841216169, 0.6006238305275524, 0.12101597236027321, 0.11259758690162817, 0.10671036137074137, 0.10228369481250124]",0.0
50,2.0,"[0.7815064510891558, 0.7374563948791713, 0.6797385636200486, 0.5834284052777853, 0.07639052740264449, 0.0747111591644587, 0.07338249752092285, 0.07227677459800298, 0.07134458192909687, 0.0705514295409923, 0.06987127597270636]",0.0
60,2.0,"[0.6871099228359745, 0.5570573646536078, 0.05105782269045152, 0.05122394569934007, 0.051309980756565544, 0.05138836252249429, 0.05149663790354251, 0.0516474393017748, 0.05184101264113645, 0.052071798748206666, 0.052331912497145305]",0.0012740898066937872
70,2.0,"[0.03657347882793952, 0.03697601717168549, 0.037172601718550226, 0.037332803135844896, 0.03754424845272629, 0.03783835275184071, 0.03822129182477043, 0.038687502496977826, 0.03922596805256325, 0.039823345933290046, 0.04046563913617086]",0.0
80,2.0,"[0.028247813418507184, 0.028191247690633043, 0.02816346104254635, 0.028241971485778474, 0.028447570118948093, 0.02877969977280743, 0.029229562922994407, 0.029785204549138317, 0.030433465928527283, 0.031160701795110365, 0.031953050478556615]",8.435237596083472e-05
