MidPoint,Slope,resultList,LinerType
10,0.25,"[0.872385904379804, 0.8846466109338923, 0.8963133300525544, 0.9074444261597333, 0.9180893678182146, 0.9282905196079201, 0.938084495313412, 0.9475031968498174, 0.9565746237078318, 0.9653235119425326, 0.9737718445975588]",0.0
20,0.25,"[0.4526354541424951, 0.6394979606539507, 0.706170764537763, 0.7543983380409326, 0.7932637852639165, 0.8262130138984518, 0.8549918555997498, 0.8806288880908029, 0.9037903596459588, 0.924937079748066, 0.9444035257737016]",0.0
30,0.25,"[0.06987127597270636, 0.07918047425080216, 0.0913941782805702, 0.1090604749011014, 0.14027220743729818, 0.6248498184160477, 0.723638743989813, 0.7872605297729408, 0.8362084970569076, 0.8765428416459466, 0.911044533523653]",0.0
40,0.25,"[0.04397716556760949, 0.05005317496616406, 0.0573495825735859, 0.06634859165593193, 0.0780304580496606, 0.09470711661789422, 0.12357839331895075, 0.6083579096103503, 0.7396219249744318, 0.8157595502495997, 0.872385904379804]",0.0
50,0.25,"[0.029665085171195867, 0.03416138084049808, 0.03964665539999599, 0.04638092984808921, 0.05475843693570659, 0.0655149438616582, 0.08036513673424005, 0.10442097977534129, 0.45263545428721763, 0.7317963329063151, 0.8262130138984521]",0.0
60,0.25,"[0.02114620135962939, 0.02446076062725047, 0.028607091361729495, 0.03383328787488212, 0.04046563913281851, 0.048964826650432516, 0.06012624448918365, 0.07582666204319102, 0.1022836948117469, 0.5658906141599671, 0.7681691348056753]",0.0
70,0.25,"[0.015867862246810457, 0.01834019516819319, 0.021479761319107504, 0.02551966858368848, 0.030779283037251852, 0.03769407120983882, 0.04688271471372233, 0.0594133561188871, 0.07803045804877495, 0.1142838502926781, 0.6868146448259457]",0.0
80,0.25,"[0.01243480588437355, 0.01432583654646309, 0.01674296237060407, 0.01988848716883291, 0.02405533024737549, 0.029665085166892056, 0.037319143887887506, 0.0479084603479676, 0.0631147255459135, 0.08833558079148837, 0.4526354541424951]",0.0
90,0.25,"[0.010090993357436863, 0.011578685223791598, 0.013483171495099255, 0.015973159094448183, 0.019302582448323214, 0.023856352672391702, 0.030214953021353665, 0.0392454695049575, 0.052331912494247255, 0.07273648910420379, 0.11716145144130237]",0.0
100,0.25,"[0.008419974215042432, 0.009621682548134721, 0.011158329348839017, 0.013168931101600886, 0.015867862244535586, 0.019592123912257363, 0.024876401899290985, 0.03256338231864686, 0.04397716556314371, 0.06159210609889362, 0.09470711661829793]",0.0
10,0.5,"[0.9315987562208355, 0.9355107033073167, 0.9393613568787237, 0.9431526399286672, 0.9468863785334267, 0.9505643085748581, 0.9541880818752775, 0.9577592718059358, 0.9612793784232181, 0.9647498331802491, 0.9681720032560035]",0.0
20,0.5,"[0.8362084970569076, 0.8476588653037952, 0.8585743434601734, 0.8690074840401334, 0.8790028086110929, 0.8885984273399055, 0.8978272618134662, 0.906717983702356, 0.9152957459562485, 0.9235827599152566, 0.9315987562208355]",0.0
30,0.5,"[0.6649454352126598, 0.7024665360938024, 0.7333869284536488, 0.7600179566999746, 0.7835768005120212, 0.8047969397492769, 0.8241604696801071, 0.8420041955936336, 0.8585743434601734, 0.8740573571194409, 0.8885984273399055]",0.0
40,0.5,"[0.10228369481272163, 0.11373119168176288, 0.1295091880925798, 0.15436945281869077, 0.5933252842034111, 0.6649454352126605, 0.7133583397385749, 0.751529091880129, 0.7835768005120208, 0.8114387842000836, 0.8362084970569076]",0.0
50,0.5,"[0.06987127597270636, 0.07582666204380778, 0.08284715466536861, 0.09139417828073892, 0.10228369481230716, 0.11716145144110668, 0.14027220743740879, 0.565890614159967, 0.6649454352126605, 0.7236387439898133, 0.7681691348056753]",0.0
60,0.5,"[0.052331912497145305, 0.056817248870051254, 0.06189195540749294, 0.06772016686660666, 0.07456132534488083, 0.08284715466471654, 0.09334883430615126, 0.1076131454135573, 0.12950918809246006, 0.5255526227757036, 0.6649454352126598]",0.0
70,0.5,"[0.04046563913617086, 0.04416324520519574, 0.04832725878877388, 0.053043653262423725, 0.058436650702307275, 0.0646985392348517, 0.07214653490976858, 0.08133924357354942, 0.09334883430684571, 0.11056005448215904, 0.14027220743503985]",0.0
80,0.5,"[0.031953050478556615, 0.03503505458829945, 0.038536933796587944, 0.04252555288880258, 0.04708547570327974, 0.052331912492775676, 0.058436650703207686, 0.06568027092026467, 0.07456132534497747, 0.08604793256870229, 0.10228369481250124]",0.0
90,0.5,"[0.02573952725285205, 0.02830017424711691, 0.031241446243226587, 0.0346280731605363, 0.03853693379568978, 0.04306230480973269, 0.04832725878593073, 0.05450868243368553, 0.06189195540739405, 0.07099248883003716, 0.08284715466581441]",0.0
100,0.5,"[0.02114620135962939, 0.02327394405981446, 0.025739527247613313, 0.02860709136359453, 0.03195305047884236, 0.03586877611989956, 0.040465639133131705, 0.04588633890922695, 0.052331912494203596, 0.06012624449041924, 0.06987127597270636]",0.0
10,1.0,"[0.9565746237078314, 0.9565746237078314, 0.9565746237078314, 0.9565746237078318, 0.9565746237078314, 0.9565746237078318, 0.9565746237078318, 0.9565746237078318, 0.9565746237078314, 0.9565746237078318, 0.9565746237078314]",-3.3306690738754696e-16
20,1.0,"[0.9037903596459584, 0.9037903596459584, 0.9037903596459584, 0.9037903596459584, 0.9037903596459584, 0.9037903596459588, 0.9037903596459588, 0.9037903596459584, 0.9037903596459588, 0.9037903596459584, 0.9037903596459584]",-3.3306690738754696e-16
30,1.0,"[0.8362084970569076, 0.8362084970569076, 0.8362084970569076, 0.8362084970569076, 0.8362084970569076, 0.8362084970569076, 0.8362084970569076, 0.8362084970569076, 0.8362084970569076, 0.8362084970569076, 0.8362084970569076]",0.0
40,1.0,"[0.7396219249744318, 0.7396219249744318, 0.7396219249744321, 0.7396219249744318, 0.7396219249744321, 0.7396219249744318, 0.7396219249744321, 0.7396219249744324, 0.7396219249744321, 0.7396219249744321, 0.7396219249744318]",-5.551115123125783e-16
50,1.0,"[0.4526354541424951, 0.452635454179993, 0.452635454236867, 0.4526354542507306, 0.4526354542695957, 0.45263545428721763, 0.4526354542882864, 0.45263545430589947, 0.4526354542462754, 0.45263545421311147, 0.4526354541424951]",-1.634043456100187e-10
60,1.0,"[0.10228369481272163, 0.10228369481228275, 0.10228369481234761, 0.10228369481223877, 0.10228369481176938, 0.1022836948117469, 0.10228369481186617, 0.10228369481216268, 0.10228369481235162, 0.10228369481238758, 0.10228369481250124]",7.543410340815626e-13
70,1.0,"[0.0780304580499921, 0.0780304580495972, 0.0780304580496126, 0.0780304580494821, 0.07803045804862951, 0.07803045804877495, 0.07803045804902443, 0.07803045804942318, 0.07803045804937277, 0.07803045804954502, 0.07803045804949815]",8.686384944667225e-13
80,1.0,"[0.06311472554781017, 0.06311472554772717, 0.06311472554715616, 0.06311472554723034, 0.06311472554526465, 0.0631147255459135, 0.06311472554603181, 0.06311472554773696, 0.06311472554645722, 0.06311472554682178, 0.06311472554781017]",2.545519350860559e-12
