MidPoint,Slope,resultList,LinerType
10,0.25,"[0.4413511844801566, 0.4625902795217654, 0.4868497919591364, 0.5148393216034219, 0.5475140247405271, 0.586192066588102, 0.6327439664802018, 0.6899007862580534, 0.7617303660118783, 0.8541408502132484, 0.9737718445975588]",0.0
20,0.25,"[0.29439535450604193, 0.3098100038235956, 0.32807144747984124, 0.3500665019830655, 0.377086459618537, 0.4110842818618072, 0.4551585864713728, 0.5145451192800228, 0.5988803128713018, 0.7279966797860314, 0.9444035257737016]",0.0
30,0.25,"[0.22277672271673793, 0.2335220816861387, 0.2464473836943957, 0.2623404425524846, 0.28241892923416, 0.3086584629238515, 0.34445889029907084, 0.3961218283816921, 0.4765741070572945, 0.6169065595122253, 0.911044533523653]",0.0
40,0.25,"[0.17971677007526568, 0.18716478262881417, 0.19613432496489847, 0.2072089250081373, 0.2213276381708505, 0.24010377704708682, 0.26654628981752937, 0.30687687604986996, 0.3757110147336698, 0.5135532505504228, 0.872385904379804]",0.0
50,0.25,"[0.1507968519463012, 0.15594714000597923, 0.16209895125203552, 0.16963050599131232, 0.1791558562129889, 0.19175203159168008, 0.20951667823452705, 0.23718416547419663, 0.2879547335474648, 0.4098130068547591, 0.8262130138984521]",0.0
60,0.25,"[0.12995269860068892, 0.13349603202498372, 0.13767175734812653, 0.14270186201452367, 0.14893926363173832, 0.1569896708868368, 0.1680105265582556, 0.184602909652845, 0.21445804055566262, 0.29687493690405337, 0.7681691348056753]",0.0
70,0.25,"[0.11414152215501856, 0.11654829723914348, 0.11934111549266348, 0.12264089185432456, 0.12663210536610817, 0.13161536882878738, 0.1381274108433391, 0.14726659631800512, 0.16186205710169604, 0.19401669822030557, 0.6868146448259457]",0.0
80,0.25,"[0.10165033010430173, 0.10323682932572303, 0.10505023488295394, 0.10715243046396979, 0.1096331648619618, 0.11262941857781142, 0.11636505468011193, 0.1212431064063267, 0.12810599576873613, 0.1392576718845228, 0.4526354541424951]",0.0
90,0.25,"[0.09143969528959425, 0.0924161384142622, 0.09351745835292892, 0.09477318712743425, 0.09622409846400001, 0.09792863958558624, 0.09997472948295255, 0.10250342199107128, 0.105762581882796, 0.11025252499839147, 0.11716145144130237]",0.0
100,0.25,"[0.08284976954621806, 0.08335591692740522, 0.08392087461763793, 0.08455727419570241, 0.08528212679290292, 0.08611913170987678, 0.08710282209549147, 0.08828681937286736, 0.08976313732284039, 0.09172220855051914, 0.09470711661829793]",0.0
10,0.5,"[0.5596213507581557, 0.5803240047654286, 0.6034919924422717, 0.6295901460009582, 0.659204866926505, 0.6930826655563622, 0.7321787393790374, 0.7777090855577863, 0.8311743871664511, 0.8942438479799355, 0.9681720032560035]",0.0
20,0.5,"[0.40039819034405105, 0.4170478915900563, 0.4365351064204962, 0.45963782212301013, 0.487438514289399, 0.5214863187085826, 0.5640741267941043, 0.6187343094407649, 0.6911545804174508, 0.7907651024173518, 0.9315987562208355]",0.0
30,0.5,"[0.3149626828824773, 0.32663972205718683, 0.34068881616904956, 0.35791258903738277, 0.3795078061073739, 0.4073270476470011, 0.4443677358836663, 0.4957487591111003, 0.5708439844841692, 0.6884816089018942, 0.8885984273399055]",0.0
40,0.5,"[0.2606582682712718, 0.26805646456544197, 0.27709683734892415, 0.28841320344412685, 0.30301255481802064, 0.32258631377623953, 0.3501698782682354, 0.3916446838642609, 0.4594146105849246, 0.5822819151882354, 0.8362084970569076]",0.0
50,0.5,"[0.22277672271673793, 0.22672931734694493, 0.2315802380587153, 0.23769272270257197, 0.24566432683300904, 0.25655629788801404, 0.27245673309294854, 0.2980929827202055, 0.34636219502843935, 0.4591022906641058, 0.7681691348056753]",0.0
60,0.5,"[0.19472553174300866, 0.1959794930144846, 0.1975098274048309, 0.19942276430028158, 0.20188928797686073, 0.20520567683396454, 0.20994127556608175, 0.21737654649361832, 0.2313007800232299, 0.2732189855321624, 0.6649454352126598]",0.0
70,0.5,"[0.17306315674920017, 0.17223923699839427, 0.17124732710572474, 0.17003259805444623, 0.16851511397593402, 0.1665752533287816, 0.16402985211052856, 0.16059549473304396, 0.15584593712050665, 0.1492285710499853, 0.14027220743503985]",0.0
