MidPoint,Slope,resultList,LinerType
10,0.25,"[0.49665890133724433, 0.4807311743838267, 0.4730537005058426, 0.4751798448426696, 0.48862073648339466, 0.514792245607286, 0.5539166347303445, 0.602892146203616, 0.6550501842419194, 0.7039951736522075, 0.7466750375277628]",0.023605200831401718
20,0.25,"[0.3069665382387437, 0.25005121299965233, 0.2154970546090245, 0.19731186753015217, 0.19099108180040916, 0.19522687527107108, 0.21219561498975928, 0.25029407091420414, 0.33271443122524824, 0.47519727279515966, 0.6014828868412685]",0.11597545643833454
30,0.25,"[0.22509507833952563, 0.15289628900928462, 0.11975103400878892, 0.10401975656316911, 0.09743773848205167, 0.09745108527072616, 0.10421681289685597, 0.12102425156493822, 0.16049309437961282, 0.28369470046406275, 0.5077440697784784]",0.12765733985747396
40,0.25,"[0.17865447216725383, 0.10261409421291254, 0.07416673365033825, 0.06079820154478616, 0.05488236609785281, 0.05414844863182197, 0.058384840306361874, 0.06931391810054642, 0.09321559399853392, 0.16604865270796143, 0.4413511844801564]",0.12450602353543186
50,0.25,"[0.14844355628575462, 0.07189451420478825, 0.04607634230096281, 0.034815923124216906, 0.030150741747378643, 0.029365492130784262, 0.03205492530539892, 0.039759844262255324, 0.057758674027980066, 0.10754580335541525, 0.3914082034081291]",0.11907806415497035
60,0.25,"[0.1270900152470271, 0.05018034537084329, 0.02816184579383404, 0.020203398228675538, 0.017171522743675362, 0.016600289260057147, 0.018108914175320047, 0.022788659772498113, 0.03518165837329898, 0.07408388312423811, 0.3522451414953137]",0.11048972598696995
70,0.25,"[0.11109221345067641, 0.03453725086956604, 0.017768543449709077, 0.012566144359535757, 0.010657012638498843, 0.010271378502353413, 0.011133668845908851, 0.01390705686899404, 0.02169793836897148, 0.05123805542024951, 0.3205875571331054]",0.100820834948323
80,0.25,"[0.09854950403824432, 0.023936891031535467, 0.011884271581576457, 0.008436443230714208, 0.007180648656361048, 0.006913680203110704, 0.007444365768604516, 0.009178453177696791, 0.014105545401285627, 0.03506065939962106, 0.29439535450604193]",0.09163582383513362
90,0.25,"[0.08834048652243155, 0.017043778243808417, 0.00842287749872501, 0.006035316619560355, 0.005161435051889674, 0.004968222350973289, 0.005319985586404338, 0.006478633908336338, 0.009745680073064145, 0.02421127040850277, 0.2723227624184354]",0.08337226417145827
100,0.25,"[0.07977082170481123, 0.012563698489179936, 0.006267182040996109, 0.004535462755811792, 0.0038959420260436836, 0.0037501264172417324, 0.003998103898624602, 0.004818952509220824, 0.007103174858493292, 0.01720062000298018, 0.25344169727486815]",0.0760206952875695
