MidPoint,Slope,resultList,LinerType
10,0.25,"[0.44135118448015676, 0.4591864286395082, 0.4786869098083969, 0.5001173345803932, 0.5238047408501616, 0.5501583899527323, 0.5796976400463382, 0.6130914470146267, 0.6512145775177239, 0.6952264865004361, 0.7466750375277628]",0.0
20,0.25,"[0.2943953545060416, 0.3095419797920459, 0.3264289241621028, 0.3453916906387404, 0.36686230862329056, 0.3914082034081296, 0.4197921068048339, 0.4530678968572254, 0.49274070668695996, 0.5410481711555084, 0.6014828868412685]",0.0
30,0.25,"[0.2227767227167381, 0.23557279754787486, 0.24998659638620713, 0.26635765164366104, 0.2851312574000947, 0.30690460356927995, 0.332500156779294, 0.36308766260189845, 0.40039819034405105, 0.44712547737532093, 0.5077440697784784]",0.0
40,0.25,"[0.17971677007526712, 0.19073796221863568, 0.2032359744725659, 0.21753763918926344, 0.23407651584247147, 0.25344169727486815, 0.27645680212608864, 0.304314073682256, 0.33881579699195663, 0.3828423298589317, 0.4413511844801564]",0.0
50,0.25,"[0.15079685194628403, 0.16046409396235448, 0.17147739030157233, 0.18414701745139178, 0.1988875425781998, 0.2162672275393988, 0.23708897554903602, 0.2625296791830418, 0.29439535450604193, 0.3356264678330041, 0.3914082034081291]",0.0
60,0.25,"[0.12995269860064781, 0.13857005744974046, 0.14841460834347966, 0.15978069472271744, 0.17306315674920722, 0.18880613127144563, 0.20778395148406756, 0.23114205208261737, 0.26065826827127164, 0.2992684463195121, 0.3522451414953137]",0.0
70,0.25,"[0.11414152215465738, 0.12194071423710333, 0.13085705078747759, 0.1411704727017323, 0.1532576517413949, 0.16763936334702245, 0.1850599632097834, 0.20662748522149316, 0.23407651584247113, 0.27030368763850304, 0.3205875571331054]",0.0
80,0.25,"[0.1016503301045732, 0.10881580293926964, 0.11699567234831404, 0.1264559722342538, 0.1375565929261604, 0.15079685194628756, 0.1668926229245305, 0.18691387437137186, 0.2125458850192912, 0.24662774427828357, 0.29439535450604193]",0.0
90,0.25,"[0.09143969529095987, 0.09811960389154523, 0.10571966723307763, 0.11449092904619013, 0.12477648662855827, 0.1370554085788986, 0.1520171847669869, 0.1706955456451505, 0.19472553174300558, 0.2268799243500484, 0.2723227624184354]",0.0
100,0.25,"[0.08284976954621806, 0.08916017831141229, 0.09630789825303929, 0.10452676128770198, 0.11414152215621884, 0.12561069140246878, 0.13959860289303522, 0.157105107056801, 0.17971677007525347, 0.21013721833476962, 0.25344169727486815]",0.0
10,0.5,"[0.5596213507581559, 0.5714743863705845, 0.5839107329070613, 0.5969779604331497, 0.6107290550095693, 0.6252231738261946, 0.6405265083402314, 0.6567132623745386, 0.6738667446345356, 0.6920805600139182, 0.7114598555937895]",0.0
