Slope,MidPoint,result
0.25,10,-0.005213116344593814
0.25,20,0.454415259913384
0.25,30,0.6016132191850821
0.25,40,0.6640399735588522
0.25,50,0.6961102521485578
0.25,60,0.7138476044273647
0.25,70,0.7227128350132018
0.25,80,0.7250482626948138
0.25,90,0.7223814606558966
0.25,100,0.7160960322887368
0.5,10,-0.19749398868295812
0.5,20,0.26864843354339707
0.5,30,0.43981092775514213
0.5,40,0.5122454539145375
0.5,50,0.55014384759071
0.5,60,0.5729689993322511
0.5,70,0.5878276835809463
0.5,80,0.5976434290052578
0.5,90,0.6036838975364233
0.5,100,0.606534576518434
1.0,10,-0.17722531992095686
1.0,20,0.15411079099130623
1.0,30,0.29712577811124025
1.0,40,0.3617950089184196
1.0,50,0.39685427038300736
1.0,60,0.41839024509448197
1.0,70,0.4327186171011387
1.0,80,0.44266290361440386
1.0,90,0.44956946349206395
1.0,100,0.45409174315967044
2.0,10,-0.19749398868295712
2.0,20,0.26864843354339707
2.0,30,0.4398109277551432
2.0,40,0.5122454539145386
2.0,50,0.5501438475906664
2.0,60,0.5729689993325877
2.0,70,0.5878276835805849
2.0,80,0.597643429006552
2.0,90,0.6036838975350255
2.0,100,0.6065345765228106
4.0,10,-0.005213116344586402
4.0,20,0.45441525991338017
4.0,30,0.6016132191851014
4.0,40,0.6640399735587023
4.0,50,0.6961102521489537
4.0,60,0.7138476044258051
4.0,70,0.7227128350114518
4.0,80,0.72504826269672
4.0,90,0.7223814606226364
4.0,100,0.7160960323132267
