Slope,MidPoint,result
0.25,10,-0.96594173286534
0.25,20,-16.881884248870982
0.25,30,-3.5108571205696735
0.25,40,-1.9720551948829788
0.25,50,-1.030213465553167
0.25,60,-0.4327810928413595
0.25,70,-0.013646120944765057
0.25,80,0.4232341885325648
0.25,90,0.7157007736746911
0.25,100,0.7253830310122507
0.5,10,-0.43137013602606733
0.5,20,-1.863060166201709
0.5,30,-8.137231380882183
0.5,40,-2.7187179256962843
0.5,50,-1.635675775587449
0.5,60,-0.7802027212376864
0.5,70,0.44460353234177774
0.5,80,0.4702407923192197
0.5,90,0.49153512343530953
0.5,100,0.5091356245737345
1.0,10,-0.26021899121299613
1.0,20,-0.8427928547014556
1.0,30,-5.229705294675361
1.0,40,-3.0011237688589607
1.0,50,-0.9867467579698554
1.0,60,0.21206025681855234
1.0,70,0.2250228385770827
1.0,80,0.242101927163741
1.0,90,0.259916139295145
1.0,100,0.27691035081268445
2.0,10,-0.43137013602606733
2.0,20,-1.863060166201703
2.0,30,-8.137231380842804
2.0,40,-2.7187179256521112
2.0,50,-1.6356757759546354
2.0,60,-0.7802027209025775
2.0,70,0.4446035322996595
2.0,80,0.47024079225779797
2.0,90,0.4915351234022487
2.0,100,0.5091356245641743
4.0,10,-0.96594173286534
4.0,20,-16.881884248837626
4.0,30,-3.510857120903646
4.0,40,-1.972055194068247
4.0,50,-1.0302134659972366
4.0,60,-0.4327810928873616
4.0,70,-0.013646120515866673
4.0,80,0.4232341886068304
4.0,90,0.7157007735650612
4.0,100,0.7253830310845176
