Slope,MidPoint,result
0.25,10,-1.7974989026058406
0.25,20,-3.0979838542518627
0.25,30,-3.982559970706104
0.25,40,-4.054916557883303
0.25,50,-3.434243957128049
0.25,60,-2.6400436658389412
0.25,70,-1.8476003339087688
0.25,80,-0.7407941374667929
0.25,90,0.2873731740355383
0.25,100,0.29776565825104306
0.5,10,-1.2219508239642287
0.5,20,-2.2288502868469164
0.5,30,-3.381582956607159
0.5,40,-3.6763960798040767
0.5,50,-2.776679722797174
0.5,60,-1.788573523882975
0.5,70,0.3675178952084453
0.5,80,0.3655412751908915
0.5,90,0.3786022653660512
0.5,100,0.4004827160003859
1.0,10,-0.8964567878450157
1.0,20,-1.724616305475913
1.0,30,-3.5294600685941173
1.0,40,-2.5584905949631884
1.0,50,-0.8558345556977728
1.0,60,0.41800326639614144
1.0,70,0.42959560498107335
1.0,80,0.4613684414819117
1.0,90,0.498393504233304
1.0,100,0.5345004012318678
2.0,10,-0.724718044733651
2.0,20,-1.7449515877047
2.0,30,-1.9305247602829896
2.0,40,0.448072317357
2.0,50,0.45929000832609684
2.0,60,0.5162190745261502
2.0,70,0.5742196038182426
2.0,80,0.6237495108103139
2.0,90,0.6643146220253675
2.0,100,0.6973529622752461
4.0,10,-0.6648736156527052
4.0,20,-1.3417627132354224
4.0,30,0.44886329317876733
4.0,40,0.5519500056698845
4.0,50,0.6446502044716945
4.0,60,0.7101132842006506
4.0,70,0.7562405481361463
4.0,80,0.7897448026582944
4.0,90,0.8148932006419687
4.0,100,0.8343342815732626
