Slope,MidPoint,result
0.25,10,-2.1207163308730888
0.25,20,-16.364000179735285
0.25,30,-10.130840539183518
0.25,40,-6.792378867433649
0.25,50,-4.7317433687564625
0.25,60,-3.300543233273694
0.25,70,-2.185186834298692
0.25,80,-0.8231543422246991
0.25,90,-0.13067076100135547
0.25,100,-0.10284795197602879
0.5,10,-1.0239578297567207
0.5,20,-3.635513483687714
0.5,30,-7.876036663660638
0.5,40,-5.070295570365907
0.5,50,-3.297045946804103
0.5,60,-1.9760818843814025
0.5,70,-0.203841037833865
0.5,80,-0.17814006944984342
0.5,90,-0.15839105555641989
0.5,100,-0.142633371852278
1.0,10,-0.5244151319089668
1.0,20,-2.301863737983898
1.0,30,-5.0444520373359385
1.0,40,-2.821566261122594
1.0,50,-0.8210537034998766
1.0,60,-0.356919992977697
1.0,70,-0.304162069679299
1.0,80,-0.2654059906422184
1.0,90,-0.23557736953676026
1.0,100,-0.21183991698278792
2.0,10,-0.3388867113176337
2.0,20,-4.96439884188151
2.0,30,-1.965236745913876
2.0,40,-0.7624595021955363
2.0,50,-0.5884038085292805
2.0,60,-0.48057519912089275
2.0,70,-0.4067923739874164
2.0,80,-0.35295307729818337
2.0,90,-0.3118587089502693
2.0,100,-0.27942974796219344
4.0,10,-0.29808137948609664
4.0,20,-2.4649697028141246
4.0,30,-1.367678115205027
4.0,40,-0.9435790000073897
4.0,50,-0.717568534817845
4.0,60,-0.5791562945603705
4.0,70,-0.4860818889814149
4.0,80,-0.4192675291477474
4.0,90,-0.3689631742894644
4.0,100,-0.3296987041334593
