Slope,MidPoint,result
0.25,10,-0.9592563697619548
0.25,20,-15.842757631742439
0.25,30,-1.6460104992596702
0.25,40,-0.6906570278095276
0.25,50,-0.09987718314041887
0.25,60,0.25950076978799924
0.25,70,0.4986456887032916
0.25,80,0.7334866227405625
0.25,90,0.844556937728777
0.25,100,0.8559990027918375
0.5,10,-0.42910651310408154
0.5,20,-1.8570957653938904
0.5,30,-7.55528437352799
0.5,40,-1.338602223102343
0.5,50,-0.6701874653695986
0.5,60,-0.09787765715255813
0.5,70,0.5998427926532542
0.5,80,0.641469544363349
0.5,90,0.6699458787063797
0.5,100,0.6919617052428445
1.0,10,-0.2719038166002378
1.0,20,-0.8895261958595345
1.0,30,-5.050129575603424
1.0,40,-2.928219427950253
1.0,50,-0.946423585879684
1.0,60,0.3589002819108533
1.0,70,0.38089652743515645
1.0,80,0.4076250675145049
1.0,90,0.435321393480485
1.0,100,0.46155453876152513
2.0,10,-0.4526878152216508
2.0,20,-2.005041982201139
2.0,30,-7.712523057746713
2.0,40,-3.631708108192203
2.0,50,-2.3947564391403073
2.0,60,-1.4367832310874717
2.0,70,0.22027218759979966
2.0,80,0.2302421034056818
2.0,90,0.24427100719226538
2.0,100,0.2610301981636391
4.0,10,-1.0254740106209734
4.0,20,-14.826475611412599
4.0,30,-5.120442286159178
4.0,40,-3.7193118241278396
4.0,50,-2.5990369095254433
4.0,60,-1.7139970678409533
4.0,70,-1.0009888770034938
4.0,80,-0.16980649881781518
4.0,90,0.41255851958092327
4.0,100,0.4249822542900256
