Slope,MidPoint,result
0.25,10,-1.0179512708225154
0.25,20,-13.223296520534667
0.25,30,-2.3636357842224514
0.25,40,-1.5502155211856652
0.25,50,-0.9538639039311598
0.25,60,-0.46208546767213343
0.25,70,-0.05971318854917315
0.25,80,0.41013630597959677
0.25,90,0.6445590715399658
0.25,100,0.6626968359326731
0.5,10,-0.45021893822776055
0.5,20,-1.99422980433318
0.5,30,-6.858125954060105
0.5,40,-1.9816263177667257
0.5,50,-1.0991376438315368
0.5,60,-0.516614303212327
0.5,70,0.3916815008335535
0.5,80,0.4112403401678408
0.5,90,0.424778967172832
0.5,100,0.43792859262692874
1.0,10,-0.2706970592045836
1.0,20,-0.8880059623782288
1.0,30,-4.358529429220522
1.0,40,-2.512838906255022
1.0,50,-0.6494345216143776
1.0,60,0.2340523726623665
1.0,70,0.2497380028499495
1.0,80,0.24960971021320352
1.0,90,0.2485413852870374
1.0,100,0.2497626536890898
2.0,10,-0.45021893822777176
2.0,20,-1.9942298043331859
2.0,30,-6.858125954058606
2.0,40,-1.9816263177915432
2.0,50,-1.0991376438070977
2.0,60,-0.5166143032138375
2.0,70,0.39168150081173225
2.0,80,0.4112403401495575
2.0,90,0.4247789671486237
2.0,100,0.4379285926190282
4.0,10,-1.0179512708224765
4.0,20,-13.223296520521941
4.0,30,-2.3636357842927787
4.0,40,-1.550215521153857
4.0,50,-0.9538639043987936
4.0,60,-0.462085467582214
4.0,70,-0.05971318846861029
4.0,80,0.4101363059358225
4.0,90,0.644559071417668
4.0,100,0.6626968358198554
