Slope,MidPoint,result
0.25,10,-1.6146642855274775
0.25,20,-2.317067101678458
0.25,30,-2.3196933790668193
0.25,40,-1.925185387191037
0.25,50,-1.4680001228760657
0.25,60,-1.056618568631905
0.25,70,-0.6670793040493783
0.25,80,-0.03095769742279933
0.25,90,0.318337060940454
0.25,100,0.29997130453170073
0.5,10,-1.1410190689641455
0.5,20,-1.8411213547061804
0.5,30,-2.12810864749916
0.5,40,-1.8666909325659107
0.5,50,-1.3463724253859544
0.5,60,-0.7756895346877792
0.5,70,0.33298705566933734
0.5,80,0.4054346343751122
0.5,90,0.422680954006969
0.5,100,0.4221022017671583
1.0,10,-0.8506249887786067
1.0,20,-1.4686472016778442
1.0,30,-1.8352391851584815
1.0,40,-1.388452862950483
1.0,50,-0.26989084901109317
1.0,60,0.5414406565240051
1.0,70,0.5731024890592296
1.0,80,0.5678480590281706
1.0,90,0.5564265314500385
1.0,100,0.5483566429412872
2.0,10,-0.6896600828598135
2.0,20,-1.326601705693741
2.0,30,-1.1245175518697894
2.0,40,0.6460777588320715
2.0,50,0.6861365341160635
2.0,60,0.6655447444452053
2.0,70,0.6495110462818839
2.0,80,0.6461266843904522
2.0,90,0.6517561364485687
2.0,100,0.6622225262183569
4.0,10,-0.6232846094609938
4.0,20,-0.8054290031697785
4.0,30,0.7612884758980777
4.0,40,0.7198576407297355
4.0,50,0.7078604892208057
4.0,60,0.720647849108647
4.0,70,0.7410359981923997
4.0,80,0.7616534385983562
4.0,90,0.780195674552809
4.0,100,0.7962347296747021
