Slope,MidPoint,result
0.25,10,-1.3958144621655386
0.25,20,-1.0666652315671739
0.25,30,-0.8816474194515166
0.25,40,-0.7207615249217681
0.25,50,-0.6016269473560583
0.25,60,-0.5150116137962601
0.25,70,-0.4500935190104193
0.25,80,-0.3998049134820287
0.25,90,-0.3597261906664101
0.25,100,-0.32702426659682504
0.5,10,-0.996768469181729
0.5,20,-0.8549831423629901
0.5,30,-0.707908406275459
0.5,40,-0.5954890618174663
0.5,50,-0.5029056306054347
0.5,60,-0.43254911381963457
0.5,70,-0.3788389700344696
0.5,80,-0.3368694209822356
0.5,90,-0.30327456747593845
0.5,100,-0.27580496561940826
1.0,10,-1.1672892871690972
1.0,20,-0.8796117295373771
1.0,30,-0.6313592601054646
1.0,40,-0.5001070445609351
1.0,50,-0.4081166945445266
1.0,60,-0.3430986459559647
1.0,70,-0.29568258771339984
1.0,80,-0.259801591620554
1.0,90,-0.23189506252028777
1.0,100,-0.2107566147171152
2.0,10,-1.669686337875082
2.0,20,-1.334417104423858
2.0,30,-0.9310198761866713
2.0,40,-0.7087978087404143
2.0,50,-0.5649469064433873
2.0,60,-0.46854264379610866
2.0,70,-0.40039528562282944
2.0,80,-0.3498471488592267
2.0,90,-0.3108766780325988
2.0,100,-0.27989945410411005
4.0,10,-2.458419204391292
4.0,20,-1.8343183926950415
4.0,30,-1.2533125110743821
4.0,40,-0.9103433749085537
4.0,50,-0.7076736009022607
4.0,60,-0.5787293075293279
4.0,70,-0.49024525142253894
4.0,80,-0.42583969359282686
4.0,90,-0.3768187839881356
4.0,100,-0.3382040593761675
