Slope,MidPoint,result
0.25,10,0.553303882107123
0.25,20,0.650928202162727
0.25,30,0.6902278709145644
0.25,40,0.7119488773699758
0.25,50,0.7255624092398558
0.25,60,0.7339493280027767
0.25,70,0.737945559118816
0.25,80,0.7378797493922604
0.25,90,0.7341814150484361
0.25,100,0.7275363782215905
0.5,10,0.41704419209736854
0.5,20,0.5154707022964665
0.5,30,0.5558085157263376
0.5,40,0.5781416390994976
0.5,50,0.5924965200369772
0.5,60,0.6025078257311628
0.5,70,0.6097019980939676
0.5,80,0.6146988960023864
0.5,90,0.6176902188633798
0.5,100,0.6186916762476095
1.0,10,0.30228955112206396
1.0,20,0.3841705509260149
1.0,30,0.4179430813658461
1.0,40,0.4363444883052738
1.0,50,0.4479353496389305
1.0,60,0.45589649512824054
1.0,70,0.4616388202208772
1.0,80,0.4658216707529689
1.0,90,0.4687283059009753
1.0,100,0.470443945936552
2.0,10,0.41704419209736754
2.0,20,0.5154707022964671
2.0,30,0.5558085157263366
2.0,40,0.5781416390994922
2.0,50,0.5924965200370373
2.0,60,0.6025078257312639
2.0,70,0.6097019980942673
2.0,80,0.6146988960035752
2.0,90,0.6176902188572488
2.0,100,0.6186916762432721
4.0,10,0.55330388210712
4.0,20,0.6509282021627297
4.0,30,0.6902278709145644
4.0,40,0.711948877370158
4.0,50,0.7255624092403437
4.0,60,0.7339493280035377
4.0,70,0.7379455591222791
4.0,80,0.7378797494170724
4.0,90,0.7341814150187758
4.0,100,0.7275363782255823
