a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,4.22,0.7743326972356632
0.0,8.44,0.5686224951439891
0.0,12.66,0.4408752593263855
0.0,16.88,0.36113352479830796
0.0,21.09,0.3069665382387437
0.0,25.31,0.2676137658439395
0.0,29.53,0.23760459314110452
0.0,33.75,0.21388935693750233
0.0,37.97,0.19463130799995754
0.0,42.19,0.17865447216725383
4.22,0.0,0.7743326972356632
4.22,4.22,0.5686224951439891
4.22,8.44,0.4408752593263855
4.22,12.66,0.3611335247983081
4.22,16.88,0.30696653823874387
4.22,21.09,0.2676137658439395
4.22,25.31,0.2376045931411042
4.22,29.53,0.21388935693750233
4.22,33.75,0.19463130799995865
4.22,37.97,0.17865447216726474
4.22,42.19,0.1651683735463786
8.44,0.0,0.5686224951439891
8.44,4.22,0.4408752593263852
8.44,8.44,0.36113352479830796
8.44,12.66,0.30696653823874404
8.44,16.88,0.26761376584393937
8.44,21.09,0.23760459314110435
8.44,25.31,0.21388935693750233
8.44,29.53,0.19463130799995818
8.44,33.75,0.17865447216726682
8.44,37.97,0.165168373546385
8.44,42.19,0.1536202091529572
12.66,0.0,0.4408752593263855
12.66,4.22,0.36113352479830796
12.66,8.44,0.30696653823874387
12.66,12.66,0.26761376584393937
12.66,16.88,0.23760459314110435
12.66,21.09,0.213889356937502
12.66,25.31,0.1946313079999569
12.66,29.53,0.1786544721672641
12.66,33.75,0.16516837354637715
12.66,37.97,0.1536202091529869
12.66,42.19,0.14361047267510013
16.88,0.0,0.36113352479830796
16.88,4.22,0.30696653823874387
16.88,8.44,0.26761376584393937
16.88,12.66,0.23760459314110452
16.88,16.88,0.21388935693750166
16.88,21.09,0.19463130799995512
16.88,25.31,0.17865447216725977
16.88,29.53,0.165168373546359
16.88,33.75,0.1536202091529792
16.88,37.97,0.14361047267510094
16.88,42.19,0.13484233619888575
21.09,0.0,0.3069665382387437
21.09,4.22,0.2676137658439395
21.09,8.44,0.23760459314110435
21.09,12.66,0.213889356937502
21.09,16.88,0.1946313079999553
21.09,21.09,0.17865447216725913
21.09,25.31,0.1651683735463614
21.09,29.53,0.1536202091529267
21.09,33.75,0.14361047267500127
21.09,37.97,0.13484233619893649
21.09,42.19,0.1270900152474188
25.31,0.0,0.2676137658439395
25.31,4.22,0.23760459314110435
25.31,8.44,0.21388935693750216
25.31,12.66,0.19463130799995657
25.31,16.88,0.17865447216725766
25.31,21.09,0.16516837354636785
25.31,25.31,0.15362020915292798
25.31,29.53,0.1436104726750308
25.31,33.75,0.13484233619887276
25.31,37.97,0.12709001524724686
25.31,42.19,0.12017830745813321
29.53,0.0,0.23760459314110452
29.53,4.22,0.21388935693750233
29.53,8.44,0.19463130799995754
29.53,12.66,0.1786544721672652
29.53,16.88,0.16516837354636832
29.53,21.09,0.1536202091529362
29.53,25.31,0.1436104726749982
29.53,29.53,0.13484233619881272
29.53,33.75,0.12709001524745814
29.53,37.97,0.12017830745805631
29.53,42.19,0.1139689599342912
33.75,0.0,0.21388935693750233
33.75,4.22,0.19463130799995723
33.75,8.44,0.17865447216726812
33.75,12.66,0.1651683735463892
33.75,16.88,0.1536202091529527
33.75,21.09,0.143610472675026
33.75,25.31,0.13484233619884964
33.75,29.53,0.12709001524731894
33.75,33.75,0.12017830745810673
33.75,37.97,0.11396895993426936
33.75,42.19,0.10835134235222106
37.97,0.0,0.19463130799995754
37.97,4.22,0.17865447216726843
37.97,8.44,0.1651683735463914
37.97,12.66,0.1536202091529744
37.97,16.88,0.14361047267506258
37.97,21.09,0.13484233619889827
37.97,25.31,0.12709001524737096
37.97,29.53,0.12017830745798536
37.97,33.75,0.11396895993421366
37.97,37.97,0.10835134235219651
37.97,42.19,0.1032359081909346
42.19,0.0,0.17865447216725383
42.19,4.22,0.1651683735463749
42.19,8.44,0.15362020915297617
42.19,12.66,0.14361047267510865
42.19,16.88,0.13484233619902974
42.19,21.09,0.12709001524755958
42.19,25.31,0.12017830745785259
42.19,29.53,0.11396895993450405
42.19,33.75,0.10835134235241016
42.19,37.97,0.10323590819115565
42.19,42.19,0.09854950404457404
