a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,0.29,0.9565746237078314
0.0,0.59,0.9037903596459584
0.0,0.88,0.8362084970569076
0.0,1.17,0.7396219249744318
0.0,1.47,0.4526354541424951
0.0,1.76,0.10228369481272163
0.0,2.05,0.0780304580499921
0.0,2.34,0.06311472554781017
0.0,2.64,0.052331912497145305
0.0,2.93,0.04397716556760949
0.29,0.0,0.9565746237078314
0.29,0.29,0.9037903596459588
0.29,0.59,0.8362084970569079
0.29,0.88,0.7396219249744321
0.29,1.17,0.452635454236867
0.29,1.47,0.10228369481209831
0.29,1.76,0.0780304580496606
0.29,2.05,0.06311472554618353
0.29,2.34,0.052331912495108185
0.29,2.64,0.0439771655630453
0.29,2.93,0.03731914388812846
0.59,0.0,0.9037903596459584
0.59,0.29,0.8362084970569076
0.59,0.59,0.7396219249744318
0.59,0.88,0.4526354542695957
0.59,1.17,0.10228369481221485
0.59,1.47,0.07803045804952832
0.59,1.76,0.06311472554662
0.59,2.05,0.052331912494721466
0.59,2.34,0.04397716556395969
0.59,2.64,0.03731914388660294
0.59,2.93,0.03195305047776793
0.88,0.0,0.8362084970569076
0.88,0.29,0.7396219249744321
0.88,0.59,0.4526354542882864
0.88,0.88,0.1022836948117469
0.88,1.17,0.07803045804859067
0.88,1.47,0.06311472554723291
0.88,1.76,0.052331912492775676
0.88,2.05,0.04397716556295541
0.88,2.34,0.037319143887887506
0.88,2.64,0.03195305047884236
0.88,2.93,0.027602131600225312
1.17,0.0,0.7396219249744318
1.17,0.29,0.4526354542462754
1.17,0.59,0.1022836948120532
1.17,0.88,0.07803045804854332
1.17,1.17,0.0631147255459135
1.17,1.47,0.052331912494588864
1.17,1.76,0.04397716556263194
1.17,2.05,0.037319143887471415
1.17,2.34,0.03195305047761558
1.17,2.64,0.027602131600997455
1.17,2.93,0.02405533024717756
1.47,0.0,0.4526354541424951
1.47,0.29,0.10228369481243671
1.47,0.59,0.07803045804926907
1.47,0.88,0.06311472554614034
1.47,1.17,0.052331912493585236
1.47,1.47,0.04397716556314371
1.47,1.76,0.0373191438873881
1.47,2.05,0.03195305047820682
1.47,2.34,0.02760213160044058
1.47,2.64,0.02405533024598627
1.47,2.93,0.021146201240226835
1.76,0.0,0.10228369481250124
1.76,0.29,0.0780304580510434
1.76,0.59,0.0631147255475026
1.76,0.88,0.052331912494203596
1.76,1.17,0.04397716556203349
1.76,1.47,0.03731914388826347
1.76,1.76,0.03195305047721426
1.76,2.05,0.02760213159961144
1.76,2.34,0.024055330246091574
1.76,2.64,0.02114620124232737
1.76,2.93,0.018743204473908245
2.05,0.0,0.07803045804949815
2.05,0.29,0.06311472554695438
2.05,0.59,0.05233191249512183
2.05,0.88,0.04397716556231811
2.05,1.17,0.03731914388730077
2.05,1.47,0.03195305047683044
2.05,1.76,0.027602131599566655
2.05,2.05,0.024055330245355545
2.05,2.34,0.021146201242595298
2.05,2.64,0.01874320447367724
2.05,2.93,0.016742962372159442
2.34,0.0,0.06311472554781017
2.34,0.29,0.05233191249511461
2.34,0.59,0.04397716556461577
2.34,0.88,0.03731914388684695
2.34,1.17,0.0319530504767049
2.34,1.47,0.027602131598991473
2.34,1.76,0.024055330246881706
2.34,2.05,0.021146201241394533
2.34,2.34,0.018743204473341574
2.34,2.64,0.01674296237174303
2.34,2.93,0.015064612392885151
2.64,0.0,0.052331912497145305
2.64,0.29,0.043977165562811255
2.64,0.59,0.03731914388899452
2.64,0.88,0.03195305047851022
2.64,1.17,0.02760213159986492
2.64,1.47,0.02405533024458837
2.64,1.76,0.021146201241987368
2.64,2.05,0.018743204473863295
2.64,2.34,0.016742962370055858
2.64,2.64,0.015064612393087259
2.64,2.93,0.013645013460922704
2.93,0.0,0.04397716556760949
2.93,0.29,0.03731914388787081
2.93,0.59,0.03195305047723738
2.93,0.88,0.02760213160254208
2.93,1.17,0.02405533024561945
2.93,1.47,0.021146201242882808
2.93,1.76,0.018743204474127046
2.93,2.05,0.016742962371508494
2.93,2.34,0.015064612393513626
2.93,2.64,0.013645013460650283
2.93,2.93,0.0124348058791727
