a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,4.22,0.7743326972356632
0.0,8.44,0.5686224951439891
0.0,12.66,0.4408752593263855
0.0,16.88,0.36113352479830796
0.0,21.09,0.3069665382387437
0.0,25.31,0.2676137658439395
0.0,29.53,0.23760459314110452
0.0,33.75,0.21388935693750233
0.0,37.97,0.19463130799995754
0.0,42.19,0.17865447216725383
4.22,0.0,0.7743326972356632
4.22,4.22,0.4567344514842892
4.22,8.44,0.20815519842597596
4.22,12.66,0.12955078515537316
4.22,16.88,0.09395613121539356
4.22,21.09,0.07247816776456313
4.22,25.31,0.05733842974865657
4.22,29.53,0.045997163069399584
4.22,33.75,0.037375030620381715
4.22,37.97,0.03079883905050704
4.22,42.19,0.025757974187059315
8.44,0.0,0.5686224951439892
8.44,4.22,0.20815519842597613
8.44,8.44,0.09633554038302501
8.44,12.66,0.06048812733897864
8.44,16.88,0.04066433737503088
8.44,21.09,0.02862060637802927
8.44,25.31,0.021133068246486152
8.44,29.53,0.016306360489603933
8.44,33.75,0.013055314147756306
8.44,37.97,0.01077014940125451
8.44,42.19,0.009101840705449182
12.66,0.0,0.4408752593263853
12.66,4.22,0.1295507851553788
12.66,8.44,0.060488127341149
12.66,12.66,0.03440735638794641
12.66,16.88,0.02169271278388851
12.66,21.09,0.015014574238248984
12.66,25.31,0.011168179825699238
12.66,29.53,0.008757781518951574
12.66,33.75,0.007140321252017088
12.66,37.97,0.005994731750997003
12.66,42.19,0.005147914653043504
16.88,0.0,0.3611335247983083
16.88,4.22,0.09395613121529116
16.88,8.44,0.040664337374102216
16.88,12.66,0.02169271278281296
16.88,16.88,0.013611061881827551
16.88,21.09,0.009564329968825312
16.88,25.31,0.0072454604492532
16.88,29.53,0.005778131700811586
16.88,33.75,0.004779653486202236
16.88,37.97,0.004062187459425293
16.88,42.19,0.003524586152351705
21.09,0.0,0.30696653823874387
21.09,4.22,0.07247816776527813
21.09,8.44,0.02862060637834231
21.09,12.66,0.015014574238096481
21.09,16.88,0.009564329968825152
21.09,21.09,0.006844094505714887
21.09,25.31,0.0052665455546630525
21.09,29.53,0.004253655119892043
21.09,33.75,0.0035548500231320397
21.09,37.97,0.003046552583631578
21.09,42.19,0.002661622007798738
25.31,0.0,0.26761376584393937
25.31,4.22,0.057338429747666265
25.31,8.44,0.02113306824717852
25.31,12.66,0.011168179825539512
25.31,16.88,0.007245460449392379
25.31,21.09,0.00526654555451665
25.31,25.31,0.004102225580442103
25.31,29.53,0.0033446489255280908
25.31,33.75,0.0028160019082635115
25.31,37.97,0.0024277638219043045
25.31,42.19,0.0021313600127511076
29.53,0.0,0.23760459314110435
29.53,4.22,0.045997163068924575
29.53,8.44,0.016306360488913974
29.53,12.66,0.008757781519093642
29.53,16.88,0.005778131700981267
29.53,21.09,0.004253655119878397
29.53,25.31,0.003344648925585079
29.53,29.53,0.0027465506042431537
29.53,33.75,0.0023253450619392666
29.53,37.97,0.0020136647940299525
29.53,42.19,0.001774206975253015
33.75,0.0,0.21388935693750266
33.75,4.22,0.03737503061964215
33.75,8.44,0.013055314147837694
33.75,12.66,0.007140321252000071
33.75,16.88,0.0047796534862341805
33.75,21.09,0.00355485002315949
33.75,25.31,0.0028160019082969015
33.75,29.53,0.002325345061953233
33.75,33.75,0.0019772320282571893
33.75,37.97,0.001718078584454153
33.75,42.19,0.0015179802894911604
37.97,0.0,0.19463130799995965
37.97,4.22,0.03079883905063643
37.97,8.44,0.010770149401252423
37.97,12.66,0.005994731750974369
37.97,16.88,0.004062187459491271
37.97,21.09,0.0030465525836161672
37.97,25.31,0.0024277638219203576
37.97,29.53,0.0020136647940826066
37.97,33.75,0.0017180785844230103
37.97,37.97,0.0014969475917534863
37.97,42.19,0.001325517561886337
42.19,0.0,0.17865447216725286
42.19,4.22,0.02575797418611267
42.19,8.44,0.00910184070579047
42.19,12.66,0.005147914653075289
42.19,16.88,0.003524586152295199
42.19,21.09,0.0026616220078204095
42.19,25.31,0.0021313600128350647
42.19,29.53,0.0017742069752600786
42.19,33.75,0.0015179802894449278
42.19,37.97,0.0013255175619192455
42.19,42.19,0.0011758168805413919
