a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,4.22,0.7743326972356632
0.0,8.44,0.5686224951439891
0.0,12.66,0.4408752593263855
0.0,16.88,0.36113352479830796
0.0,21.09,0.3069665382387437
0.0,25.31,0.2676137658439395
0.0,29.53,0.23760459314110452
0.0,33.75,0.21388935693750233
0.0,37.97,0.19463130799995754
0.0,42.19,0.17865447216725383
0.29,0.0,0.9565746237078314
0.29,4.22,0.723073188480052
0.29,8.44,0.5028832652986095
0.29,12.66,0.3659288395274713
0.29,16.88,0.2781625479951366
0.29,21.09,0.2138726637196753
0.29,25.31,0.012894611632316082
0.29,29.53,0.008551441642923121
0.29,33.75,0.0062898075006723765
0.29,37.97,0.004919944066977842
0.29,42.19,0.00401254099283168
0.59,0.0,0.9037903596459584
0.59,4.22,0.6541764486846976
0.59,8.44,0.3879875487023573
0.59,12.66,0.010154136686100436
0.59,16.88,0.005722117549736191
0.59,21.09,0.0038296397236625627
0.59,25.31,0.002831276346207629
0.59,29.53,0.0022281137817108214
0.59,33.75,0.0018289462393237803
0.59,37.97,0.0015471544853470692
0.59,42.19,0.00133847453593689
0.88,0.0,0.8362084970569076
0.88,4.22,0.5360148651854073
0.88,8.44,0.009037972354236763
0.88,12.66,0.004395577624627062
0.88,16.88,0.0027645027643523087
0.88,21.09,0.0019831793119107874
0.88,25.31,0.0015353443897819065
0.88,29.53,0.001248140075162867
0.88,33.75,0.0010494193024920722
0.88,37.97,0.0009042315500024422
0.88,42.19,0.0007937420895625727
1.17,0.0,0.7396219249744318
1.17,4.22,0.015791538998119536
1.17,8.44,0.005092486397455699
1.17,12.66,0.002700994891335892
1.17,16.88,0.0017868646079037794
1.17,21.09,0.0013222997278662068
1.17,25.31,0.0010451319281585612
1.17,29.53,0.000862229232582084
1.17,33.75,0.0007329513481598291
1.17,37.97,0.0006369300102950367
1.17,42.19,0.0005628916086382015
1.47,0.0,0.4526354541424951
1.47,4.22,0.009859488218549857
1.47,8.44,0.00344090673646085
1.47,12.66,0.0019262142023664332
1.47,16.88,0.0013120815850987994
1.47,21.09,0.0009883606704855592
1.47,25.31,0.0007904999002159301
1.47,29.53,0.0006576840011503582
1.47,33.75,0.0005626098044964401
1.47,37.97,0.0004912984108523206
1.47,42.19,0.00043588302643417747
1.76,0.0,0.10228369481250124
1.76,4.22,0.006841318768439382
1.76,8.44,0.002566698423528211
1.76,12.66,0.0014897914599912414
1.76,16.88,0.0010343225541527984
1.76,21.09,0.0007881584563783011
1.76,25.31,0.0006352304609064707
1.76,29.53,0.0005313965767486194
1.76,33.75,0.0004564377491302714
1.76,37.97,0.0003998470676902362
1.76,42.19,0.0003556433451204002
2.05,0.0,0.07803045804949815
2.05,4.22,0.005122603426447216
2.05,8.44,0.0020346619711566105
2.05,12.66,0.0012119436977977452
2.05,16.88,0.0008528012398697072
2.05,21.09,0.0006551142162701284
2.05,25.31,0.0005308456992473982
2.05,29.53,0.00044577460648265323
2.05,33.75,0.0003839879669535038
2.05,37.97,0.0003371245648190779
2.05,42.19,0.0003003841176318776
2.34,0.0,0.06311472554781017
2.34,4.22,0.004046216128286354
2.34,8.44,0.0016798428821002754
2.34,12.66,0.0010202283542026882
2.34,16.88,0.0007251267092383554
2.34,21.09,0.0005603909295580994
2.34,25.31,0.00045590145749825264
2.34,29.53,0.0003839240111696171
2.34,33.75,0.00033140803640211786
2.34,37.97,0.00029143687996243214
2.34,42.19,0.00026001340027624067
2.64,0.0,0.052331912497145305
2.64,4.22,0.0033213694390352984
2.64,8.44,0.001427541204283563
2.64,12.66,0.0008802161482302802
2.64,16.88,0.0006305074983368198
2.64,21.09,0.0004895412286771261
2.64,25.31,0.0003994896952940007
2.64,29.53,0.0003371527832417395
2.64,33.75,0.00029150747982899147
2.64,37.97,0.0002566707624091672
2.64,42.19,0.00022922479575763759
2.93,0.0,0.04397716556760949
2.93,4.22,0.002805430493919153
2.93,8.44,0.0012394797870243065
2.93,12.66,0.0007735722964331448
2.93,16.88,0.0005575980922162117
2.93,21.09,0.00043455181514466724
2.93,25.31,0.00035548949215494837
2.93,29.53,0.0003005409071552668
2.93,33.75,0.0002601886364466066
2.93,37.97,0.00022932359218347167
2.93,42.19,0.00020496453947760652
