a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,0.29,0.9565746237078314
0.0,0.59,0.9037903596459584
0.0,0.88,0.8362084970569076
0.0,1.17,0.7396219249744321
0.0,1.47,0.4526354541296468
0.0,1.76,0.10228369481272968
0.0,2.05,0.0780304580493511
0.0,2.34,0.06311472554731686
0.0,2.64,0.05233191249436717
0.0,2.93,0.04397716556521198
0.29,0.0,0.9565746237078314
0.29,0.29,0.9132287872140961
0.29,0.59,0.8597620519024659
0.29,0.88,0.7894334520081899
0.29,1.17,0.6812368454437712
0.29,1.47,0.002611732686450283
0.29,1.76,0.0017741632117239368
0.29,2.05,0.0012586537687694066
0.29,2.34,0.0009551161241771008
0.29,2.64,0.0007625981349944003
0.29,2.93,0.000631799599004176
0.59,0.0,0.9037903596459584
0.59,0.29,0.8597620519024659
0.59,0.59,0.8042277067830494
0.59,0.88,0.7276955447610417
0.59,1.17,0.5843890884470282
0.59,1.47,0.0010505232622602778
0.59,1.76,0.0007050112655224518
0.59,2.05,0.000518008944943565
0.59,2.34,0.0004058864454441338
0.59,2.64,0.00033234650040454394
0.59,2.93,0.00028080106392367447
0.88,0.0,0.8362084970569076
0.88,0.29,0.7894334520081896
0.88,0.59,0.7276955447610417
0.88,0.88,0.6312121419504504
0.88,1.17,0.0009201012594384684
0.88,1.47,0.0005814975031762593
0.88,1.76,0.00040662729902905424
0.88,2.05,0.0003084526997788196
0.88,2.34,0.00024704561574882036
0.88,2.64,0.00020545849359910332
0.88,2.93,0.00017560047125965848
1.17,0.0,0.7396219249744318
1.17,0.29,0.6812368454437712
1.17,0.59,0.5843890884470282
1.17,0.88,0.0009201012594843799
1.17,1.17,0.0005584528535098185
1.17,1.47,0.0003732266375077526
1.17,1.76,0.00027291463190273643
1.17,2.05,0.00021271395930993296
1.17,2.34,0.00017337034073000633
1.17,2.64,0.0001459271365465779
1.17,2.93,0.00012580761216770024
1.47,0.0,0.4526354541424951
1.47,0.29,0.0026117326864542965
1.47,0.59,0.0010505232622620435
1.47,0.88,0.0005814975031600458
1.47,1.17,0.00037322663751433423
1.47,1.47,0.00026382529296499404
1.47,1.76,0.0001998273620235572
1.47,2.05,0.00015917291837190027
1.47,2.34,0.00013158006290653012
1.47,2.64,0.00011183356520533037
1.47,2.93,9.70920725034232e-05
1.76,0.0,0.10228369481250124
1.76,0.29,0.0017741632117611798
1.76,0.59,0.0007050112655393074
1.76,0.88,0.00040662729903242535
1.76,1.17,0.00027291463190626806
1.76,1.47,0.0001998273620208282
1.76,1.76,0.00015511662435410808
1.76,2.05,0.0001256173624061529
1.76,2.34,0.000105016872419357
1.76,2.64,8.996579848779143e-05
1.76,2.93,7.855802390226232e-05
2.05,0.0,0.07803045804949815
2.05,0.29,0.0012586537688040811
2.05,0.59,0.0005180089449371439
2.05,0.88,0.000308452699781067
2.05,1.17,0.00021271395930929084
2.05,1.47,0.00015917291837093706
2.05,1.76,0.00012561736240567132
2.05,2.05,0.00010296646438306118
2.05,2.34,8.683715210073498e-05
2.05,2.64,7.486790842189402e-05
2.05,2.93,6.56856141694817e-05
2.34,0.0,0.06311472554781017
2.34,0.29,0.0009551161241815956
2.34,0.59,0.00040588644544718386
2.34,0.88,0.00024704561574962305
2.34,1.17,0.000173370340730809
2.34,1.47,0.00013158006290540643
2.34,1.76,0.00010501687242080176
2.34,2.05,8.683715210250081e-05
2.34,2.34,7.372576180477642e-05
2.34,2.64,6.388772255680953e-05
2.34,2.93,5.627058987104023e-05
2.64,0.0,0.052331912497145305
2.64,0.29,0.0007625981350056373
2.64,0.59,0.00033234650040502554
2.64,0.88,0.00020545849359749802
2.64,1.17,0.0001459271365454542
2.64,1.47,0.00011183356520500933
2.64,1.76,8.996579848682825e-05
2.64,2.05,7.486790842237561e-05
2.64,2.34,6.388772255777271e-05
2.64,2.64,5.5585238894372075e-05
2.64,2.93,4.9113281729036525e-05
2.93,0.0,0.04397716556760949
2.93,0.29,0.0006317995989977547
2.93,0.59,0.0002808010639249587
2.93,0.88,0.00017560047125901636
2.93,1.17,0.00012580761216834233
2.93,1.47,9.709207250422585e-05
2.93,1.76,7.85580239016202e-05
2.93,2.05,6.568561416964223e-05
2.93,2.34,5.62705898708797e-05
2.93,2.64,4.9113281728875996e-05
2.93,2.93,4.350645644321736e-05
