MidPoint,Slope,resultList,LinerType
10,0.25,"[0.496658901337244, 0.5120716267922923, 0.5319497587708555, 0.5575090031718187, 0.5899494802291071, 0.6299294636991788, 0.6766763575003639, 0.7273313301407409, 0.7776579362140748, 0.823950376666126, 0.8642862717052439]",0.0
20,0.25,"[0.3069665382387437, 0.2926188156593474, 0.27764265595140153, 0.2646385352882625, 0.2579311971101337, 0.2628519005422146, 0.2866533392657752, 0.3436925645962569, 0.4567344514842892, 0.6021559206933866, 0.7158803706841446]",0.04903534112861002
30,0.25,"[0.22509507833952563, 0.1865963520641347, 0.14800415490964314, 0.12254460510325038, 0.11045304428025257, 0.10798080034147203, 0.11436748249351511, 0.13342833587638372, 0.18255071378253526, 0.34916707304985534, 0.5897330070468059]",0.1171142779980536
40,0.25,"[0.17865447216725383, 0.12299163021480795, 0.08393628507221754, 0.065394806463677, 0.05733842974865657, 0.05571941846813822, 0.05970932850505459, 0.07092454995233063, 0.09633554038302501, 0.18062356407872412, 0.496658901337244]",0.12293505369911562
50,0.25,"[0.14844355628575462, 0.08285497183680204, 0.049031298441348514, 0.035407495046875875, 0.030028853792212436, 0.028998989552490438, 0.03160889920188029, 0.03934002683701695, 0.05760230319363604, 0.10986036799421937, 0.42890408821716497]",0.11944456673326417
60,0.25,"[0.1270900152470271, 0.055468366638269505, 0.028590086560472527, 0.019854367354418898, 0.01667538004129444, 0.01606338343267892, 0.01753639291286428, 0.022148135999220653, 0.03440735638794641, 0.07359735032418113, 0.3780621575956973]",0.11102663181434817
70,0.25,"[0.11109221345067641, 0.03661339514367735, 0.017522405979945668, 0.012144537088691345, 0.010237922054858345, 0.00985933380493907, 0.010705857697113293, 0.013416903319647443, 0.02101600063431186, 0.050069726060128494, 0.3385699283071397]",0.10123287964573734
80,0.25,"[0.09854950403824432, 0.02452635752985456, 0.011537414581691122, 0.008091282662391085, 0.006867915268670703, 0.006616351687606057, 0.007140321252017088, 0.008831680173797235, 0.013611061881827551, 0.0339117736829245, 0.30696653823874387]",0.09193315235063826
90,0.25,"[0.08834048652243155, 0.017055067195399714, 0.008109416433435745, 0.005767869547727636, 0.004927772815369564, 0.004749388160588204, 0.005098370224809448, 0.006228415152532988, 0.009392810738030635, 0.023298878345080456, 0.2810538813048151]",0.08359109836184335
100,0.25,"[0.07977082170481123, 0.012379428017878114, 0.006006734235072788, 0.004327150719330153, 0.003716910880748735, 0.0035836826970135566, 0.00383057923696035, 0.0046315841691607134, 0.006844094505714887, 0.01652253935487762, 0.25938324561806214]",0.07618713900779767
10,0.5,"[0.6614115411903173, 0.6743025373573146, 0.6892184432813862, 0.7061094735015524, 0.7246859865924317, 0.7443925432169692, 0.7644708526249636, 0.7841068891234623, 0.8025977966621525, 0.8194618347082872, 0.8344610387662691]",0.0
20,0.5,"[0.4408752593263855, 0.42582568259839426, 0.4100374305791035, 0.3961593349311885, 0.3892305388907335, 0.3961867808922113, 0.42421559799775005, 0.47673678745724013, 0.5444503243914003, 0.6090852091147448, 0.6614115411903173]",0.05164472043565199
30,0.5,"[0.3317025534271317, 0.28369746548186486, 0.22817155361193947, 0.1853642572892502, 0.1637716830509537, 0.15818788198901573, 0.16668204575429643, 0.195153306879365, 0.26766992152741775, 0.40935072949522044, 0.5302986674424061]",0.17351467143811594
