MidPoint,Slope,resultList,LinerType
10,0.25,"[0.872385904379804, 0.8860791904535245, 0.8987551534775758, 0.9105262481688844, 0.921484856996227, 0.9317080034208228, 0.9412607314677591, 0.9501985852645924, 0.9585694649378023, 0.9664150403066044, 0.9737718445975588]",0.0
20,0.25,"[0.4526354541296468, 0.6565884503281242, 0.7267844950443508, 0.7759365513593853, 0.8141941705389674, 0.8454368845552639, 0.8716430186116851, 0.8939854707781012, 0.9132287872140961, 0.9299051848075264, 0.9444035257737016]",0.0
30,0.25,"[0.06987127597236747, 0.05726721257636899, 0.02815791303662587, 0.00592833354443592, 0.6046169472129417, 0.7186126780678754, 0.7827231692668812, 0.8281147333470482, 0.8625989332357881, 0.8896134301646421, 0.911044533523653]",0.06394294242793155
40,0.25,"[0.04397716556521198, 0.011007127353458053, 0.0024166180638884385, 0.0018455924824583765, 0.0017741632117239368, 0.0019666185943862835, 0.6414567677096817, 0.7451340858474834, 0.8042277067830494, 0.8441698678229952, 0.872385904379804]",0.04220300235348804
50,0.25,"[0.029665085169512388, 0.0023155532425318754, 0.001121727939300338, 0.0008702049766650051, 0.0008197839259579695, 0.000896926644761638, 0.0011489624731636189, 0.61510162967768, 0.73284845084583, 0.7911239674745669, 0.8262130138984521]",0.028845301243554416
60,0.25,"[0.021146201359047948, 0.0012395005258324817, 0.0006525216384237853, 0.0005062939333327684, 0.0004678838856926964, 0.0004936880854389456, 0.0006017067255854001, 0.0008914638695848859, 0.6312121419504504, 0.7251692414186669, 0.7681691348056753]",0.020678317473355252
70,0.25,"[0.015867862248069013, 0.0007925068056584431, 0.0004296710473250205, 0.0003327671138656627, 0.0003036371717742533, 0.00031287309159216487, 0.00036610250115071477, 0.0005109087412543386, 0.0009089721805302959, 0.6286333515201548, 0.6868146448259457]",0.01556422507629476
80,0.25,"[0.01243480588617791, 0.0005554107472718598, 0.0003056949884439556, 0.00023629530443820625, 0.00021377028487107818, 0.0002168655035318015, 0.00024704561574882036, 0.0003286409537812344, 0.0005584528535098185, 0.0013072389960447357, 0.4526354541424951]",0.012221035601306832
90,0.25,"[0.010090993359260322, 0.000412958476718604, 0.00022927877254437168, 0.00017693203861166801, 0.00015910573597286803, 0.00015968917743442736, 0.00017862751653819887, 0.0002300256593488246, 0.0003699633785554534, 0.0008650899574994601, 0.11716145144130237]",0.009931887623287455
100,0.25,"[0.008419974213603118, 0.00032008581421657384, 0.00017867997777910223, 0.00013769496594486668, 0.00012328065337369342, 0.00012278720348744113, 0.0001355879983839548, 0.00017067853826341028, 0.00026382529296499404, 0.000594395502188763, 0.09470711661829793]",0.008297187010115677
10,0.5,"[0.9315987562208355, 0.9363778613816434, 0.9408822523351486, 0.9451229260730407, 0.9491099320375619, 0.9528524773842469, 0.9563590173870964, 0.9596373334448546, 0.9626946006805857, 0.9655374467591983, 0.9681720032560035]",0.0
20,0.5,"[0.8362084970569076, 0.852354577097594, 0.8665575825805725, 0.8790706879414115, 0.8900884111048776, 0.8997637443600889, 0.9082193190123155, 0.9155549544002353, 0.9218529207452709, 0.9271817036933392, 0.9315987562208355]",0.0
30,0.5,"[0.6649454352126601, 0.7216670431897066, 0.7621936864524788, 0.7933451226354556, 0.8180536053035777, 0.837894865256617, 0.8538277128960224, 0.8664835033613048, 0.8763006619452052, 0.8835948089270633, 0.8885984273399055]",0.0
40,0.5,"[0.10228369481272968, 0.07559444710483788, 0.25033010703739644, 0.6561657351013982, 0.7199081118739227, 0.761071596126401, 0.789873971488434, 0.8102092375493891, 0.82403510645351, 0.8324735682158275, 0.8362084970569076]",0.0266892477078918
50,0.5,"[0.06987127597236747, 0.009402077210628686, 0.0026256261765553604, 0.002041848199187723, 0.0018556765749408745, 0.6484883704768419, 0.7083797902704887, 0.7421428382758612, 0.7610715961264013, 0.7691628259878176, 0.7681691348056753]",-0.00099369118214232
60,0.5,"[0.05233191249436717, 0.00275465422994039, 0.0013597686159154498, 0.0010682631147347645, 0.0010232016585808457, 0.0011154445180397916, 0.5698131210477407, 0.648609490993996, 0.676691445608047, 0.6806909738326966, 0.6649454352126598]",-0.015745538620036803
70,0.5,"[0.0404656391390901, 0.001572272008974359, 0.0008173298906702139, 0.0006378894136818047, 0.0005976387736442278, 0.0006402617333116703, 0.0007718599193689225, 0.0009878345642113985, 0.0013603449665641578, 0.0026747635193765497, 0.14027220743503985]",0.03986800036544587
