a1,a2,epsilon
0.0,0.0,0.0
0.0,4.22,0.0
0.0,8.44,0.0
0.0,12.66,0.0
0.0,16.88,0.0
0.0,21.09,0.0
0.0,25.31,0.0
0.0,29.53,0.0
0.0,33.75,0.0
0.0,37.97,0.0
0.0,42.19,0.0
4.22,0.0,0.0
4.22,4.22,-0.8175311319483135
4.22,8.44,-1.8091387771746246
4.22,12.66,-2.129168119879562
4.22,16.88,-2.278409985975231
4.22,21.09,-2.3850230781388193
4.22,25.31,-2.4818595461107065
4.22,29.53,-2.5734595963659546
4.22,33.75,-2.6569763070252432
4.22,37.97,-2.7300842115629975
4.22,42.19,-2.792407597465413
8.44,0.0,0.0
8.44,4.22,-1.8091387771746232
8.44,8.44,-0.9254153024244922
8.44,12.66,-1.0001040748953445
8.44,16.88,-1.0571264027319132
8.44,21.09,-1.1020175982158515
8.44,25.31,-1.1350938565483955
8.44,29.53,-1.1590645150791823
8.44,33.75,-1.1766603279459902
8.44,37.97,-1.1898773773190408
8.44,42.19,-1.2000530249974384
12.66,0.0,0.0
12.66,4.22,-2.1291681198795054
12.66,8.44,-1.0001040748839325
12.66,12.66,-0.6489284794809689
12.66,16.88,-0.6810767477829067
12.66,21.09,-0.7010287536565982
12.66,25.31,-0.7138707587970218
12.66,29.53,-0.7225876314139414
12.66,33.75,-0.7288034003789897
12.66,37.97,-0.7334227590184488
12.66,42.19,-0.7369738942035671
16.88,0.0,0.0
16.88,4.22,-2.2784099859764875
16.88,8.44,-1.0571264027378744
16.88,12.66,-0.6810767477882335
16.88,16.88,-0.5062774544382915
16.88,21.09,-0.5165022305571318
16.88,25.31,-0.522893623041686
16.88,29.53,-0.5272075963660836
16.88,33.75,-0.5302941302530152
16.88,37.97,-0.5326032053532705
16.88,42.19,-0.534391817733501
21.09,0.0,0.0
21.09,4.22,-2.385023078128498
21.09,8.44,-1.1020175982134877
21.09,12.66,-0.7010287536574867
21.09,16.88,-0.5165022305571326
21.09,21.09,-0.4107603114964878
21.09,25.31,-0.4145353766309531
21.09,29.53,-0.4171000555891497
21.09,33.75,-0.4189501843676196
21.09,37.97,-0.4203456431334013
21.09,42.19,-0.4214347494165997
25.31,0.0,0.0
25.31,4.22,-2.4818595461271045
25.31,8.44,-1.135093856542398
25.31,12.66,-0.7138707587980894
25.31,16.88,-0.522893623040872
25.31,21.09,-0.4145353766317424
25.31,25.31,-0.34446969456961607
25.31,29.53,-0.3461796807433067
25.31,33.75,-0.34742333973534256
25.31,37.97,-0.34836824993675747
25.31,42.19,-0.3491104636549638
29.53,0.0,0.0
29.53,4.22,-2.5734595963748133
29.53,8.44,-1.1590645150859138
29.53,12.66,-0.722587631412872
29.53,16.88,-0.5272075963649657
29.53,21.09,-0.41710005558923263
29.53,25.31,-0.34617968074297917
29.53,29.53,-0.29649347064585346
29.53,33.75,-0.29739538269109356
29.53,37.97,-0.2980848827382281
29.53,42.19,-0.29862935998456985
33.75,0.0,0.0
33.75,4.22,-2.6569763070405656
33.75,8.44,-1.176660327945108
33.75,12.66,-0.7288034003791322
33.75,16.88,-0.5302941302527814
33.75,21.09,-0.4189501843674344
33.75,25.31,-0.3474233397351294
33.75,29.53,-0.29739538269100785
33.75,33.75,-0.2603261732706617
33.75,37.97,-0.2608564191580525
33.75,42.19,-0.2612769849731338
37.97,0.0,0.0
37.97,4.22,-2.7300842115600514
37.97,8.44,-1.1898773773190656
37.97,12.66,-0.7334227590186567
37.97,16.88,-0.53260320535274
37.97,21.09,-0.42034564313351547
37.97,25.31,-0.3483682499366448
37.97,29.53,-0.29808488273787326
37.97,33.75,-0.26085641915825614
37.97,37.97,-0.23211743090893167
37.97,42.19,-0.2324548519005034
42.19,0.0,0.0
42.19,4.22,-2.7924075974888933
42.19,8.44,-1.20005302499301
42.19,12.66,-0.7369738942032488
42.19,16.88,-0.534391817733996
42.19,21.09,-0.42143474941642467
42.19,25.31,-0.3491104636543221
42.19,29.53,-0.298629359984518
42.19,33.75,-0.261276984973463
42.19,37.97,-0.23245485190027468
42.19,42.19,-0.20950130304438347
