a1,a2,epsilon
0.0,0.0,0.0
0.0,0.29,0.0
0.0,0.59,0.0
0.0,0.88,0.0
0.0,1.17,0.0
0.0,1.47,0.0
0.0,1.76,0.0
0.0,2.05,0.0
0.0,2.34,0.0
0.0,2.64,0.0
0.0,2.93,0.0
0.29,0.0,0.0
0.29,0.29,-0.04348195319706964
0.29,0.59,-0.12181359391173044
0.29,0.88,-0.28811918253804286
0.29,1.17,-0.8178100872122992
0.29,1.47,-21.895137064879616
0.29,1.76,-21.628577352187644
0.29,2.05,-21.65656157536501
0.29,2.34,-21.679526777218445
0.29,2.64,-21.69243814579751
0.29,2.93,-21.69717724116453
0.59,0.0,0.0
0.59,0.29,-0.12181359391173044
0.59,0.59,-0.1450123320690268
0.59,0.88,-0.34880265438220637
0.59,1.17,-1.1815000407095455
0.59,1.47,-9.369845399203149
0.59,1.76,-9.322326245283543
0.59,2.05,-9.324967937670591
0.59,2.34,-9.327125902726978
0.59,2.64,-9.32795937960028
0.59,2.93,-9.327601686340625
0.88,0.0,0.0
0.88,0.29,-0.2881191825380521
0.88,0.59,-0.34880265438220637
0.88,0.88,-0.49671873516181014
0.88,1.17,-5.0977276988777
0.88,1.47,-5.097479351904964
0.88,1.76,-5.081051196541442
0.88,2.05,-5.0811886080722894
0.88,2.34,-5.081425172206207
0.88,2.64,-5.081352921432534
0.88,2.93,-5.080944310766421
1.17,0.0,0.0
1.17,0.29,-0.8178100872122992
1.17,0.59,-1.1815000407095455
1.17,0.88,-5.09772769887732
1.17,1.17,-2.83766931266566
1.17,1.47,-2.837402348424633
1.17,1.76,-2.8303216866981358
1.17,2.05,-2.8300996055188294
1.17,2.34,-2.83001945137414
1.17,2.64,-2.8298597436481545
1.17,2.93,-2.8295822386715392
1.47,0.0,0.0
1.47,0.29,-21.89513706487941
1.47,0.59,-9.369845399203108
1.47,0.88,-5.097479351905183
1.47,1.17,-2.8374023484245776
1.47,1.47,-0.8258711545221434
1.47,1.76,-0.8233668030791537
1.47,2.05,-0.8232092776057981
1.47,2.34,-0.8231272590050941
1.47,2.64,-0.8230318396713253
1.47,2.93,-0.8229025316099161
1.76,0.0,0.0
1.76,0.29,-21.62857735217926
1.76,0.59,-9.32232624528183
1.76,0.88,-5.0810511965412415
1.76,1.17,-2.8303216866980034
1.76,1.47,-0.8233668030792023
1.76,1.76,-0.11224833611352948
1.76,2.05,-0.11214438665214052
1.76,2.34,-0.11208417379088391
1.76,2.64,-0.1120226466469657
1.76,2.93,-0.11194779191344051
2.05,0.0,0.0
2.05,0.29,-21.656561575354782
2.05,0.59,-9.324967937671447
2.05,0.88,-5.081188608072114
2.05,1.17,-2.830099605518861
2.05,1.47,-0.8232092776058206
2.05,1.76,-0.11214438665214742
2.05,2.05,-0.08320328051112659
2.05,2.34,-0.08314222167007719
2.05,2.64,-0.08308281208820062
2.05,2.93,-0.08301448641336549
2.34,0.0,0.0
2.34,0.29,-21.679526777216804
2.34,0.59,-9.327125902726475
2.34,0.88,-5.08142517220613
2.34,1.17,-2.830019451374091
2.34,1.47,-0.8231272590051266
2.34,1.76,-0.1120841737908584
2.34,2.05,-0.08314222167004684
2.34,2.34,-0.0661197312282031
2.34,2.64,-0.06606348670583598
2.34,2.93,-0.06600080728452024
2.64,0.0,0.0
2.64,0.29,-21.692438145792565
2.64,0.59,-9.327959379600184
2.64,0.88,-5.081352921432721
2.64,1.17,-2.8298597436482367
2.64,1.47,-0.8230318396713364
2.64,1.76,-0.11202264664698622
2.64,2.05,-0.08308281208819064
2.64,2.34,-0.06606348670581633
2.64,2.64,-0.05410095155436407
2.64,2.93,-0.05404331179252603
2.93,0.0,0.0
2.93,0.29,-21.69717724116789
2.93,0.59,-9.327601686340321
2.93,0.88,-5.080944310766511
2.93,1.17,-2.829582238671483
2.93,1.47,-0.8229025316098828
2.93,1.76,-0.11194779191345676
2.93,2.05,-0.08301448641336152
2.93,2.34,-0.06600080728452412
2.93,2.64,-0.05404331179252989
2.93,2.93,-0.0449653161591929
