a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,4.22,0.7743326972356632
0.0,8.44,0.5686224951439891
0.0,12.66,0.4408752593263855
0.0,16.88,0.36113352479830796
0.0,21.09,0.3069665382387437
0.0,25.31,0.2676137658439395
0.0,29.53,0.23760459314110452
0.0,33.75,0.21388935693750233
0.0,37.97,0.19463130799995754
0.0,42.19,0.17865447216725383
0.14,0.0,0.9585334237998608
0.14,4.22,0.7364851967584976
0.14,8.44,0.5321661999975261
0.14,12.66,0.4089972193793332
0.14,16.88,0.3335780039533047
0.14,21.09,0.2828363050031135
0.14,25.31,0.2461720182734203
0.14,29.53,0.21831031761898792
0.14,33.75,0.1963455358873203
0.14,37.97,0.17854003921649475
0.14,42.19,0.16378568348070244
0.27,0.0,0.9084433744688263
0.27,4.22,0.6896071025999557
0.27,8.44,0.4861599653293074
0.27,12.66,0.3684634170870217
0.27,16.88,0.2983169905229616
0.27,21.09,0.251800346469442
0.27,25.31,0.2184853290776225
0.27,29.53,0.19331618894791763
0.27,33.75,0.17354280656481053
0.27,37.97,0.15752542189622826
0.27,42.19,0.1442145861359284
0.41,0.0,0.8448458650285238
0.41,4.22,0.6262498966023894
0.41,8.44,0.41892995559323637
0.41,12.66,0.3055164597811046
0.41,16.88,0.2345784940618734
0.41,21.09,0.021347229485480748
0.41,25.31,0.017601157913191598
0.41,29.53,0.014922200642117113
0.41,33.75,0.012925727592129522
0.41,37.97,0.011389880412239189
0.41,42.19,0.010177777631857727
0.54,0.0,0.7551709034157374
0.54,4.22,0.5116958005834503
0.54,8.44,0.030227659852763124
0.54,12.66,0.021901612707897623
0.54,16.88,0.016896397741412113
0.54,21.09,0.013660409843557467
0.54,25.31,0.011425360825145801
0.54,29.53,0.009800165311615391
0.54,33.75,0.00857036093840214
0.54,37.97,0.007610051483940044
0.54,42.19,0.006841007719317713
0.68,0.0,0.5061726804784797
0.68,4.22,0.029015028818929
0.68,8.44,0.020191428801434468
0.68,12.66,0.015144637332920567
0.68,16.88,0.012071275215341357
0.68,21.09,0.010020123024925906
0.68,25.31,0.008557663256574215
0.68,29.53,0.007463903217161998
0.68,33.75,0.0066159661308786005
0.68,37.97,0.00593995156185825
0.68,42.19,0.00538878917898282
0.81,0.0,0.028247813418110033
0.81,4.22,0.020195338891222565
0.81,8.44,0.01446764520004688
0.81,12.66,0.01125978357673918
0.81,16.88,0.009250668122995838
0.81,21.09,0.00786313488581517
0.81,25.31,0.006842363027389856
0.81,29.53,0.006058071037640436
0.81,33.75,0.005435950510157015
0.81,37.97,0.004930187789449999
0.81,42.19,0.004510867434809739
0.95,0.0,0.02055198021272688
0.95,4.22,0.01481727794229861
0.95,8.44,0.011000844349949286
0.95,12.66,0.008831881432724304
0.95,16.88,0.007436541350702546
0.95,21.09,0.006444738436066634
0.95,25.31,0.005695652939352777
0.95,29.53,0.00510677219348099
0.95,33.75,0.004630359055502466
0.95,37.97,0.004236423578457123
0.95,42.19,0.0039049862014056227
1.08,0.0,0.015411892077530938
1.08,4.22,0.011398309464529304
1.08,8.44,0.008754838036895066
1.08,12.66,0.007206101801335541
1.08,16.88,0.006186980729915126
1.08,21.09,0.005445965789758362
1.08,25.31,0.004874327686110493
1.08,29.53,0.004416393913549109
1.08,33.75,0.004039744652461309
1.08,37.97,0.0037237691494622148
1.08,42.19,0.0034545363987395178
1.22,0.0,0.011949546438893881
1.22,4.22,0.009112458998609551
1.22,8.44,0.007212399958017149
1.22,12.66,0.006056649403118086
1.22,16.88,0.005281199046859612
1.22,21.09,0.004707423175536944
1.22,25.31,0.004257334998530648
1.22,29.53,0.003891204840560489
1.22,33.75,0.0035858959488430766
1.22,37.97,0.003326617498603241
1.22,42.19,0.0031032810608907545
1.35,0.0,0.009561690032136926
1.35,4.22,0.007511488907964352
1.35,8.44,0.006101014230596311
1.35,12.66,0.005208224273865372
1.35,16.88,0.004598269247204403
1.35,21.09,0.004140811296085213
1.35,25.31,0.0037772384664335823
1.35,29.53,0.003477800643874868
1.35,33.75,0.0032252457087443183
1.35,37.97,0.0030085412452052936
1.35,42.19,0.002820130069851227
