MidPoint,Slope,resultList,LinerType
10,0.25,"[0.496658901337244, 0.5282735130430446, 0.5644319097354784, 0.605760645852335, 0.6526322662836843, 0.7047937495369314, 0.76095342099801, 0.8186994120922441, 0.8750948423685965, 0.9276509669579956, 0.9749275426047326]",0.0
20,0.25,"[0.3069665382387437, 0.32874619467205624, 0.3547315055875855, 0.3863467120469384, 0.4257141261744008, 0.476038213491832, 0.5419730864166076, 0.6288039537613531, 0.7364851967584976, 0.849598861854557, 0.9469526296896312]",0.0
30,0.25,"[0.22509507833952563, 0.24100042745979058, 0.2600647116245904, 0.28343149329075434, 0.3128999978095158, 0.35147400419710395, 0.40452053637507024, 0.48216378573796453, 0.6015570883541228, 0.765601302043175, 0.9153063607104389]",0.0
40,0.25,"[0.17865447216725383, 0.1909012293365666, 0.205561468571779, 0.22351686959946157, 0.2461720182734203, 0.27592810721296895, 0.3172891788117443, 0.3797863519002192, 0.4861599653293074, 0.6757982104863514, 0.8788122764797739]",0.0
50,0.25,"[0.14844355628575462, 0.15816081560885561, 0.1697273908529447, 0.18380387026529765, 0.2014416629580807, 0.22444824786194006, 0.2562813362985512, 0.3046512332937468, 0.390882533897953, 0.5799829556563381, 0.8354947490501514]",0.0
60,0.25,"[0.1270900152470271, 0.13494020676702376, 0.1441837595655382, 0.15528041400172266, 0.1689406908498725, 0.18634870512542265, 0.2097179192197678, 0.24406762663587206, 0.3055164597811046, 0.4727394513035546, 0.7815064510891558]",0.0
70,0.25,"[0.11109221345067641, 0.11749672887482261, 0.12490529205963773, 0.13357807274285774, 0.1438497744619952, 0.15608207838793559, 0.16975695244195815, 0.019533233245931383, 0.023615661225894088, 0.03400038235482119, 0.7069022123024264]",0.09155898020474502
80,0.25,"[0.09854950403824432, 0.10377774435962252, 0.10964860434726752, 0.11618115036888883, 0.12309499286116826, 0.1267434319682675, 0.012925727592129522, 0.01376745119223103, 0.016896397741412113, 0.0244897041293529, 0.5061726804784797]",0.0856237764461148
90,0.25,"[0.08834048652243155, 0.09255193494022573, 0.09701875421515965, 0.1013418696801626, 0.1029844432675728, 0.010328505993718809, 0.009463455034721392, 0.010373755165113031, 0.012730284037620936, 0.018246514318649897, 0.03204315041171048]",-0.014643956745141254
100,0.25,"[0.07977082170481123, 0.0830443845508403, 0.08608987380028588, 0.08757097250412799, 0.06902264207826346, 0.007505712984529567, 0.007384093483782774, 0.008194953864427907, 0.010020123024925906, 0.014129631770521092, 0.026023888642103355]",-0.007800150799316757
10,0.5,"[0.6614115411903173, 0.6909140425106197, 0.722066380377504, 0.7545007919062311, 0.7876968061222529, 0.8210252923893974, 0.8538254593325421, 0.8854910250869166, 0.9155369202006394, 0.9436299847986025, 0.9695852491461602]",0.0
20,0.5,"[0.4408752593263855, 0.46807595980554273, 0.4998601020495634, 0.5373226867903957, 0.5816621385067724, 0.6338094171272595, 0.6935579814624425, 0.7583920870922657, 0.8233743964924576, 0.883239693965701, 0.9347887227123531]",0.0
30,0.5,"[0.3317025534271317, 0.35223137189543763, 0.3766342365313928, 0.40623690997856055, 0.4430133474928707, 0.4899038573885304, 0.5509651430933868, 0.6299481552671714, 0.7240276750882189, 0.8175390561720538, 0.8940929143471329]",0.0
40,0.5,"[0.2676137658439395, 0.2834003940372849, 0.3021244064804324, 0.324848522316659, 0.3532620130770265, 0.3902095979893307, 0.44073911915593483, 0.5136943591554028, 0.619274782052159, 0.7441594993233452, 0.8448458650285238]",0.0
50,0.5,"[0.22509507833952563, 0.23745928537893612, 0.2519551557640392, 0.2693181643677652, 0.2907306864826415, 0.31826493174833714, 0.3559865949787804, 0.412963460092103, 0.5096378133161134, 0.6575611747964378, 0.7815064510891558]",0.0
60,0.5,"[0.19463130799995754, 0.2043941168759365, 0.21559131540102622, 0.22860714742265897, 0.24399460595493774, 0.26260229090981735, 0.28590025426591315, 0.31731689631302057, 0.3739945589485841, 0.5340772283010541, 0.6871099228359745]",0.0
70,0.5,"[0.1716389974754841, 0.17934050783221145, 0.18784881778488424, 0.19715326582072384, 0.20695995856455687, 0.2158050273188184, 0.023411051363892925, 0.024081715726115754, 0.026782397241721444, 0.03172621975126593, 0.03657347882971948]",-0.04416602984333429
80,0.5,"[0.15362020915291802, 0.15963517307087188, 0.1658688358094876, 0.17182992396641816, 0.17580270744030543, 0.017601157913191598, 0.016593697771867384, 0.017246280932730746, 0.01916611923641969, 0.023131177783494796, 0.028247813418110033]",-0.022182498287387414
90,0.5,"[0.13908669986342836, 0.14368373681836236, 0.14792111788547024, 0.1506217619246088, 0.11804656242621817, 0.012833994520079583, 0.012456435472913006, 0.012994189714652073, 0.014380247851954499, 0.017374024812212393, 0.02219533636687685]",-0.011535062061180434
100,0.5,"[0.1270900152470271, 0.13046186517118422, 0.13285888049692407, 0.13163175630074644, 0.011389880412239189, 0.009933809021895466, 0.009783126602434451, 0.010225317100250384, 0.01125978357673918, 0.013517770720923099, 0.01772421272361084]",-0.005768865249896976
10,1.0,"[0.7743326972356632, 0.7948504379783948, 0.8153879855571156, 0.8357413340636693, 0.8557071873249856, 0.8750948423685965, 0.893736072484522, 0.9114917777783634, 0.9282550165543136, 0.9439507909931663, 0.9585334237998608]",0.0
20,1.0,"[0.5686224951439891, 0.5961846880459943, 0.6268866467308367, 0.6607926741130401, 0.6976040857147672, 0.7364851967584976, 0.7760221511569467, 0.814443939881004, 0.8500517883758039, 0.8816023925811822, 0.9084433744688263]",0.0
30,1.0,"[0.4408752593263855, 0.46334751794643103, 0.48957505402059637, 0.52056967982192, 0.5575335176536822, 0.6015570883541228, 0.6526932252955194, 0.7083587852384939, 0.7627467503715153, 0.8094555074430373, 0.8448458650285238]",0.0
40,1.0,"[0.36113352479830796, 0.3780659300525137, 0.39779910441824096, 0.42128691820101444, 0.44999067211516114, 0.4861599653293074, 0.532928887263199, 0.5926290957423588, 0.6601017870578996, 0.7188031776702104, 0.7551709034157374]",0.0
50,1.0,"[0.3069665382387437, 0.3194702284375116, 0.3335780039533047, 0.3497029966548055, 0.3684634170870217, 0.390882533897953, 0.41892995559323637, 0.45702340991089335, 0.5116958005834503, 0.5619999749451157, 0.5061726804784797]",-0.055827294466635924
60,1.0,"[0.2676137658439395, 0.2766032473624235, 0.28599466904168064, 0.2953672257257326, 0.3034527163689918, 0.3055164597811046, 0.03144214593489901, 0.029797796358310907, 0.029104144541584633, 0.02883327937763879, 0.028247813418110033]",-0.03790269393716511
70,1.0,"[0.23760459314110452, 0.2437315652191757, 0.24905662572170398, 0.25193689893729165, 0.24670067303077872, 0.023615661225894088, 0.021406852360649754, 0.0202825756945109, 0.020007355102096367, 0.020387879816635434, 0.02055198021272688]",-0.014332305796187134
80,1.0,"[0.21388935693750233, 0.21762080793727548, 0.21930720940279916, 0.21536590718214835, 0.01991470396594552, 0.016896397741412113, 0.015395723601755736, 0.014623633564407662, 0.014482402399056403, 0.014969876249484072, 0.015411892077530938]",-0.00541785246529683
90,1.0,"[0.19463130799995754, 0.19631064279519683, 0.19461166424793364, 0.181408206246464, 0.014727808340731011, 0.012730284037620936, 0.011677614552236959, 0.011121959376987433, 0.011026396054973806, 0.011462585527707776, 0.011949546438893881]",-0.0016793347952392956
100,1.0,"[0.17865447216725383, 0.17854003921649475, 0.17354280656481053, 0.014922200642117113, 0.011425360825145801, 0.010020123024925906, 0.009250668122995838, 0.008831881432724304, 0.008754838036895066, 0.009112458998609551, 0.009561690032136926]",0.0008068519952418602
10,2.0,"[0.8344610387662691, 0.847121056475203, 0.8594212515681059, 0.8712646417829711, 0.8825593114640439, 0.893220923218853, 0.9031745952272152, 0.912356057783917, 0.9207120974057295, 0.9282003715613472, 0.9347887227123531]",0.0
20,2.0,"[0.6614115411903173, 0.6828961378093821, 0.7054552237217058, 0.728690467886919, 0.7519829573789687, 0.7745103725694574, 0.7953276421464666, 0.8134924667387993, 0.8281860933074734, 0.8387818073888985, 0.8448458650285238]",0.0
30,2.0,"[0.5302986674424064, 0.5490674017483226, 0.5699919121464738, 0.5932728580185086, 0.6188253525913003, 0.6458632217708238, 0.672321071490929, 0.6945480347253052, 0.7078411614441618, 0.7073103788394138, 0.6871099228359745]",-0.020731238608187263
40,2.0,"[0.4408752593263855, 0.4534863061019202, 0.46698234692923146, 0.4812732052491338, 0.4959499675883668, 0.5096378133161134, 0.5176422223992629, 0.49825965914791054, 0.03589864222457439, 0.031734282860274576, 0.028247813418110033]",-0.07676696307287745
50,2.0,"[0.3780621575956971, 0.38487152291655913, 0.3902095979893307, 0.3919390817115191, 0.38353194744124813, 0.03526558388610843, 0.029349234722613263, 0.025156967185037987, 0.02213262005662817, 0.019737895205939757, 0.01772421272361084]",-0.013876924115821976
60,2.0,"[0.3317025534271317, 0.33357483480778477, 0.3310648489046975, 0.3170666740996034, 0.02852195479833992, 0.02252432661284179, 0.018689077754537195, 0.01618803369774349, 0.014480533110215067, 0.013128894442289419, 0.011949546438893881]",-0.0018722813806530958
70,2.0,"[0.2960126056300448, 0.29367855651267183, 0.28343691267190346, 0.026707701189509103, 0.019383448655853223, 0.015385027074141043, 0.012895089338040615, 0.011297262260636707, 0.010233849886365692, 0.00939492341764604, 0.00864406764242454]",0.0
80,2.0,"[0.2676137658439395, 0.26162006333242044, 0.2431874148106089, 0.0189491475893521, 0.013998462643833878, 0.01125978357673918, 0.00954424768101635, 0.00843986788473051, 0.007711516782021103, 0.007139063842831834, 0.00661896637498328]",0.0
90,2.0,"[0.24442446219728603, 0.23517043103341279, 0.2068106460745906, 0.01416926690517592, 0.010674780738489972, 0.008705081515847623, 0.00745248516287383, 0.0066381025990788056, 0.006100738238540922, 0.005679424384260379, 0.005293556231114314]",0.0
100,2.0,"[0.22509507833952563, 0.21286914202754254, 0.017601157913191598, 0.011069955179501507, 0.00849936297862963, 0.007015957349223477, 0.006056649403118086, 0.005425373883093548, 0.00500626743664487, 0.004677953140776872, 0.004376134673901372]",0.0
10,4.0,"[0.8642862717052435, 0.8700315847175851, 0.8750948423685965, 0.8793765205372621, 0.8827754855353371, 0.8851896304467554, 0.8865160553545776, 0.8866506437282754, 0.8854868798507891, 0.8829137223072024, 0.8788122764797739]",-0.00783836724850151
20,4.0,"[0.7158803706841446, 0.7266884499616837, 0.7364851967584976, 0.7445248061663065, 0.7497944943885518, 0.750961929425582, 0.7462822431555237, 0.7333405809134178, 0.7082102294619023, 0.6619071786222005, 0.5061726804784797]",-0.03508155874143748
30,4.0,"[0.5897330070468059, 0.5966374015227036, 0.6015570883541228, 0.6025509479204739, 0.595492272203451, 0.569461653157752, 0.038242033533993934, 0.030828743193837486, 0.025193919060989754, 0.02096202508364695, 0.01772421272361084]",-0.012817940873668054
40,4.0,"[0.496658901337244, 0.49487359939103376, 0.4861599653293074, 0.460704864331336, 0.03624568221580447, 0.026392935141186014, 0.020195338891222565, 0.016126105907261958, 0.013269199329867068, 0.011164426310551607, 0.009561690032136926]",0.0
50,4.0,"[0.4289040882171648, 0.41809363162321656, 0.390882533897953, 0.031599158254391746, 0.02104755338096257, 0.015324718279627253, 0.011962894031968426, 0.009771188176238203, 0.008208184789381734, 0.007032011523433912, 0.006117792969240462]",0.0
60,4.0,"[0.3780621575956971, 0.35896170739665506, 0.3055164597811046, 0.020048544031223817, 0.013497244060357953, 0.010067974566131215, 0.00804377670373313, 0.0067019808906197435, 0.005723886997987998, 0.004971841361001636, 0.004376134673901372]",0.0
70,4.0,"[0.33856992830714006, 0.31183465749694755, 0.023615661225894088, 0.01376892843280493, 0.00952207313615135, 0.007270057792649114, 0.005915348249048993, 0.0050002870934389475, 0.00432106016253538, 0.003790144841261659, 0.0033636070936664585]",0.0
80,4.0,"[0.3069665382387437, 0.2729415594291924, 0.016896397741412113, 0.01015299913542199, 0.007206101801335541, 0.005606399472597724, 0.004624146331890368, 0.003949417545741608, 0.0034416160112146943, 0.0030399050833936105, 0.0027138400507380617]",0.0
90,4.0,"[0.2810538813048153, 0.23971218564181612, 0.012730284037620936, 0.007904425591247505, 0.005734299261112743, 0.004527862327459244, 0.0037728276230347656, 0.003246691751092348, 0.0028465677440641796, 0.002527254972616738, 0.0022661192167417366]",0.0
100,4.0,"[0.2593832456180623, 0.21017684729468003, 0.010020123024925906, 0.006408479535361879, 0.0047330926449972695, 0.0037812852226971633, 0.0031753901719574883, 0.0027480283710579188, 0.002420422526522177, 0.0021572806972073844, 0.0019408767275594337]",0.0
