MidPoint,Slope,resultList,LinerType
10,0.25,"[0.496658901337244, 0.5281819716583487, 0.5642411069992703, 0.6054644639166068, 0.652227425390612, 0.7042801428119873, 0.7603318222292863, 0.8179664479402071, 0.8742391929242437, 0.926654863239409, 0.9737718445975588]",0.0
20,0.25,"[0.3069665382387437, 0.3286170341238792, 0.35444693148116063, 0.38587443805647975, 0.42501541987880886, 0.475070193083948, 0.5406995380120387, 0.6272225801567226, 0.7346374015408925, 0.8474616890645524, 0.9444035257737016]",0.0
30,0.25,"[0.22509507833952563, 0.24085686968289827, 0.2597398492413453, 0.2828748132577329, 0.31204299703417077, 0.3502234065327337, 0.4027532355262391, 0.4797449018280922, 0.5984684104494755, 0.762045203346429, 0.911044533523653]",0.0
40,0.25,"[0.17865447216725383, 0.19075170108252176, 0.2052160124710037, 0.22291004272528123, 0.24520905758733996, 0.2744680951688559, 0.31511875241240833, 0.3765919882768634, 0.4816165509428403, 0.6702962996964754, 0.872385904379804]",0.0
50,0.25,"[0.14844355628575462, 0.15800980558181252, 0.16937212379927236, 0.18316555564683065, 0.20039910499498498, 0.22280644817137618, 0.2537113837270754, 0.3005833220394067, 0.38445190713004757, 0.5714422978483243, 0.8262130138984521]",0.0
60,0.25,"[0.1270900152470271, 0.13479053523268322, 0.14382588203468477, 0.15462348595726347, 0.16783557849654598, 0.18453179353870602, 0.2066748703274104, 0.23866297455852178, 0.2951608564391793, 0.45747206418326436, 0.7681691348056753]",0.0
70,0.25,"[0.11109221345067641, 0.11735031572676731, 0.12455008947132779, 0.1329123255794604, 0.14269264703961412, 0.1540606399088884, 0.16541876955526422, 0.030832174109794896, 0.0416080449869918, 0.07458591208527642, 0.6868146448259457]",0.08026003934088151
80,0.25,"[0.09854950403824432, 0.1036361445235275, 0.10930078269690072, 0.11551572437741905, 0.12188788071247998, 0.12416354963989502, 0.020072411317447802, 0.022467911378840386, 0.03150537494859601, 0.057751448598498914, 0.4526354541424951]",0.07847709272079652
90,0.25,"[0.08834048652243155, 0.0924169672188524, 0.09668516894620806, 0.1006982676883536, 0.1018596930625836, 0.016833135367525367, 0.014715998451174512, 0.017130299982962224, 0.024480938619244347, 0.04605194875038288, 0.11716145144130237]",0.07362448807125704
100,0.25,"[0.07977082170481123, 0.08291877249875006, 0.0857843478259247, 0.08703435264102649, 0.07256005565832326, 0.011922604314220079, 0.011404188545589392, 0.013545828838737393, 0.019517539604675508, 0.03729070581451172, 0.09470711661829793]",0.06836663315922184
