MidPoint,Slope,resultList,LinerType
10,0.25,"[0.8788122764797739, 0.8906484098566289, 0.9017976574234942, 0.9123430539868751, 0.9223524922524148, 0.9318823049052902, 0.9409798284519054, 0.9496852812520252, 0.9580331671439734, 0.9660533431758661, 0.9737718445975588]",0.0
20,0.25,"[0.5061726804784797, 0.6738980699963425, 0.73399640166201, 0.7771033844866108, 0.8116111893020931, 0.8407197376066236, 0.8660506055362015, 0.8885572552597578, 0.9088552446343352, 0.927368564986859, 0.9444035257737016]",0.0
30,0.25,"[0.01772421272361084, 0.022617666678093992, 0.02952237549654926, 0.040229666098784325, 0.5997635660202035, 0.7021308701212441, 0.7646342562507761, 0.811720525106187, 0.850066119145641, 0.8826354558536791, 0.911044533523653]",0.0
40,0.25,"[0.009561690032136926, 0.012196769398654333, 0.016121993217808526, 0.022167614269452726, 0.03200362642769518, 0.05581260533236855, 0.6066408394343207, 0.7100704987859742, 0.7779504149788007, 0.8298967382105362, 0.872385904379804]",0.0
50,0.25,"[0.006117792969240462, 0.007677017373794399, 0.010026546752137832, 0.013758953783080133, 0.02003668729979296, 0.03155563443536178, 0.07576084617339626, 0.5652758638272954, 0.6867258842583647, 0.7660363853962526, 0.8262130138984521]",0.0
60,0.25,"[0.004376134673901372, 0.005404572940529706, 0.006942617742724576, 0.009391032244516607, 0.013588441235010167, 0.021445800540779526, 0.03929718683534422, 0.357608380518372, 0.5695529315013558, 0.6857057027424303, 0.7681691348056753]",0.0
70,0.25,"[0.0033636070936664585, 0.004100704637900781, 0.005190032766721291, 0.006909212282600584, 0.009857213380308899, 0.015463195076772289, 0.02782905964180454, 0.11326107544352018, 0.4350259545248828, 0.579324577962945, 0.6868146448259457]",0.0
80,0.25,"[0.0027138400507380617, 0.003274948242913951, 0.004094443032642124, 0.005373151036675112, 0.007548795253901558, 0.011695883186332778, 0.020917889905148968, 0.054615010129420896, 0.32692683995441646, 0.43736128794276985, 0.4526354541424951]",0.0
90,0.25,"[0.0022661192167417366, 0.0027125671937922808, 0.0033576951370400767, 0.004352986391368998, 0.0060288160090849596, 0.00920656884095076, 0.016312583575140864, 0.03878453382688979, 0.25843782313021124, 0.30671330259564017, 0.11716145144130237]",-0.1895518511543378
100,0.25,"[0.0019408767275594337, 0.0023080967250337344, 0.0028338180425831103, 0.0036364729354141554, 0.004973396635352242, 0.00748669940788019, 0.013104034814280276, 0.030160879837182072, 0.21257566180989323, 0.2365432694779219, 0.09470711661829793]",-0.14183615285962398
10,0.5,"[0.9347887227123531, 0.93856853081793, 0.9422360731704481, 0.9457974577179675, 0.9492582734343378, 0.9526236488830565, 0.955898302588793, 0.9590865865707286, 0.9621925241354414, 0.9652198428250554, 0.9681720032560035]",0.0
20,0.5,"[0.8448458650285238, 0.856775574579255, 0.8676754773651256, 0.8777094945435281, 0.8870031174059466, 0.8956548150600544, 0.903743439648377, 0.9113332191203426, 0.9184772317302579, 0.9252198897336021, 0.9315987562208355]",0.0
30,0.5,"[0.6871099228359745, 0.7300889964496962, 0.7613731422094727, 0.7862953082712203, 0.8070979680333745, 0.8249687692338279, 0.8406231857219071, 0.8545297296854228, 0.8670137095510968, 0.8783110067854892, 0.8885984273399055]",0.0
40,0.5,"[0.028247813418110033, 0.036229836098728985, 0.5205352905491952, 0.64128932986553, 0.695451994853024, 0.7329326713632668, 0.7618224729088667, 0.7852870724641304, 0.8049362241377134, 0.8217104783942353, 0.8362084970569076]",0.0
50,0.5,"[0.01772421272361084, 0.023058511010827953, 0.03094833737940177, 0.045080864484445926, 0.49318868030204444, 0.6029955390445453, 0.6595322465185994, 0.698342620384901, 0.7274682485467054, 0.7501947890055084, 0.7681691348056753]",0.0
60,0.5,"[0.011949546438893881, 0.015615977240028311, 0.021163552223605185, 0.030075981933924103, 0.048925835902270315, 0.39305310945095306, 0.5242661915153185, 0.5870112851998036, 0.6262570002200387, 0.6514213327299879, 0.6649454352126598]",0.0
70,0.5,"[0.00864406764242454, 0.01122832049786942, 0.015223195270407107, 0.02172963593147055, 0.033582851114752975, 0.0814626492960156, 0.3725241640153588, 0.45576069747323433, 0.490437009546809, 0.47519587170559396, 0.14027220743503985]",-0.35016480211176915
80,0.5,"[0.00661896637498328, 0.008514566432379043, 0.011468924912735191, 0.016358531906182864, 0.025176166510366953, 0.04678880940007974, 0.2553029046323992, 0.34481963801075716, 0.3466592595689103, 0.21718304239034264, 0.10228369481250124]",-0.24437556475640906
90,0.5,"[0.005293556231114314, 0.006740604177450864, 0.008996007423979217, 0.012757383290973121, 0.01959906227873313, 0.034639038820096044, 0.15671323001290255, 0.27497020905560965, 0.25989262230651683, 0.15886958576501262, 0.08284715466581441]",-0.19212305438979524
100,0.5,"[0.004376134673901372, 0.005519878476785583, 0.007295504133459268, 0.010260334376785217, 0.015691636424335853, 0.027312497588853586, 0.08469068373760494, 0.23092484643643232, 0.2136582566903348, 0.13148989669089522, 0.06987127597270636]",-0.16105357046372598
10,1.0,"[0.9585334237998608, 0.9585094421190323, 0.9584474305551601, 0.9583474074807115, 0.9582093446457887, 0.9580331671439734, 0.9578187531705323, 0.9575659335709801, 0.9572744911759121, 0.9569441599158793, 0.9565746237078314]",0.0
20,1.0,"[0.9084433744688263, 0.9089614858285102, 0.909259126839046, 0.9093396607175886, 0.9092049169568258, 0.9088552446343352, 0.9082895279590198, 0.9075051650823772, 0.9064980091459194, 0.9052622683852317, 0.9037903596459584]",-0.000896286248762368
30,1.0,"[0.8448458650285238, 0.8474538832544158, 0.8492367077623942, 0.8502478245743115, 0.8505195409359043, 0.850066119145641, 0.8488851669772116, 0.846957576313845, 0.8442460097896596, 0.8406916456992848, 0.8362084970569076]",-0.005673675907380549
40,1.0,"[0.7551709034157374, 0.7653696412351824, 0.7721941073838405, 0.7763508113675414, 0.778212236336086, 0.7779504149788007, 0.7755885496312024, 0.7710093581021532, 0.7639261174613021, 0.7537979807559899, 0.7396219249744318]",-0.0230413329203486
50,1.0,"[0.5061726804784797, 0.6311228190575505, 0.6622102235617815, 0.6781724196525798, 0.6856556077441546, 0.6867258842583647, 0.6818175216862706, 0.670174314456082, 0.649207466769496, 0.6108549251857541, 0.4526354541424951]",-0.18055320377988493
60,1.0,"[0.028247813418110033, 0.03800098059174271, 0.11538606087403777, 0.5307019223770941, 0.5624727405823318, 0.5695529315013558, 0.558794521866024, 0.5248700094085934, 0.4268820051738347, 0.17158466019196483, 0.10228369481250124]",-0.46726923668885456
70,1.0,"[0.02055198021272688, 0.02770254241204737, 0.040138338083133135, 0.12465662794106974, 0.4070978051951715, 0.4350259545248828, 0.4163005034492871, 0.3407319354344581, 0.2021100613469897, 0.1193449067819704, 0.07803045804949815]",-0.35699549647538464
80,1.0,"[0.015411892077530938, 0.0209443774160077, 0.030005470624568206, 0.051068481351599276, 0.26122423236480924, 0.32692683995441646, 0.31016235958996546, 0.23746640879853176, 0.1506634756891801, 0.09582920973175776, 0.06311472554781017]",-0.2638121144066063
90,1.0,"[0.011949546438893881, 0.016280818439234478, 0.023385539947632452, 0.03732119402131681, 0.12381448828754468, 0.25843782313021124, 0.2498671444251751, 0.19055314221972833, 0.12522612743306807, 0.08103630711299317, 0.052331912497145305]",-0.20610591063306594
100,1.0,"[0.009561690032136926, 0.012998271720742216, 0.01869838362573799, 0.029397715121357627, 0.06657191858268235, 0.21257566180989323, 0.21343663866318813, 0.1636403869731996, 0.10908394036912948, 0.07036870824200875, 0.04397716556760949]",-0.16945947309557863
10,2.0,"[0.9695852491461602, 0.9662193374098101, 0.962769766138639, 0.9592324922098808, 0.9556031522452602, 0.9518770267756571, 0.9480489991226078, 0.9441135080170513, 0.9400644927541865, 0.9358953294019868, 0.9315987562208355]",0.0
20,2.0,"[0.9347887227123531, 0.9274976727679713, 0.9198070340871953, 0.9116734716193116, 0.9030455928116713, 0.8938617424562414, 0.88404696327547, 0.8735087033512937, 0.8621305787311129, 0.8497629993460378, 0.8362084970569076]",0.0
30,2.0,"[0.8940929143471329, 0.8822627986018543, 0.8693431865780888, 0.8551333174205555, 0.8393649139658717, 0.8216667092166523, 0.8015010559048321, 0.7780402497885303, 0.7498939853517911, 0.7143883132779738, 0.6649454352126598]",0.0
40,2.0,"[0.8448458650285238, 0.8279250671168149, 0.8086146893385483, 0.7862485414871372, 0.7597883087594731, 0.7274682485467054, 0.6858463913809919, 0.6263253740470625, 0.5058102722903676, 0.14930918836159662, 0.10228369481250124]",0.0
50,2.0,"[0.7815064510891558, 0.7595867894798767, 0.7329326713632668, 0.6997481224132123, 0.6566302719246917, 0.595821798674384, 0.4912274690224147, 0.24059999411317154, 0.13516633831052663, 0.0939553790745035, 0.06987127597270636]",0.0
